"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","query_1",FALSE,0.399232651667489,12,2,1,0.5,0.0833333333333333,"GO:0006887","GO:BP","exocytosis",9567,2572,"GO:0016192,GO:0032940"
"2","query_1",FALSE,0.465722708632895,14,2,1,0.5,0.0714285714285714,"GO:0032940","GO:BP","secretion by cell",9567,8206,"GO:0046903,GO:0140352"
"3","query_1",FALSE,0.498962517296348,15,2,1,0.5,0.0666666666666667,"GO:0140352","GO:BP","export from cell",9567,20313,"GO:0006810,GO:0009987"
"4","query_1",FALSE,0.930763360890347,28,2,1,0.5,0.0357142857142857,"GO:0046903","GO:BP","secretion",9567,12846,"GO:0006810"
"5","query_1",FALSE,0.996361488874674,12,5,1,0.2,0.0833333333333333,"GO:0044273","GO:BP","sulfur compound catabolic process",9567,11314,"GO:0006790,GO:0044248"
"6","query_1",FALSE,0.996361488874674,12,5,1,0.2,0.0833333333333333,"GO:0043171","GO:BP","peptide catabolic process",9567,10920,"GO:0006518,GO:0044248,GO:1901565"
"7","query_1",FALSE,0.996361488874674,12,5,1,0.2,0.0833333333333333,"GO:0006751","GO:BP","glutathione catabolic process",9567,2477,"GO:0006749,GO:0042219,GO:0043171,GO:0044273"
"8","query_1",FALSE,1,4052,8,1,0.125,0.000246791707798618,"GO:0043170","GO:BP","macromolecule metabolic process",9567,10919,"GO:0071704"
"9","query_1",FALSE,1,15,5,1,0.2,0.0666666666666667,"GO:0042219","GO:BP","cellular modified amino acid catabolic process",9567,10392,"GO:0006575,GO:1901565"
"10","query_1",FALSE,1,964,8,1,0.125,0.00103734439834025,"GO:0034654","GO:BP","nucleobase-containing compound biosynthetic process",9567,9009,"GO:0006139,GO:0018130,GO:0019438,GO:0044271,GO:1901362"
"11","query_1",FALSE,1,712,8,1,0.125,0.00140449438202247,"GO:0009889","GO:BP","regulation of biosynthetic process",9567,3787,"GO:0009058,GO:0019222"
"12","query_1",FALSE,1,7997,2,1,0.5,0.000125046892584719,"GO:0009987","GO:BP","cellular process",9567,3849,"GO:0008150"
"13","query_1",FALSE,1,2416,8,1,0.125,0.000413907284768212,"GO:0034641","GO:BP","cellular nitrogen compound metabolic process",9567,9002,"GO:0006807,GO:0044237"
"14","query_1",FALSE,1,1506,8,1,0.125,0.000664010624169987,"GO:0010467","GO:BP","gene expression",9567,4207,"GO:0009059"
"15","query_1",FALSE,1,657,8,1,0.125,0.0015220700152207,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",9567,5786,"GO:0006139,GO:0031323,GO:0051171,GO:0080090"
"16","query_1",FALSE,1,774,8,1,0.125,0.00129198966408269,"GO:0019222","GO:BP","regulation of metabolic process",9567,5789,"GO:0008152,GO:0050789"
"17","query_1",FALSE,1,769,8,1,0.125,0.00130039011703511,"GO:0032774","GO:BP","RNA biosynthetic process",9567,8092,"GO:0009059,GO:0016070,GO:0034654"
"18","query_1",FALSE,1,712,8,1,0.125,0.00140449438202247,"GO:0010556","GO:BP","regulation of macromolecule biosynthetic process",9567,4258,"GO:0009059,GO:0031326,GO:0060255"
