"","BBB-WBO-B21","BBB-WBV-B70","BBO-BBO-B16","BBO-BBY-B27","BBO-WBO-B16","BBO-WBV-B64","BBR-BBB-B50","BBR-BBG-B38","BBR-BBY-B26","BBY-WBG-B42","BPO-BPO-O16","BPR-BPG-O38","BPR-BPR-O02","BPY-BPG-O42","BPY-BPY-O29","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11"
"LOC111118633",36,12,18,20,26,13,13,46,46,10,1,25,3,1,4,31,33,9,3,27,12,16,6,25,23,19,11,1,21,1
"LOC111122293",71,72,39,39,88,72,22,55,46,8,9,41,7,3,17,58,67,16,3,46,24,25,6,57,30,29,9,1,36,2
"LOC111120521",111,61,69,56,71,104,57,70,72,17,6,49,13,6,22,61,65,12,3,54,20,28,13,78,42,41,22,18,42,0
"LOC111120371",6,0,0,0,7,0,0,6,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111120518",40,35,28,28,34,31,28,35,37,10,3,21,6,5,6,61,43,3,3,34,14,13,0,37,15,23,13,9,11,0
"LOC111120927",0,1,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111120804",207,141,64,52,140,197,49,83,65,22,6,43,10,1,22,164,70,30,15,94,39,39,11,67,73,44,36,3,63,1
"LOC111120801",89,91,40,35,69,95,21,44,46,17,8,32,4,2,8,52,72,10,6,49,12,22,5,32,17,19,14,3,64,0
"LOC111120861",7,8,7,6,10,5,1,3,8,3,2,3,1,0,1,3,15,0,1,23,2,4,1,11,3,4,2,1,11,0
"LOC111118895",24,0,10,0,1,1,7,0,0,0,0,6,0,0,2,0,0,2,0,0,0,0,0,0,2,5,0,0,0,0
"LOC111122062",6,2,10,2,6,3,5,2,7,1,0,4,0,0,0,9,6,0,1,11,2,4,2,3,2,5,2,0,2,0
"Trnat-ggu_2",0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0
"LOC111121224",10,60,2,1,0,1,5,0,2,3,0,1,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,2,0
"LOC111118468",2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"LOC111118029",21,22,9,8,14,9,8,13,4,3,3,10,1,0,3,23,7,1,2,12,1,4,1,10,1,3,5,0,5,0
"LOC111122390",36,23,16,16,23,55,8,13,21,4,4,12,2,1,2,32,21,2,1,23,8,7,4,12,10,8,4,0,14,1
"LOC111119368",22,55,45,27,41,11,17,43,17,10,4,26,0,0,6,30,19,7,1,31,5,13,4,21,22,12,5,0,36,0
"LOC111119369",30,41,29,24,47,37,16,25,28,4,3,17,1,0,7,32,36,2,3,22,10,0,3,29,18,15,8,0,7,1
"LOC111120974",79,55,35,40,92,74,16,54,36,12,1,34,2,4,2,53,44,11,1,39,14,15,11,16,14,11,14,2,36,1
"LOC111118323",0,30,0,0,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"LOC111120733",4,17,16,10,19,18,11,5,11,4,4,2,4,0,9,12,8,1,0,44,6,13,0,3,5,9,6,1,14,1
"LOC111121275",63,65,59,30,81,56,35,42,42,16,3,27,9,0,34,50,54,7,7,26,15,26,5,39,22,21,18,2,28,0
"LOC111118523",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111118536",11,0,2,0,12,0,6,6,0,7,0,1,0,0,0,0,12,1,0,0,0,2,1,0,0,1,1,0,3,0
"LOC111118522",0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0
"LOC111118535",12,1,2,0,6,0,2,12,0,10,0,5,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,3,0
"LOC111118526",0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,1,0,0,0,0,0
"LOC111121877",39,58,41,26,64,44,26,37,41,8,6,14,4,5,14,63,37,13,1,24,12,18,1,38,21,23,17,2,30,1
"LOC111121876",19,16,27,4,25,17,14,17,21,7,2,13,2,1,8,22,27,3,1,28,4,12,3,21,23,9,2,0,23,1
"LOC111118892",217,340,281,63,254,144,75,281,217,67,29,150,24,15,92,125,280,54,12,189,76,90,28,190,134,141,67,28,98,3
"LOC111118893",0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
"LOC111118894",1,25,10,0,0,0,2,2,20,0,0,9,0,0,9,0,16,7,1,42,9,4,0,1,4,16,5,0,10,0
"LOC111119398",22,7,5,6,30,13,6,7,11,5,1,9,3,0,6,12,10,3,3,7,0,3,4,14,11,6,0,0,8,0
"LOC111120525",17,35,15,14,16,35,4,14,14,3,2,9,5,1,3,29,20,2,0,19,5,9,0,9,8,8,11,34,4,0
"LOC111119516",3,6,1,0,8,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"LOC111119514",76,82,37,30,83,81,22,34,48,6,6,25,1,1,4,75,62,5,3,43,9,11,5,32,20,19,14,5,38,0
"LOC111121884",0,8,6,5,1,12,1,0,1,0,0,2,0,0,0,7,13,0,2,2,0,0,0,0,0,2,1,0,9,0
"LOC111122079",2,15,1,0,0,1,1,1,1,3,0,5,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,6,0
"LOC111121932",91,79,50,27,54,75,31,53,64,12,5,40,1,5,9,46,46,12,4,40,30,27,1,72,50,34,15,28,20,1
"LOC111121816",2,2,1,0,3,6,1,0,0,4,0,0,1,0,0,1,1,0,0,2,2,2,0,2,0,6,3,0,2,0
"LOC111121114",1,2,2,0,2,0,3,0,0,0,1,0,2,0,0,6,3,1,0,3,1,2,0,2,0,5,0,0,0,0
"LOC111120746",57,88,108,34,77,25,43,125,38,15,17,31,23,18,25,70,104,9,7,80,42,29,6,121,33,71,57,37,29,0
"LOC111120376",108,6,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,16,0,0,0,0,0,3,1,1
"LOC111120379",1,1,2,0,0,0,1,1,2,1,0,0,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,1,0
"LOC111120949",4,6,15,4,1,0,0,10,10,9,2,0,0,1,4,13,0,0,0,1,0,0,5,1,8,1,1,0,1,0
"LOC111121503",11,0,2,4,12,7,0,1,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,1,4,0,1,0,4,0
"LOC111120382",2,0,6,0,2,0,0,1,2,0,0,0,0,0,1,8,6,0,0,4,1,0,0,4,2,2,3,0,0,0
"LOC111121029",0,0,1,2,45,47,0,0,24,0,1,3,0,3,0,0,16,1,2,3,0,9,0,44,12,0,1,0,0,0
"LOC111121026",17,17,19,13,19,12,2,30,10,2,1,15,0,0,0,5,2,0,0,15,0,0,0,4,3,0,4,0,3,0
"LOC111121016",41,32,15,32,70,44,27,15,31,7,0,16,3,0,9,25,51,8,1,40,7,13,2,23,13,12,17,1,20,0
"LOC111121031",1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0
"LOC111121023",5,9,5,5,10,8,2,7,8,2,2,6,1,0,0,14,5,3,2,20,0,7,1,10,3,1,4,0,5,0
"LOC111121035",40,55,34,17,57,38,15,49,28,24,1,5,1,2,3,28,26,1,0,20,6,3,8,5,3,19,7,0,43,2
"LOC111120384",70,50,45,14,42,38,22,47,23,27,5,27,7,8,7,72,58,5,12,39,17,8,4,31,19,21,18,3,48,0
"LOC111121030",0,0,3,0,28,0,0,19,23,0,0,0,3,0,1,0,1,0,0,2,0,7,0,10,5,0,0,1,0,0
"LOC111121025",0,4,1,0,5,1,5,2,1,0,0,1,0,1,0,9,39,2,3,4,2,10,1,0,0,2,2,0,1,0
"LOC111121017",136,56,42,92,124,130,38,68,105,19,7,38,9,5,12,92,89,10,2,85,11,59,10,78,32,41,12,5,50,1
"LOC111121040",0,3,1,0,0,5,1,6,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0
"LOC111121024",13,5,9,2,9,14,6,6,6,3,2,8,1,0,0,18,11,0,0,9,0,8,1,9,2,5,2,1,6,0
"LOC111121034",36,75,76,43,115,60,33,69,39,24,18,15,23,2,33,75,122,24,3,49,46,50,10,143,35,40,40,5,39,2
"LOC111121021",2,9,0,1,0,2,3,2,3,0,2,1,1,0,1,3,0,0,0,1,0,0,0,0,2,4,2,0,1,0
"LOC111121018",65,30,30,8,27,44,19,44,20,16,4,21,7,5,5,45,49,8,2,31,17,11,6,47,27,25,21,3,36,0
"LOC111122052",234,160,157,128,195,181,61,233,171,55,7,132,2,10,22,184,174,29,13,138,28,54,20,130,77,59,55,4,96,0
"LOC111118157",1,0,0,0,0,0,0,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"LOC111118459",18,34,18,3,27,26,8,8,22,3,2,9,1,1,0,17,25,2,1,30,2,14,3,8,14,4,3,1,6,0
"LOC111118139",18,19,25,21,33,15,31,16,38,10,6,23,5,0,9,51,50,9,3,39,9,10,1,45,28,30,7,1,14,1
"LOC111122099",0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0,3,0,0,0,5,0,0,0,0,1,0
"LOC111119982",167,117,61,74,181,168,69,127,101,57,12,92,22,12,23,127,82,22,14,107,38,46,15,87,79,71,40,2,81,3
"LOC111119987",41,40,52,45,59,52,46,53,52,7,5,26,7,1,13,32,82,10,3,52,32,9,3,37,30,16,11,3,14,0
"LOC111122057",1,1,0,3,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0,2,0
"LOC111119592",0,0,32,1,1,1,1,2,0,2,1,15,1,0,0,1,0,0,1,0,0,0,0,15,0,1,0,0,0,0
"LOC111119527",82,53,41,50,62,73,37,57,63,14,2,36,8,0,11,30,66,10,0,74,11,23,8,51,44,23,20,29,22,1
"LOC111121292",3,1,4,0,3,1,2,8,3,1,3,2,1,2,0,4,2,0,0,2,0,2,4,2,0,5,0,0,2,0
"LOC111121527",338,294,281,177,443,349,117,312,262,83,20,215,25,15,80,268,266,67,17,207,92,100,28,210,136,113,81,4,125,5
"LOC111120388",16,22,8,8,27,8,2,3,3,1,0,0,0,0,0,7,3,0,2,18,0,3,0,0,0,2,3,0,11,0
"LOC111119112",2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,1,0,0,2,0
"LOC111119107",1,1,1,0,3,1,5,1,2,0,0,0,0,0,2,7,2,0,0,11,1,0,1,5,2,4,2,0,0,0
"LOC111119116",1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"LOC111119099",0,0,0,0,1,0,3,0,0,0,0,2,1,0,0,0,0,0,0,1,4,4,0,0,0,1,0,0,0,0
"LOC111119110",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0
"LOC111119102",178,193,169,69,140,237,78,135,133,36,14,84,11,14,16,123,151,33,7,124,57,65,12,70,67,46,57,3,87,111
"LOC111119100",17,25,27,6,25,70,17,9,19,7,8,28,1,2,4,45,58,2,2,13,5,5,2,18,3,8,7,0,8,0
"LOC111119126",313,217,210,141,214,199,130,236,220,51,22,158,20,27,38,209,291,49,15,212,58,48,20,162,127,104,76,73,94,8
"LOC111119128",0,0,4,1,0,1,0,1,2,2,1,1,1,0,2,3,1,0,0,3,0,1,0,3,1,7,0,0,0,0
"LOC111119101",104,95,65,55,92,106,57,113,68,18,5,43,16,4,16,97,43,8,3,41,13,35,7,37,30,38,31,4,49,2
"LOC111119115",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,2,2,0,2,0
"LOC111119106",158,139,180,128,146,119,89,187,123,32,16,96,24,10,32,129,138,44,12,96,43,59,11,127,91,67,48,16,85,0
"LOC111119105",59,59,24,12,28,38,27,29,20,9,4,21,5,0,10,31,27,5,1,21,6,14,0,15,10,7,12,1,28,0
"LOC111119098",330,188,180,133,161,137,85,187,180,51,20,108,48,12,49,254,238,58,25,207,85,69,29,280,142,104,85,6,104,11
"LOC111119118",11,23,1,8,2,0,2,8,7,1,0,1,0,0,0,22,1,1,0,11,1,7,0,0,0,0,8,2,0,0
"LOC111119120",2,28,21,9,10,6,9,3,22,3,1,9,7,3,3,23,26,2,0,20,3,9,0,23,17,13,10,0,9,1
"LOC111119108",57,65,86,63,98,64,29,101,81,13,6,59,8,2,19,74,129,26,3,67,29,22,7,112,76,43,31,3,40,5
"LOC111119124",2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,0,1,2,0,0,0,0,0,1,0,0,0,0
"LOC111121850",779,732,505,362,905,684,244,518,538,104,53,321,69,39,98,630,505,101,42,463,188,149,59,452,279,218,184,132,388,16
"LOC111118255",10,7,63,22,14,11,20,39,38,0,13,20,12,4,17,23,75,2,1,40,21,10,1,58,18,19,11,2,7,1
"LOC111119359",4,2,1,0,3,3,0,1,1,1,0,1,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,1,0
"LOC111119358",119,193,130,82,186,187,44,132,172,49,13,57,21,9,20,144,116,32,10,101,52,43,13,134,73,43,30,34,92,3
"LOC111122177",137,140,171,103,149,188,89,146,146,35,15,95,11,4,25,213,120,42,10,152,55,34,17,143,98,74,51,2,65,7
"LOC111122178",12,9,8,5,21,8,3,15,17,7,1,3,1,0,1,18,24,1,1,5,3,8,1,2,1,8,5,0,3,0
"LOC111122179",0,0,2,3,0,1,7,10,8,0,0,0,2,0,1,1,11,1,0,2,1,0,0,13,3,6,1,0,0,0
"LOC111122274",73,49,82,19,28,73,15,19,55,10,6,48,3,14,18,76,23,10,4,41,12,17,8,47,65,14,8,0,29,4
"LOC111121591",4,3,17,3,12,14,5,7,6,7,1,8,7,3,5,5,16,1,0,32,6,18,0,29,1,34,3,1,4,0
"LOC111121590",286,391,326,237,314,351,138,282,236,71,25,188,36,14,61,359,262,62,28,192,67,77,19,258,140,144,86,79,189,106
"LOC111121592",114,68,106,70,90,84,52,119,90,12,3,70,12,6,24,73,93,11,2,67,18,35,6,53,47,50,22,4,25,0
"LOC111120077",572,523,381,293,639,512,177,435,400,97,40,263,65,36,71,466,354,90,27,301,146,146,41,424,207,187,132,51,199,7
"LOC111118542",0,3,1,1,1,0,5,4,0,7,3,1,2,3,7,20,0,2,1,0,2,5,0,1,2,7,2,1,3,0
"LOC111121504",2,1,1,0,0,1,1,4,1,0,0,1,0,0,0,3,1,0,0,8,0,0,0,3,0,3,2,0,0,0
"LOC111118331",0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0
"LOC111118330",2,2,0,3,1,2,4,2,0,1,0,1,0,0,0,18,5,0,1,5,0,3,0,2,4,1,2,0,0,0
"LOC111117954",2,1,0,0,4,2,3,1,1,0,0,0,2,0,0,9,2,0,0,1,2,0,1,3,2,4,0,0,0,0
"LOC111119338",49,18,19,27,44,23,6,31,36,5,2,15,3,2,5,81,34,4,3,30,6,14,1,18,15,5,15,1,6,0
"LOC111119341",86,61,50,17,55,66,24,70,37,45,1,24,2,1,2,48,43,12,8,61,18,8,12,25,26,16,17,2,74,1
"LOC111120944",53,85,96,29,67,75,41,72,45,12,5,54,2,2,3,56,9,5,3,21,15,23,6,38,9,7,15,1,37,0
"LOC111119940",2,0,1,0,39,0,0,1,0,0,0,0,0,0,2,3,0,0,0,4,0,0,1,1,0,0,0,0,0,0
"LOC111119941",160,155,99,91,193,164,43,122,99,32,6,65,3,3,11,114,77,16,5,105,31,38,6,59,46,39,31,7,81,0
"LOC111120660",5,2,7,1,5,7,5,5,4,1,2,0,1,0,3,5,2,1,0,5,1,1,0,11,5,5,3,0,2,0
"LOC111118216",198,235,179,114,230,213,85,198,154,52,29,102,24,10,42,251,168,38,15,205,61,71,16,151,90,99,76,20,73,5
"LOC111121538",142,96,77,70,120,116,46,96,87,23,3,44,4,5,14,75,121,9,10,79,36,25,16,58,56,21,20,2,70,2
"LOC111121539",74,47,34,22,60,32,13,45,40,4,1,5,1,3,8,43,21,7,3,36,29,11,2,33,21,9,14,1,22,2
"LOC111120943",98,0,0,0,5,1,0,3,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0
"LOC111119711",265,260,205,142,351,181,74,154,128,37,18,167,19,13,35,203,193,26,21,189,44,49,26,120,57,51,47,7,94,98
"LOC111119655",133,108,120,73,133,151,53,128,67,34,3,66,8,3,31,112,43,24,8,64,35,47,5,53,45,41,44,1,66,0
"LOC111119656",133,100,84,43,140,138,23,83,69,22,3,38,8,5,11,129,88,19,10,56,32,34,6,40,39,33,26,33,85,1
"LOC111120885",1,2,0,2,1,2,0,1,1,0,0,1,3,0,0,3,3,0,1,6,0,0,0,0,0,0,0,0,0,0
"LOC111121171",98,90,66,52,98,86,44,88,104,26,8,53,21,14,23,73,106,9,6,91,13,35,24,71,39,64,22,3,67,145
"LOC111121172",117,113,58,58,92,115,52,92,95,18,10,42,9,7,21,112,75,12,9,59,20,46,11,71,54,31,33,4,45,2
"LOC111120091",87,83,79,44,65,109,52,87,57,17,14,51,22,15,21,87,67,11,7,52,41,39,14,50,42,67,21,56,35,104
"LOC111120499",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,0,0,0,0
"LOC111120498",23,4,27,44,6,21,21,52,41,7,1,16,14,0,7,13,13,5,1,17,1,4,1,20,11,9,8,2,8,0
"LOC111122102",3,23,6,0,18,16,2,6,6,1,1,3,2,0,0,9,2,2,0,15,0,0,1,1,3,1,0,0,20,0
"LOC111117607",405,318,370,267,412,310,195,379,346,78,50,205,52,28,68,456,448,67,25,344,111,149,46,344,189,183,120,27,160,79
"LOC111118809",347,320,341,241,425,300,174,289,267,66,54,190,59,32,83,299,205,71,35,377,110,106,46,307,216,198,101,217,110,111
"LOC111118810",64,79,34,33,59,75,24,42,38,19,12,39,12,7,10,55,60,22,1,35,21,8,4,41,43,21,3,14,25,2
"LOC111121573",75,118,61,43,89,89,32,60,64,10,4,38,7,5,20,60,53,16,4,53,30,29,5,67,24,38,32,12,20,0
"LOC111119855",86,81,70,54,107,101,30,86,84,11,4,47,13,2,11,95,86,18,9,52,12,25,9,59,30,13,14,33,32,1
"LOC111120808",5,22,38,15,7,33,17,34,18,1,0,13,11,0,1,7,29,0,2,4,10,8,1,18,27,1,4,1,5,0
"LOC111117651",2,17,11,5,39,1,0,44,5,12,3,5,2,0,3,42,0,6,2,0,1,3,3,1,5,4,7,1,10,0
"LOC111118701",130,121,86,34,123,158,63,75,69,34,19,40,26,18,22,140,79,23,7,92,32,40,13,92,48,50,45,68,67,0
"LOC111120848",43,30,20,19,67,14,19,32,38,11,3,21,2,1,2,57,37,2,3,31,3,15,4,39,11,20,23,0,10,0
"LOC111119752",2,3,7,3,1,15,0,0,0,0,0,1,0,0,4,1,2,3,0,0,0,2,0,10,1,2,10,31,1,0
"LOC111120827",242,184,154,79,298,223,76,213,163,50,18,92,27,13,32,237,152,27,14,228,40,69,19,148,87,85,71,6,113,4
"LOC111121448",1,1,0,0,0,1,2,6,1,0,0,0,3,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111122003",8,36,31,22,35,3,36,35,33,1,5,21,7,0,15,12,9,8,2,17,8,8,1,25,7,23,2,1,4,0
"LOC111120390",725,710,470,332,667,652,293,734,560,128,65,386,107,67,151,697,523,87,53,471,211,217,62,455,301,272,194,283,371,71
"LOC111120559",224,115,89,86,181,165,46,131,96,37,8,63,18,13,21,138,88,23,11,96,34,30,13,96,81,59,29,73,92,27
"LOC111120561",34,16,6,5,17,41,2,11,14,3,2,5,3,1,2,33,4,2,8,12,10,4,1,1,6,8,2,24,7,1
"LOC111120392",26,15,25,14,20,21,12,21,17,1,5,7,8,8,12,33,21,7,3,13,10,4,2,35,18,29,7,28,8,17
"LOC111120393",25,11,7,4,10,15,10,5,10,1,1,8,1,5,1,30,4,3,1,11,3,1,1,15,13,9,8,16,4,19
"LOC111121488",23,19,20,0,30,26,1,7,19,5,2,15,4,4,6,14,44,4,2,25,19,7,6,12,16,10,7,1,7,0
"LOC111118725",0,2,3,0,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,0,0
"LOC111118541",37,4,25,22,8,10,14,44,4,1,1,8,4,1,7,13,20,3,1,14,12,10,2,30,11,19,21,2,4,1
"LOC111118540",75,78,51,50,81,85,45,62,80,22,12,36,17,14,11,95,64,22,10,60,25,34,7,62,43,38,31,0,27,1
"LOC111118539",224,142,84,80,131,205,61,78,95,25,14,61,14,10,19,127,155,28,6,99,37,38,13,81,81,46,25,6,65,3
"LOC111118267",5,5,0,0,4,2,3,0,0,0,0,2,1,0,0,4,0,0,0,0,0,1,0,4,0,0,0,0,2,0
"LOC111122095",235,248,228,123,259,248,78,188,218,41,38,136,23,15,32,182,194,32,15,134,52,41,13,127,79,72,44,22,81,4
"LOC111121273",560,474,396,284,716,608,191,402,388,108,50,240,41,27,66,431,368,69,41,323,112,109,49,348,239,218,128,20,289,48
"LOC111120654",41,1,0,1,4,2,2,1,0,2,1,3,1,0,0,5,0,1,0,4,0,16,0,1,0,0,0,2,4,0
"LOC111120652",63,38,23,7,24,42,4,29,26,10,1,25,0,2,0,32,10,1,1,22,2,3,1,8,9,3,5,1,20,0
"LOC111120655",19,32,21,23,29,23,28,30,41,13,4,27,6,0,13,18,50,3,1,27,22,3,2,58,37,30,1,2,6,1
"LOC111117986",2,1,2,0,3,0,1,2,4,1,1,2,0,0,1,6,3,1,0,5,0,2,0,1,1,2,2,0,1,0
"LOC111118188",32,38,34,1,51,62,3,38,76,0,9,22,0,1,14,1,94,3,0,37,5,0,1,51,40,8,10,1,10,0
"LOC111121447",42,44,6,8,48,31,8,10,11,10,0,8,2,3,3,56,2,1,4,20,2,8,1,10,1,2,7,0,20,2
"LOC111118147",0,0,0,1,0,0,0,0,3,0,1,0,2,0,3,0,0,2,0,2,1,0,0,11,1,2,3,0,1,0
"LOC111118023",242,193,186,86,229,208,89,179,152,52,20,84,37,16,62,191,257,34,16,142,63,85,27,135,101,92,60,22,83,4
"LOC111121116",0,1,2,0,55,0,16,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"LOC111120920",1,0,0,1,0,1,0,34,1,1,0,0,4,0,0,0,3,0,0,0,0,1,0,6,0,4,1,0,0,0
"LOC111120942",0,0,2,0,57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LOC111118339",0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111121083",0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111120090",48,60,61,32,65,61,21,62,72,5,3,44,6,3,8,57,68,24,4,57,9,8,6,64,37,25,8,2,28,0
"LOC111119559",453,351,230,176,463,453,126,278,214,73,30,144,40,20,56,309,231,53,23,248,101,78,18,181,130,145,88,160,209,118
"LOC111121322",61,41,46,33,62,65,36,45,56,39,5,37,3,2,18,69,62,19,7,58,12,22,4,78,35,57,28,0,20,2
"LOC111122264",188,144,109,49,223,164,64,84,98,31,10,53,12,5,13,118,66,14,8,90,26,30,12,87,54,39,22,2,90,2
"LOC111122265",413,377,182,107,524,300,89,179,151,51,6,113,12,9,31,192,165,29,8,139,62,44,17,211,75,64,92,11,239,4
"LOC111121875",82,72,23,19,68,82,16,33,29,11,1,18,3,2,7,54,24,2,3,44,4,3,3,25,10,8,12,2,24,0
"LOC111119458",34,28,52,16,51,33,36,38,34,18,5,20,3,0,5,52,45,7,0,44,13,28,6,30,27,32,21,4,15,2
"LOC111119459",251,284,164,135,294,252,89,190,159,36,12,106,7,6,22,283,122,25,17,200,59,61,26,139,92,58,51,4,93,7
"LOC111120818",0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LOC111120816",1,83,0,1,2,1,11,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
"LOC111121839",88,65,92,64,70,67,43,89,70,10,7,53,7,2,19,79,77,15,12,79,36,31,13,60,46,42,26,0,14,0
"LOC111121838",162,118,64,54,92,122,62,61,85,46,23,48,14,5,10,145,61,14,6,84,28,27,8,89,34,47,40,3,62,0
"LOC111119328",69,67,73,33,77,63,29,63,79,26,6,38,3,4,16,65,81,9,5,41,18,21,1,55,35,22,19,34,21,35
"LOC111121603",122,54,53,55,63,129,11,50,31,10,5,52,4,4,11,48,101,19,3,92,2,6,8,44,19,25,19,3,26,2
"LOC111120395",28,0,0,1,1,58,0,0,5,0,0,11,1,0,1,25,1,3,0,0,0,0,0,6,0,0,1,0,0,0
"LOC111120952",16,5,2,0,18,9,0,5,3,1,0,0,1,0,0,5,7,3,0,3,2,0,0,2,3,0,0,0,7,0
"LOC111122107",12,7,9,0,4,0,6,8,0,0,0,1,3,0,1,6,0,0,0,0,2,3,0,1,0,0,0,0,0,0
"LOC111120850",208,181,105,62,207,241,47,86,76,28,8,62,8,2,13,93,89,32,11,73,29,22,11,42,60,34,14,6,80,3
"LOC111120849",92,73,50,41,112,92,38,49,52,21,6,24,15,0,13,62,50,9,1,40,30,13,1,34,26,14,13,7,44,0
"LOC111120851",1,0,0,0,0,0,4,35,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"LOC111120054",179,128,73,50,142,110,58,78,52,38,14,46,16,5,17,84,81,13,6,119,14,28,10,87,63,52,21,1,99,2
"LOC111120055",113,86,52,33,90,86,34,57,56,14,3,47,2,1,14,66,73,8,5,51,19,28,4,47,39,36,10,5,43,1
"LOC111120056",4,13,5,11,6,5,7,9,6,1,2,3,0,0,2,15,23,2,4,22,2,5,2,12,5,18,3,1,2,0
"LOC111119460",140,124,71,65,137,153,63,115,102,23,13,54,22,4,17,94,116,17,11,93,27,25,5,59,48,50,35,5,79,2
"LOC111119461",405,277,291,233,357,474,123,273,254,78,32,196,40,37,51,406,258,42,19,236,71,110,38,209,141,120,99,27,124,34
"LOC111121416",8,0,4,1,3,2,2,1,5,2,1,2,0,0,2,5,6,3,0,9,0,3,0,3,5,2,5,0,3,0
"LOC111121415",1,12,9,0,8,0,2,1,0,3,0,2,0,0,0,1,0,1,0,4,3,5,0,7,0,5,5,0,0,0
"LOC111120691",119,64,67,20,90,104,24,76,55,19,8,43,5,10,13,97,66,16,7,76,13,32,11,71,34,46,27,1,46,46
"LOC111119771",109,83,40,34,95,46,33,50,44,19,4,36,9,4,10,66,56,18,3,59,26,17,8,38,27,30,17,3,74,4
"LOC111121015",16,13,5,4,21,30,3,14,19,4,0,6,1,0,0,12,1,1,0,5,1,3,0,6,0,4,4,0,11,0
"LOC111118319",0,3,1,0,3,5,0,1,1,2,2,0,1,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
