"","BBB-WBO-B21","BBB-WBV-B70","BBO-BBO-B16","BBO-BBY-B27","BBO-WBO-B16","BBO-WBV-B64","BBR-BBB-B50","BBR-BBG-B38","BBR-BBY-B26","BBY-WBG-B42","BPO-BPO-O16","BPR-BPG-O38","BPR-BPR-O02","BPY-BPG-O42","BPY-BPY-O29","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11"
"LOC111130095",80,94,47,41,142,109,32,37,60,12,3,20,9,3,13,69,76,12,3,66,20,9,4,55,29,18,9,6,21,1
"LOC111103224",11,10,1,0,18,9,3,1,4,0,0,3,0,0,0,0,0,0,1,4,0,2,0,0,1,1,0,1,0,0
"LOC111131060",0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"LOC111131074",0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0
"LOC111131094",0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LOC111136780",695,614,307,292,342,555,159,308,313,123,30,160,41,22,79,363,347,106,28,334,121,150,37,303,184,117,114,94,233,3
"LOC111133372",794,587,360,228,571,604,248,393,391,124,37,199,43,17,70,646,370,99,51,447,184,126,55,430,182,196,169,40,316,9
"LOC111137104",277,203,146,119,252,212,133,186,190,52,21,119,25,28,37,189,147,51,18,169,31,67,20,142,84,98,59,27,82,1
"LOC111099747",4,6,1,0,4,16,1,3,2,0,1,2,0,0,1,3,4,0,0,2,3,2,1,1,6,0,0,0,1,0
"LOC111129066",11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"LOC111115406",12,27,6,11,25,15,9,3,13,4,4,0,2,5,1,20,46,0,1,10,0,4,2,1,10,0,2,0,2,0
"LOC111114430",2,2,1,0,2,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111129120",0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111113958",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,0,0,0
"LOC111103230",3,1,3,7,16,3,0,2,2,1,0,0,0,1,2,12,1,0,0,2,1,0,1,2,3,0,0,0,8,0
"LOC111101640",1,0,1,0,2,2,0,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,0,2,0,1,0,0,0
"LOC111103163",0,0,4,1,0,0,1,0,0,1,1,3,1,0,1,2,0,1,0,1,0,5,1,1,0,0,1,0,0,0
"LOC111103177",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0
"LOC111102448",195,171,91,123,202,123,62,182,116,35,14,89,17,8,22,84,140,19,7,125,32,51,9,111,69,62,30,5,104,4
"LOC111129274",0,1,2,1,2,3,2,1,1,0,0,2,0,0,0,4,2,0,0,6,0,1,0,0,1,0,1,0,1,0
"LOC111113346",90,153,145,77,114,128,58,78,90,22,20,93,19,6,31,131,132,26,2,99,36,34,11,98,34,56,30,2,43,3
"LOC111100652",288,131,111,68,262,204,35,81,69,24,6,82,13,9,14,118,102,28,10,72,38,44,16,45,28,43,16,39,91,0
"LOC111134791",363,497,355,253,696,476,178,302,420,91,44,262,57,28,70,500,333,61,32,377,118,128,48,272,184,164,96,130,252,6
"LOC111128971",200,132,155,104,239,207,73,115,143,56,9,96,17,13,45,179,133,35,11,191,61,47,12,156,110,108,41,4,61,1
"LOC111104153",20,14,29,48,14,25,28,38,39,4,1,20,3,0,7,33,51,6,0,13,12,4,1,23,17,10,2,0,4,1
"LOC111134573",0,3,3,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111129318",3,1,17,0,1,106,0,0,8,1,0,7,2,0,1,0,2,7,0,1,0,0,0,0,1,0,1,0,14,1
"LOC111134552",1,0,8,0,0,0,1,1,1,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,0
"LOC111134566",0,0,11,0,0,0,0,0,0,2,0,10,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,19,0
"LOC111121733",115,100,112,86,105,70,59,109,68,19,15,65,15,7,37,83,148,32,5,74,26,39,10,111,68,40,11,47,44,2
"LOC111109754",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0
"LOC111109745",2,3,1,0,2,3,3,1,1,0,0,1,0,1,0,3,0,1,0,1,3,0,0,0,3,0,1,0,3,0
"LOC111099207",1,1,2,0,5,3,0,3,1,0,0,1,0,0,0,2,1,0,1,2,0,0,0,3,0,1,0,0,0,0
"LOC111103463",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
"LOC111131721",164,112,67,40,144,112,48,56,84,24,12,48,14,10,21,89,62,31,3,44,18,12,10,54,45,33,19,0,55,1
"LOC111131752",15,11,14,24,13,8,13,26,10,4,2,3,3,2,10,14,38,3,0,9,4,8,3,36,12,13,12,2,8,1
"LOC111131766",12,12,22,15,8,3,7,38,11,1,5,13,4,1,11,5,26,5,1,6,1,8,3,17,4,13,4,1,8,1
"LOC111131682",645,459,301,258,496,496,159,326,290,119,49,214,41,36,55,345,363,55,25,291,104,118,31,311,197,137,90,79,199,49
"LOC111128103",561,446,331,259,512,484,166,471,277,85,46,252,72,51,102,459,388,73,33,287,145,91,52,226,198,177,105,113,263,110
"LOC111100789",5,4,1,0,0,3,0,7,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0
"LOC111100985",92,1,0,0,0,2,2,5,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"LOC111103245",0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"LOC111112387",305,294,229,134,312,253,136,280,238,44,29,118,20,13,48,212,379,47,25,134,75,72,14,155,142,117,40,126,154,5
"LOC111114799",78,31,23,17,24,37,15,34,31,17,8,18,4,0,4,27,35,4,6,27,10,11,9,21,25,20,3,0,47,3
"LOC111129446",157,86,140,60,134,120,66,126,105,20,11,91,15,6,16,147,140,18,11,86,39,33,11,108,70,63,38,29,53,1
"LOC111100566",99,143,62,73,149,98,40,119,65,21,7,84,5,3,19,86,118,14,5,61,30,26,14,66,39,40,30,2,42,2
"LOC111136882",20,17,69,43,37,25,25,28,55,10,3,48,2,2,9,61,90,30,1,37,27,15,8,41,52,31,29,1,2,5
"LOC111136873",85,9,68,49,155,11,12,74,38,14,8,41,1,2,9,56,115,17,4,88,4,27,3,70,21,16,8,5,35,3
"LOC111129522",0,0,2,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,17,0,0,0,1,0,1,0,0,0,0
"LOC111100662",2,6,1,0,2,1,6,0,0,0,1,1,11,6,31,147,0,1,4,2,2,0,0,0,0,0,8,0,0,0
"LOC111100672",1,3,2,0,3,1,0,0,0,0,1,0,6,4,16,212,0,0,9,5,0,0,0,3,0,0,15,0,0,0
"LOC111105302",13,7,6,3,9,16,2,7,1,5,4,5,1,1,0,9,4,4,0,10,2,2,0,8,4,5,3,0,2,0
"LOC111137770",12,19,2,2,11,5,4,4,4,1,3,2,0,1,1,19,8,1,2,11,2,4,2,6,1,7,11,38,5,0
"LOC111119645",1,17,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111103288",41,13,18,26,23,40,16,23,23,9,3,20,4,4,10,29,43,4,10,44,16,11,1,29,22,16,4,39,9,1
"LOC111129738",6,5,10,2,0,5,4,5,13,2,0,4,0,0,0,15,3,1,0,2,1,1,0,8,3,3,1,0,1,0
"LOC111129748",0,1,0,0,0,0,2,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111134153",2,5,6,2,3,0,5,1,0,5,2,1,0,2,0,7,4,0,0,4,4,1,0,4,1,1,2,0,4,0
"LOC111133651",300,264,162,113,274,285,94,163,172,67,17,108,40,23,36,252,172,42,24,160,81,66,29,156,125,80,59,133,105,5
"LOC111105807",388,385,207,151,417,378,140,272,203,75,18,161,12,12,31,364,278,31,23,213,71,82,29,222,136,71,63,5,217,3
"LOC111129837",56,38,35,14,57,40,18,33,40,8,2,21,0,2,6,27,38,9,3,22,6,8,1,26,11,12,9,0,23,0
"LOC111129861",1,5,0,0,3,3,0,1,1,0,0,1,0,0,0,4,0,0,0,1,1,0,0,0,1,0,0,0,4,0
"LOC111129878",0,5,5,0,16,2,1,0,0,1,0,0,0,0,3,5,1,0,0,1,0,0,0,1,0,0,0,0,4,0
"LOC111104541",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0
"LOC111126076",2,1,0,1,3,0,1,0,0,0,0,0,0,0,2,2,3,0,0,5,0,0,0,1,1,0,0,0,0,0
"LOC111126102",37,46,40,26,43,27,26,21,13,7,3,10,5,6,13,31,17,4,7,18,6,9,3,23,9,10,6,12,16,1
"LOC111129935",9,21,6,12,3,17,22,5,14,15,6,6,4,3,6,27,19,3,1,38,8,2,2,45,15,25,9,0,1,0
"LOC111116034",3,14,2,0,15,13,4,4,12,7,6,1,0,3,2,12,1,1,0,10,0,2,3,8,4,3,2,0,7,0
"LOC111111995",39,25,8,9,25,30,6,14,13,5,3,10,1,1,2,21,19,2,4,10,7,3,0,2,8,2,5,23,9,1
"LOC111130149",2,1,2,1,0,0,2,0,3,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,1,0,0,0
"LOC111134929",31,24,14,15,31,23,12,17,10,9,4,8,5,5,2,21,14,4,2,12,11,4,1,19,15,3,6,2,11,1
"LOC111118727",3,6,2,3,5,4,6,1,3,1,0,1,0,0,9,4,2,0,0,4,0,2,0,3,2,0,2,0,3,0
"LOC111103139",55,40,24,9,41,43,32,16,40,8,6,20,5,9,9,59,43,9,4,47,11,16,6,19,19,35,8,53,12,0
"LOC111119020",28,2,7,4,9,8,10,27,13,16,2,6,1,0,7,10,21,0,2,23,3,3,3,36,6,14,13,2,14,0
"LOC111125333",192,169,120,92,179,214,80,179,174,34,26,94,16,23,36,199,187,33,12,155,50,52,20,147,102,104,34,97,57,29
"LOC111136966",127,90,60,51,101,106,40,65,48,23,6,34,7,9,5,112,57,15,8,41,24,21,4,61,45,44,17,33,45,0
"LOC111115980",1,0,5,0,0,21,0,3,2,0,0,10,0,0,0,1,2,0,0,0,2,0,0,0,0,6,0,0,14,0
"LOC111112068",79,87,63,45,94,88,37,73,85,27,6,40,7,3,18,89,60,9,6,74,29,16,13,62,43,29,8,4,47,1
"LOC111106561",0,0,5,5,3,0,3,3,10,1,0,1,0,0,1,2,5,1,0,3,0,4,1,5,1,3,0,0,1,0
"LOC111124863",13,69,24,39,164,70,32,48,15,17,11,8,5,0,6,38,85,2,1,72,9,28,13,49,10,22,13,1,6,2
"LOC111124850",45,43,15,8,34,47,12,38,23,4,2,11,4,1,6,20,15,4,2,17,8,4,2,25,9,17,4,0,21,0
"LOC111119716",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"LOC111132898",15,11,7,8,9,15,9,7,18,0,0,5,3,3,4,24,19,3,1,12,3,3,1,11,5,3,3,0,11,1
"LOC111101169",7,27,13,2,17,10,1,7,10,3,0,7,1,0,3,11,9,2,0,9,3,3,1,3,13,2,7,1,10,1
"LOC111101176",0,0,0,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"LOC111101185",4,0,7,0,16,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"LOC111101139",40,37,25,14,31,34,15,82,11,5,3,26,2,2,11,30,32,2,3,23,11,5,1,26,24,21,15,1,13,0
"LOC111101156",148,61,80,31,13,74,55,34,85,10,6,61,12,3,27,110,22,22,7,38,12,21,6,51,65,44,22,2,91,0
"LOC111104454",2,0,0,0,9,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"LOC111102578",2,1,2,2,2,0,3,2,0,0,2,2,0,0,1,0,5,1,0,1,0,2,0,6,1,4,0,0,2,0
"LOC111108648",81,83,62,46,83,84,44,68,78,25,4,39,12,4,19,83,70,14,4,65,36,22,10,63,43,35,14,3,54,2
"LOC111127270",2,0,7,0,1,17,1,1,2,1,0,5,0,0,0,2,1,0,0,1,0,0,0,1,0,6,5,0,19,1
"LOC111117581",107,101,75,55,143,121,28,72,68,20,11,62,12,2,21,154,72,24,15,49,27,45,10,75,40,33,21,32,30,1
"LOC111114641",0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,17,1,0,1,4,0,0,0,0,0,3,2,0,0,0
