GeneID	Length	X2018..BBB.WBO.B21.CV_sorted.bam	X2018..BBB.WBV.B70.CV_sorted.bam	X2018..BBO.BBO.B16.CV_sorted.bam	X2018..BBO.BBY.B27.CV_sorted.bam	X2018..BBO.WBO.B16.CV_sorted.bam	X2018..BBO.WBV.B64.CV_sorted.bam	X2018..BBR.BBB.B50.CV_sorted.bam	X2018..BBR.BBG.B38.CV_sorted.bam	X2018..BBR.BBY.B26.CV_sorted.bam	X2018..BBY.WBG.B42.CV_sorted.bam	X2018..BPO.BPO.O16.CV_sorted.bam	X2018..BPR.BPG.O38.CV_sorted.bam	X2018..BPR.BPR.O02.CV_sorted.bam	X2018..BPY.BPG.O42.CV_sorted.bam	X2018..BPY.BPY.O29.CV_sorted.bam	X2018..WBB.WBV.W69.CV_sorted.bam	X2018..WBG.BBB.W56.CV_sorted.bam	X2018..WBG.WBG.W44.CV_sorted.bam	X2018..WBO.BBR.W03.CV_sorted.bam	X2018..WBO.WBV.W64.CV_sorted.bam	X2018..WBR.BBY.W25.CV_sorted.bam	X2018..WBV.WBO.W23.CV_sorted.bam	X2018..WBV.WBR.W12.CV_sorted.bam	X2018..WBY.BBV.W65.CV_sorted.bam	X2018..WBY.BBY.W30.CV_sorted.bam	X2018..WPB.BPG.G45.CV_sorted.bam	X2018..WPO.BPO.G16.CV_sorted.bam	X2018..WPO.BPY.G28.CV_sorted.bam	X2018..WPR.BPY.G25.CV_sorted.bam	X2018..WPV.BPR.G11.CV_sorted.bam
LOC111114212	11815	344	263	355	252	383	376	143	351	378	65	42	211	50	22	73	401	330	69	30	313	108	111	38	335	229	178	104	12	175	10
LOC111138315	18060	372	301	233	182	388	321	139	240	305	46	21	151	39	21	62	313	335	56	14	219	93	60	15	239	159	155	69	4	120	2
LOC111138321	36474	529	354	279	216	405	307	150	204	217	100	27	150	41	11	51	257	225	46	17	208	86	106	32	228	101	126	61	45	188	9
LOC111121058	8230	162	79	164	50	133	193	43	119	80	29	20	72	10	7	29	231	121	15	15	86	35	34	17	64	49	58	32	188	77	6
LOC111138070	3546	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	6	20	0	4	3	0	1	1
LOC111108931	48163	17	19	0	1	1	2	7	3	5	3	0	1	2	0	0	6	0	0	2	0	2	0	0	1	2	4	0	1	16	0
LOC111108878	38338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111108901	45366	238	149	91	88	290	161	40	119	115	43	8	84	5	5	16	99	68	24	5	122	34	55	7	117	67	20	40	6	119	2
LOC111130095	4983	87	98	47	41	152	112	33	37	61	15	3	26	9	3	13	69	76	12	3	67	20	14	4	57	29	18	11	6	21	1
LOC111103204	4221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC111103224	1922	11	10	1	0	18	9	3	1	4	0	0	3	0	0	0	0	0	0	1	4	0	2	0	0	1	1	0	1	0	0
LOC111131060	6371	0	0	0	0	0	0	0	2	0	0	0	14	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
LOC111131074	26591	112	80	49	72	128	115	33	66	59	16	7	49	18	8	17	78	95	10	6	34	63	35	4	102	52	31	18	21	56	4
LOC111131094	5520	0	0	1	0	0	0	0	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC111131052	3194	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC111116497	6667	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0
LOC111115921	5221	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC111116467	3259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111104259	3217	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111114340	1386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111134965	11102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC111111519	3105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
