"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","plot","more_me_in"
"LOC111134148",17.313502105994,0.0997856502290096,0.23289207448096,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136092",0.468681807824478,-0.0324956473758771,0.729364244420839,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135254",6.31216738712374,0.623683871427655,0.408351306140263,0.915103896592655,0.360137089563066,1,"hypoxic_vs_control","not significant"
"LOC111136073",57.3714673467286,0.214793092271721,0.414976557507522,0,1,1,"hypoxic_vs_control","not significant"
"LOC111133357",1.95523323344166,0.627770569796194,0.490284179724631,0.770513480586646,0.440995361607826,1,"hypoxic_vs_control","not significant"
"LOC111133359",0.287853726850895,0.171860412313586,0.644019749320817,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136078",2.15873232805344,-0.159263150035929,0.657155687535637,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136233",0.73458481253993,0.190551552494324,0.712335641409927,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136234",0.239547964111931,-0.222666242932592,0.634986130498846,0,1,1,"hypoxic_vs_control","not significant"
"LOC111133811",1.84970505613494,-0.360387578293187,0.673703096414853,-0.163851968145346,0.869847679814367,1,"hypoxic_vs_control","not significant"
"LOC111133810",15.1269147151776,0.347406090294902,0.241766762427554,0.402892810065609,0.687027080861053,1,"hypoxic_vs_control","not significant"
"LOC111136219",42.7972378131573,0.260793944652397,0.244317819294328,0.0441799320392327,0.964760978345004,1,"hypoxic_vs_control","not significant"
"LOC111137105",0.736071960450984,0.136456284257315,0.644452275817145,0,1,1,"hypoxic_vs_control","not significant"
"LOC111137103",2.9155039845507,0.797309722868311,0.52986927566288,1.03291462254273,0.301643855117379,1,"hypoxic_vs_control","not significant"
"LOC111134751",70.0907204706027,-0.237575995577491,0.295583204960367,0,1,1,"hypoxic_vs_control","not significant"
"LOC111132890",175.316404150773,0.429140221970805,0.608911276922274,0.294197576494665,NA,NA,"hypoxic_vs_control",NA
"LOC111134444",44.726787255452,0.170717956566492,0.328281877853208,0,1,1,"hypoxic_vs_control","not significant"
"LOC111099194",0.723470260934402,-0.0718036777607084,0.705924585421582,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136493",48.26915632679,-0.158826263262222,0.16278023107462,0,1,1,"hypoxic_vs_control","not significant"
"LOC111132229",0.639850271444551,0.260833746315479,0.720101475188412,0.0150447495092881,0.987996479468885,1,"hypoxic_vs_control","not significant"
"LOC111135048",36.8899035683982,0.202576591490885,0.244865146022785,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135285",0.224240634387031,-0.646267139946812,0.72482253867061,-0.546709185773391,0.584578542407112,1,"hypoxic_vs_control","not significant"
"LOC111132811",1.10745379044003,0.455965350953831,0.725082023244957,0.284058002199635,0.776365931159031,1,"hypoxic_vs_control","not significant"
"LOC111136215",20.7926449721621,-0.067684694343266,0.223929812856734,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136109",62.5575922424247,0.227961956914072,0.182074956244184,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136110",20.287789598444,0.0695017343762625,0.281879450260607,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134607",1.59228202321495,0.326454004525044,0.567749965045298,0.134661398911657,0.89287959433381,1,"hypoxic_vs_control","not significant"
"LOC111136008",3.16496816068399,0.242633027590671,0.468284507898969,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136661",3.70451284092407,-0.727190643935158,0.518123939785611,-0.920997096047347,0.357051943154859,1,"hypoxic_vs_control","not significant"
"LOC111136420",0.482408140681645,0.351334612512404,0.548150306055394,0.184866470734331,0.853333770135221,1,"hypoxic_vs_control","not significant"
"LOC111135183",63.760742217449,-0.139462141116915,0.150991639442753,0,1,1,"hypoxic_vs_control","not significant"
"LOC111138487",1.12387599410019,0.275702246523302,0.649098025097574,0.039596864463482,0.968414527275894,1,"hypoxic_vs_control","not significant"
"LOC111132067",19.6586419923122,-0.133340947188149,0.2453191863132,0,1,1,"hypoxic_vs_control","not significant"
"LOC111132068",0.567518170667238,-0.552125592656919,0.671543142205474,-0.44989751762587,0.652784337597757,1,"hypoxic_vs_control","not significant"
"LOC111135173",0.695868821958958,-0.58753205954972,0.644105782809233,-0.524032027903231,0.600256263642934,1,"hypoxic_vs_control","not significant"
"LOC111135171",62.1830882267868,0.291794803424033,0.163333432131572,0.255886396793313,0.798038558805829,1,"hypoxic_vs_control","not significant"
"LOC111136536",2.05030033061022,-0.236063542610556,0.500043770611101,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136213",8.09485954717036,0.558323136653493,0.417485768242289,0.738523705733981,0.460196267205058,1,"hypoxic_vs_control","not significant"
"LOC111138045",0.68018684586265,-0.534370471017767,0.721566880944355,-0.3941013349249,0.693506225476722,1,"hypoxic_vs_control","not significant"
"LOC111133961",4.30780231773227,0.650869006499939,0.471586627995855,0.850043200341683,0.395301068602235,1,"hypoxic_vs_control","not significant"
"LOC111136523",48.9378239359616,-0.0722974322324064,0.174790445586401,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136524",63.5325185687303,0.141374551802584,0.13644647942368,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136181",17.4352403676231,-0.0681129798457269,0.244077758245152,0,1,1,"hypoxic_vs_control","not significant"
"LOC111138459",0.506803801221622,0.391485364515819,0.705878281215072,0.200438755917339,0.841137451596206,1,"hypoxic_vs_control","not significant"
"LOC111135388",6.29067221165003,-0.122325800364827,0.488731075626083,0,1,1,"hypoxic_vs_control","not significant"
"LOC111134515",15.4845130620224,0.351032615903117,0.246806504383085,0.409359616172421,0.682275771277433,1,"hypoxic_vs_control","not significant"
"LOC111132235",1.22659551630436,-1.27611538622237,0.699104479382279,-1.46775684677208,0.142170283138704,1,"hypoxic_vs_control","not significant"
"LOC111133422",0.411939391381004,0.112733556708895,0.717249745395241,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135569",4.67413171589844,-0.176856754576372,0.469396244535827,0,1,1,"hypoxic_vs_control","not significant"
"LOC111136390",3.7872771515267,-0.743810097092507,0.526817363771393,-0.937345902111896,0.34858065857645,1,"hypoxic_vs_control","not significant"
"LOC111135991",0.224196979981972,-0.160639756001913,0.682382715612962,0,1,1,"hypoxic_vs_control","not significant"
"LOC111138100",4.06752814966157,0.277921875532917,0.384629900611383,0.0725941365674758,0.94212909275216,1,"hypoxic_vs_control","not significant"
"LOC111133707",2.71161989935471,-0.167512616142662,0.539142368178166,0,1,1,"hypoxic_vs_control","not significant"
"LOC111133710",1.74685769045699,0.0737637644059834,0.666053576613143,0,1,1,"hypoxic_vs_control","not significant"
"LOC111135353",8.7671289267307,0.623478006493242,0.271039701699447,1.37794575536904,0.168220036631519,1,"hypoxic_vs_control","not significant"
"LOC111136322",0.900193640602182,-0.154469983493444,0.700930173282644,0,1,1,"hypoxic_vs_control","not significant"
"LOC111138296",4.66596602139727,0.744484348177552,0.592699621028296,0.834291655728838,0.404116652777273,1,"hypoxic_vs_control","not significant"
"LOC111138193",2.59873694466985,-0.0301488418137051,0.582067533011276,0,1,1,"hypoxic_vs_control","not significant"
