"","gene","p2ch_lfc","p1hypoxic_lfc"
"1","LOC111099571",1.23777204961718,2.03914099753417
"2","LOC111099928",1.17989192047825,1.37466826823758
"3","LOC111101237",0.937623400931123,1.23380299930244
"4","LOC111108235",1.74485218671657,2.95338859075441
"5","LOC111108786",1.41382252418022,1.74368618852186
"6","LOC111115224",-1.57933148798264,-2.11326242201867
"7","LOC111117306",-1.6160434962794,-2.20976635118227
"8","LOC111119407",1.38328833296061,1.85229948788238
"9","LOC111121187",1.29514836873105,1.77170032466889
"10","LOC111126815",1.06179744335107,1.19313489686831
"11","LOC111128157",-1.19524755892959,-1.38462591336293
"12","LOC111130099",1.31837070018209,2.23698929048778
"13","LOC111130485",0.996193873473505,1.19933918248223
"14","LOC111130551",1.26831800120598,1.400898647321
"15","LOC111131029",1.55212242940005,1.82706694209209
"16","LOC111132268",-1.35732689539286,-1.50267738468332
"17","LOC111135380",1.07923785157401,1.36404352298817
"18","LOC111138068",-1.2163136307054,-1.27593745641996
