"","symbol","baseMean","log2FC","lfcSE","stat","pvalue","padj"
"2","LOC111109809",2.62732745230971,1.78074036668863,0.360740268021613,4.24333101231969,2.20226223503988e-05,0.00387468608529664
"3","LOC111104153",15.5736447049123,1.37079486146958,0.290240569301499,3.86160647412909,0.000112643901992408,0.0142359680644772
"4","LOC111128314",19.6981582838993,1.33890990363445,0.29270811015298,3.7201220802025,0.00019912650233472,0.0203041148346528
"5","LOC111128868",4.35569869671023,-1.5210719232206,0.36163306216411,-3.51481116138598,0.000440066792045356,0.036226782798376
"10","LOC111099928",11.3989441697335,1.30467835392476,0.295952573002045,3.56367354142745,0.000365700727079764,0.030956911547988
"17","LOC111130743",33.7137440220609,-1.07659763188817,0.21284483741705,-3.88356909154685,0.000102934264497261,0.0133859297874482
"23","LOC111119775",27.1901348644983,1.1086221695858,0.217596731138941,3.94593321825936,7.94897683948653e-05,0.0111447139344864
"25","LOC111121187",8.39002757076242,1.54951725742582,0.338934837086767,3.83412123874756,0.000126013980667922,0.0152800466018009
"28","LOC111122360",8.93326599710247,-1.6145162698361,0.302495515629531,-4.51086445693706,6.45639680475297e-06,0.00137936306021544
"30","LOC111119639",4.68691852280592,1.58756572004601,0.361730242824227,3.69768839233043,0.000217571738208635,0.0216919022994009
"31","LOC111122141",8.01200188825375,1.4509724902364,0.337443843136875,3.55902919748712,0.000372228153573518,0.0312149833833194
"32","LOC111121972",4.57620141956526,-1.62587693334134,0.348511321184644,-3.94786869093526,7.88500299060407e-05,0.0111447139344864
"33","LOC111121129",21.9809863356662,1.49018971373594,0.268925599383477,4.61164618236092,3.9949256455423e-06,0.000968823454525705
"35","LOC111120498",12.684766184472,1.3846466387039,0.328840114131501,3.4504508116372,0.000559651142693461,0.0436069086248072
"36","LOC111122577",7.42521173064851,1.49480726612762,0.34259659531665,3.63344902764457,0.000279657714220664,0.0250936866970202
"37","LOC111124824",11.6459694292205,1.66541244666219,0.361808012566199,3.91205390014191,9.15144795229494e-05,0.0124418094660519
"41","LOC111124781",17.4013892345824,1.34744535766776,0.321449637722233,3.41405069062816,0.000640046662826151,0.0466921845978784
"42","LOC111127404",14.088526703847,1.51061587924225,0.30236027102703,4.16925105590196,3.05602212211614e-05,0.00517390311353738
"44","LOC111127492",37.750709845259,-1.10857186816182,0.243764065946714,-3.52214287543717,0.000428073368299977,0.0355657623495897
"45","LOC111126815",24.9015216611225,1.19165125086724,0.246241101798561,3.82410265381919,0.000131249226355623,0.0153288629267878
"48","LOC111125123",4.2541345318283,-1.61191250910386,0.339408805030751,-4.01260217447945,6.00530721030359e-05,0.00887043368478096
"50","LOC111127288",17.9408116695191,1.32899161493787,0.280660256077383,3.84447598679728,0.000120810313745914,0.014849738975919
"51","LOC111127067",9.30063492722469,1.47815063545914,0.343040935367725,3.58018681981093,0.000343348639439928,0.0293415937304235
"58","LOC111131105",39.2205134072148,-1.25981272153081,0.235454773533068,-4.28877574397104,1.79660655847563e-05,0.00322419012984036
"62","LOC111130485",19.9224679890632,1.17714741889912,0.246413392688386,3.76256910707602,0.000168176816014536,0.0184030557329077
"65","LOC111130374",4.85806764942467,1.5292596031464,0.340824981197566,3.75342088673028,0.000174437602721722,0.0184998092809742
"67","LOC111128157",10.7382768095917,-1.35807168428425,0.285786944954691,-3.87726487807175,0.000105637332519729,0.013541196924279
"69","LOC111131546",5.71289029388953,1.82230393347634,0.345267399648845,4.55387312869809,5.2667126673395e-06,0.00118145531910093
"71","LOC111130593",5.891968028525,1.45463848742443,0.350804753381091,3.43392863356041,0.000594900802496858,0.0444619036538558
"74","LOC111133731",6.74990642215184,-1.56940013652211,0.358235372365293,-3.68305376381625,0.000230456530459525,0.0224410933122591
"77","LOC111135192",6.80975682968312,1.57319112460133,0.352914052001571,3.7493296656701,0.000177307878988497,0.0184998092809742
"84","LOC111135697",7.04398075236453,1.48383956271234,0.332930275076398,3.70599988970425,0.000210558389779565,0.0212285441740678
"85","LOC111136209",23.1779644528384,1.50662556039893,0.279226604450965,4.50037904829948,6.78323935838068e-06,0.00141548852936628
"101","LOC111101122",25.839617989013,-1.17318635603114,0.262860685177347,-3.51207467715562,0.000444623046348874,0.0362691144989858
"105","LOC111103618",41.8527178181674,-0.818162360506675,0.164756978202309,-3.44848738248291,0.000563735807475497,0.0436069086248072
"113","LOC111110897",42.8229469032408,-1.34324248609029,0.265761803247708,-4.11361780636068,3.89506120054509e-05,0.00635461530045292
"114","LOC111115479",10.6172013320745,-1.45122904494042,0.347567032426004,-3.45610755012029,0.000548036606562386,0.0435179864662327
"116","LOC111111169",37.9151701068703,0.899486273672075,0.189254650651918,3.4318114320299,0.000599564286427789,0.0444619036538558
"117","LOC111115741",79.7093923057638,-1.27605626968556,0.272038299349853,-3.77173461287524,0.000162116629369383,0.0179589199423638
"120","LOC111116124",2.65270106934941,1.63229366944643,0.361520598894443,3.82355438023059,0.000131541563062818,0.0153288629267878
"121","LOC111111680",32.0812878951192,1.09909789050754,0.247387051915725,3.43226488182089,0.000598562634731861,0.0444619036538558
"122","LOC111112656",12.3154585494434,1.7142555467677,0.316738519251034,4.6229159315075,3.78383099339777e-06,0.000967554012092836
"124","LOC111117306",15.3804535161045,-1.79697265597652,0.347097687303895,-4.45687975622291,8.3161217767649e-06,0.00169592183415708
