From	To
LOC111134684	111134684
LOC111108397	111108397
LOC111107066	111107066
LOC111134686	111134686
LOC111107067	111107067
LOC111133354	111133354
LOC111134688	111134688
LOC111133356	111133356
LOC111107061	111107061
LOC111121372	111121372
LOC111107062	111107062
LOC111120041	111120041
LOC111121370	111121370
LOC111107064	111107064
LOC111121375	111121375
LOC111121376	111121376
LOC111120045	111120045
LOC111121373	111121373
LOC111120049	111120049
LOC111120048	111120048
LOC111133351	111133351
LOC111134681	111134681
LOC111133350	111133350
LOC111133364	111133364
LOC111108386	111108386
LOC111133363	111133363
LOC111108385	111108385
LOC111132033	111132033
LOC111133365	111133365
LOC111107057	111107057
LOC111133368	111133368
LOC111133369	111133369
LOC111120054	111120054
LOC111120055	111120055
LOC111134691	111134691
LOC111132030	111132030
LOC111119033	111119033
LOC111135994	111135994
LOC111107088	111107088
LOC111133337	111133337
LOC111134669	111134669
LOC111104814	111104814
LOC111122682	111122682
LOC111120022	111120022
LOC111121357	111121357
LOC111122688	111122688
LOC111122689	111122689
LOC111134660	111134660
LOC111134672	111134672
LOC111133341	111133341
LOC111133345	111133345
LOC111134678	111134678
LOC111121360	111121360
LOC111104803	111104803
LOC111119053	111119053
LOC111121368	111121368
LOC111121366	111121366
LOC111104809	111104809
LOC111104805	111104805
LOC111134670	111134670
LOC111119055	111119055
LOC111133397	111133397
LOC111133399	111133399
LOC111099792	111099792
LOC111133398	111133398
LOC111116810	111116810
LOC111120081	111120081
LOC111120080	111120080
LOC111120082	111120082
LOC111120087	111120087
LOC111120086	111120086
LOC111104835	111104835
LOC111119084	111119084
LOC111103500	111103500
LOC111132060	111132060
LOC111103509	111103509
LOC111104839	111104839
LOC111119088	111119088
LOC111107099	111107099
LOC111099781	111099781
LOC111120090	111120090
LOC111120092	111120092
LOC111107093	111107093
LOC111120094	111120094
LOC111104824	111104824
LOC111119074	111119074
LOC111120099	111120099
LOC111119072	111119072
LOC111119077	111119077
LOC111132075	111132075
LOC111099772	111099772
LOC111132043	111132043
LOC111133379	111133379
LOC111099776	111099776
LOC111133378	111133378
LOC111099774	111099774
LOC111115501	111115501
LOC111104850	111104850
LOC111121393	111121393
LOC111120063	111120063
LOC111120065	111120065
LOC111120066	111120066
LOC111120068	111120068
LOC111104852	111104852
LOC111132041	111132041
LOC111133372	111133372
LOC111133386	111133386
LOC111116825	111116825
LOC111132055	111132055
LOC111132057	111132057
LOC111099764	111099764
LOC111120070	111120070
LOC111119098	111119098
LOC111103516	111103516
LOC111103513	111103513
LOC111120077	111120077
LOC111103514	111103514
LOC111120079	111120079
LOC111119093	111119093
LOC111103517	111103517
LOC111132052	111132052
LOC111127510	111127510
LOC111128847	111128847
LOC111104878	111104878
LOC111102211	111102211
LOC111115520	111115520
LOC111116844	111116844
LOC111128857	111128857
LOC111128859	111128859
LOC111102202	111102202
LOC111103534	111103534
LOC111104864	111104864
LOC111128855	111128855
LOC111114212	111114212
LOC111104893	111104893
LOC111103560	111103560
LOC111102230	111102230
LOC111103568	111103568
LOC111103567	111103567
LOC111103564	111103564
LOC111102234	111102234
LOC111132084	111132084
LOC111132098	111132098
LOC111114205	111114205
LOC111114201	111114201
LOC111115535	111115535
LOC111103559	111103559
LOC111103557	111103557
LOC111128838	111128838
LOC111103558	111103558
LOC111128837	111128837
LOC111103555	111103555
LOC111128831	111128831
LOC111128834	111128834
LOC111128833	111128833
LOC111132090	111132090
LOC111132092	111132092
LOC111132095	111132095
LOC111132097	111132097
LOC111103584	111103584
LOC111128883	111128883
LOC111102251	111102251
LOC111126222	111126222
LOC111128885	111128885
LOC111103589	111103589
LOC111102258	111102258
LOC111126226	111126226
LOC111103587	111103587
LOC111126227	111126227
LOC111138201	111138201
LOC111138216	111138216
LOC111114229	111114229
LOC111102243	111102243
LOC111127564	111127564
LOC111128896	111128896
LOC111126234	111126234
LOC111126230	111126230
LOC111103579	111103579
LOC111126237	111126237
LOC111128899	111128899
LOC111114220	111114220
LOC111115551	111115551
LOC111114222	111114222
LOC111102275	111102275
LOC111127531	111127531
LOC111126203	111126203
LOC111128864	111128864
LOC111126205	111126205
LOC111115586	111115586
LOC111103596	111103596
LOC111128871	111128871
LOC111102262	111102262
LOC111127542	111127542
LOC111103594	111103594
LOC111128870	111128870
LOC111103590	111103590
LOC111127548	111127548
LOC111128879	111128879
LOC111126214	111126214
LOC111126215	111126215
LOC111126216	111126216
LOC111114242	111114242
LOC111138249	111138249
LOC111138241	111138241
LOC111126277	111126277
LOC111102283	111102283
LOC111126272	111126272
LOC111138251	111138251
LOC111115597	111115597
LOC111127575	111127575
LOC111126240	111126240
LOC111127571	111127571
LOC111126241	111126241
LOC111109703	111109703
LOC111114299	111114299
LOC111114293	111114293
LOC111114292	111114292
LOC111109708	111109708
LOC111138239	111138239
LOC111126255	111126255
LOC111127582	111127582
LOC111126257	111126257
LOC111127588	111127588
LOC111127589	111127589
LOC111138235	111138235
LOC111114282	111114282
LOC111114281	111114281
LOC111138233	111138233
LOC111138232	111138232
LOC111109720	111109720
LOC111110712	111110712
LOC111110718	111110718
LOC111138280	111138280
LOC111138286	111138286
LOC111122703	111122703
LOC111122707	111122707
LOC111138289	111138289
LOC111138293	111138293
LOC111138290	111138290
LOC111122712	111122712
LOC111109717	111109717
LOC111110732	111110732
LOC111109744	111109744
LOC111108413	111108413
LOC111110733	111110733
LOC111109747	111109747
LOC111109746	111109746
LOC111109748	111109748
LOC111109732	111109732
LOC111108403	111108403
LOC111126296	111126296
LOC111138272	111138272
LOC111138277	111138277
LOC111110750	111110750
LOC111108432	111108432
LOC111134721	111134721
LOC111099754	111099754
LOC111134720	111134720
LOC111108433	111108433
LOC111134723	111134723
LOC111107104	111107104
LOC111134722	111134722
LOC111107105	111107105
LOC111109766	111109766
LOC111110751	111110751
LOC111134725	111134725
LOC111134726	111134726
LOC111134728	111134728
LOC111108438	111108438
LOC111122749	111122749
LOC111109750	111109750
LOC111133403	111133403
LOC111108425	111108425
LOC111109755	111109755
LOC111134735	111134735
LOC111099746	111099746
LOC111134737	111134737
LOC111134739	111134739
LOC111099748	111099748
LOC111121423	111121423
LOC111122753	111122753
LOC111122759	111122759
LOC111108426	111108426
LOC111108451	111108451
LOC111108453	111108453
LOC111109787	111109787
LOC111108456	111108456
LOC111107125	111107125
LOC111109786	111109786
LOC111134701	111134701
LOC111119108	111119108
LOC111134700	111134700
LOC111107127	111107127
LOC111134702	111134702
LOC111099734	111099734
LOC111134707	111134707
LOC111134709	111134709
LOC111109780	111109780
LOC111099737	111099737
LOC111119106	111119106
LOC111119105	111119105
LOC111119101	111119101
LOC111119100	111119100
LOC111109772	111109772
LOC111107111	111107111
LOC111107112	111107112
LOC111108442	111108442
LOC111134710	111134710
LOC111107113	111107113
LOC111134712	111134712
LOC111134713	111134713
LOC111099724	111099724
LOC111134716	111134716
LOC111110767	111110767
LOC111099723	111099723
LOC111099722	111099722
LOC111099729	111099729
LOC111134719	111134719
LOC111121400	111121400
LOC111109779	111109779
LOC111122734	111122734
LOC111122738	111122738
LOC111121408	111121408
LOC111108476	111108476
LOC111110792	111110792
LOC111108475	111108475
LOC111133433	111133433
LOC111108477	111108477
LOC111134767	111134767
LOC111107149	111107149
LOC111134768	111134768
LOC111132109	111132109
LOC111108470	111108470
LOC111120120	111120120
LOC111119120	111119120
LOC111121452	111121452
LOC111120121	111120121
LOC111120124	111120124
LOC111122785	111122785
LOC111120125	111120125
LOC111120128	111120128
LOC111120127	111120127
LOC111119126	111119126
LOC111110790	111110790
LOC111108462	111108462
LOC111134774	111134774
LOC111110780	111110780
LOC111107135	111107135
LOC111107136	111107136
LOC111132118	111132118
LOC111099700	111099700
LOC111122794	111122794
LOC111122795	111122795
LOC111120132	111120132
LOC111120135	111120135
LOC111122798	111122798
LOC111120134	111120134
LOC111121468	111121468
LOC111120137	111120137
