Symbol,log2fc
LOC111119754,NA
LOC111121693,NA
LOC111126076,-0.0849523271641908
LOC111126102,0.287153419179707
LOC111129935,-0.0344353748466659
LOC111116034,-1.12627291314173
LOC111116043,NA
LOC111111995,-0.577118029831918
LOC111130149,0.235818247249972
LOC111134929,-0.32235511000734
LOC111101827,-0.0611459942251084
LOC111118727,-0.0267597518386806
LOC111105905,0.281915389507304
LOC111103607,-0.0675515812755959
LOC111111287,-0.00857593059518913
LOC111115930,0
LOC111130161,3.37394871100967e-05
LOC111110859,0.06592185904277
LOC111103139,-0.0902613581672548
LOC111103146,NA
LOC111119414,0
LOC111122198,NA
LOC111119020,0.179942518776036
LOC111125333,0.128110698183613
LOC111125334,0.10731695745396
LOC111136966,-0.229217351154404
LOC111115980,-0.444874015644983
LOC111115748,-0.0662959389947524
LOC111112068,-0.0612666661688646
LOC111106561,0.931782147372307
LOC111109865,-0.169554649164239
LOC111111799,NA
LOC111131292,-0.157822872364143
LOC111124863,-0.209956092779915
LOC111124850,-0.151267166449055
LOC111130177,NA
LOC111119709,-0.0643781716217559
LOC111119716,0.0510527776786095
LOC111130195,0.00495123373358046
LOC111132898,0.598423778238737
LOC111130854,0.305155700386023
LOC111130204,NA
LOC111101169,-0.472964415453439
LOC111101176,0.140218598237838
LOC111101164,-0.0230943034369503
LOC111101185,-0.0388723632673863
LOC111101139,0.335236292752665
LOC111101156,0.463686518783893
LOC111115242,0.0257253040591031
LOC111110131,0
LOC111104454,-0.130588736687035
LOC111102578,0.323644331800258
LOC111108648,0.122339063692243
LOC111135567,0.0290671197578143
LOC111127270,-0.242228407194469
LOC111117581,-0.174886330938968
LOC111114641,0.182302901939186
LOC111127966,-0.038784687049693
LOC111118476,0.287794106503518
LOC111117949,0.0088647074510795
LOC111113361,-0.338857046482461
LOC111135136,0.279364079075834
LOC111135129,-0.00246412842652741
LOC111124109,0.537598250291567
LOC111130247,-0.46911358336299
LOC111116170,0
LOC111108867,-0.00916476771278624
LOC111130254,-0.0383266570430496
LOC111110154,0.319984500267366
LOC111118316,0.902546487076183
LOC111109243,0.130869705653594
LOC111134171,-0.462108661505049
LOC111111295,-0.119728479023349
LOC111104675,-1.11782179344865
LOC111104690,NA
LOC111104685,NA
LOC111130258,0.350066300479935
LOC111124761,0.0036465446424061
LOC111124729,-0.146108234027689
LOC111123551,NA
LOC111115318,-0.275437718501763
LOC111108836,NA
LOC111129854,NA
LOC111130260,-0.0664680756591605
LOC111121633,0
LOC111121476,-0.0435561636840684
LOC111121657,0.0231395917049874
LOC111121537,0.327834059254866
LOC111121602,0.0803789293625159
LOC111121565,-0.0104423254645609
LOC111121643,-0.197620065658342
LOC111121611,0.628474539234342
LOC111121524,0
LOC111121511,0.00575512509639314
LOC111121500,0.196466340630678
LOC111130637,0.482034886689393
LOC111130647,0.331730266011985
LOC111130653,0.400349269125037
LOC111130687,0.464474027987644
LOC111121667,NA
LOC111130696,-0.281935988910616
LOC111121491,-0.0835881800714675
LOC111130705,-0.111210282634266
LOC111111234,0.278048153315165
LOC111111523,NA
LOC111115108,NA
LOC111122419,1.17870723922305
LOC111122667,-0.0754835745546789
LOC111103571,0.021301956477868
LOC111104281,NA
LOC111110242,0
LOC111122632,-0.635633664327934
LOC111104573,-0.111863931681291
LOC111112751,NA
LOC111103358,0.985473016530641
