Symbol,log2fc
LOC111121693,NA
LOC111126076,-0.196372713498454
LOC111126102,0.0115858120925201
LOC111129935,-0.036655218503306
LOC111116034,0.0543544520563956
LOC111116043,NA
LOC111111995,0.628702174386076
LOC111130149,-0.108418768960972
LOC111134929,0.431043783631225
LOC111101827,-0.129517565088798
LOC111118727,0.019330474004545
LOC111105905,-0.916223556710717
LOC111103607,0.0268061423399208
LOC111111287,-0.0193873653386289
LOC111115930,0
LOC111130161,0.114443295175219
LOC111110859,0
LOC111103139,-0.459096353491558
LOC111103146,NA
LOC111119414,-0.0671646259896358
LOC111122198,NA
LOC111119020,-0.510363278451728
LOC111125333,-0.178234682105705
LOC111125334,-0.204786676784927
LOC111136966,0.230867022693311
LOC111115980,0.295348584513496
LOC111115748,-0.0938849316864351
LOC111112068,0.0702539416902645
LOC111106561,-0.72079326984591
LOC111109865,-0.03201662000075
LOC111111799,NA
LOC111131292,0.227591926216038
LOC111124863,-0.104366878605585
LOC111124850,0.0208641307632027
LOC111130177,NA
LOC111119709,-0.00373935128126558
LOC111119716,0
LOC111130195,-0.0329145296673985
LOC111132898,-0.392305636368972
LOC111130854,-0.777737829719704
LOC111130204,NA
LOC111101169,0.258927133600219
LOC111101176,-0.0201751360364374
LOC111101164,-0.0626348653503147
LOC111101185,0.105080853483865
LOC111101139,-0.290500139094202
LOC111101156,-0.413114594227477
LOC111115242,0.235453561818073
LOC111110131,0
LOC111104454,0.147859671048191
LOC111102578,-0.265431225338698
LOC111108648,-0.0518305107087438
LOC111135567,0
LOC111127270,0.529287845524495
LOC111117581,-0.138856745079155
LOC111114641,-0.252647038327055
LOC111127966,-0.182243171272599
LOC111118476,0.27998550852983
LOC111117949,-0.00697660205124297
LOC111113361,0.335940476148397
LOC111135136,0.421665590063002
LOC111135129,-0.16336264115875
LOC111124109,-0.0299957748227771
LOC111130247,0.432041060069701
LOC111116170,-0.0515108521258175
LOC111108867,-0.0187985282210318
LOC111130254,-0.0105233345054706
LOC111110154,-0.378524431596705
LOC111118316,-0.363840940606934
LOC111109243,-0.440293383096818
LOC111134171,0.910855949270618
LOC111111295,0.562817409000035
LOC111104675,0.235054813838554
LOC111104690,NA
LOC111104685,NA
LOC111130258,-0.413667375621105
LOC111124761,0.0742497566696401
LOC111124729,-0.52673554496077
LOC111123551,NA
LOC111115318,0.0852484566302239
LOC111108836,NA
LOC111129854,NA
LOC111130260,0.0223202211164411
LOC111121633,-0.0515108521258174
LOC111121476,0.11861966436277
LOC111121657,-0.0511028876388055
LOC111121537,0.0504800142180166
LOC111121602,0.259726640090781
LOC111121565,-0.0335827138628514
LOC111121643,0.205536163355468
LOC111121611,-0.139058064885695
LOC111121524,0
LOC111121511,-0.141431932521209
LOC111121500,0.120825161939207
LOC111130637,-0.430482928170853
LOC111130647,-0.222105277262771
LOC111130653,-0.297685405953679
LOC111130687,-0.398662014798463
LOC111121667,NA
LOC111130696,-0.203789765902043
LOC111121491,0.0264145188993944
LOC111130705,-0.0131646087051178
LOC111111234,-0.428278845982343
LOC111111523,NA
LOC111115108,NA
LOC111122419,-0.00341887934864366
LOC111122667,0.219369044559563
LOC111103571,0
LOC111104281,NA
LOC111110242,0
LOC111122632,0.364364853908973
LOC111104573,-0.0281846503039415
LOC111112751,NA
LOC111103358,-0.096250753474409
LOC111130710,NA
LOC111103382,-0.210400468450002
LOC111103323,-0.439783301703651
LOC111103371,NA
LOC111103390,NA
LOC111103401,NA
LOC111103376,NA
LOC111103364,NA
LOC111103397,NA
LOC111103418,NA
LOC111103431,NA
LOC111114348,NA
LOC111113021,-0.0656532956903318
LOC111105397,-0.156430174195652
LOC111099041,0.0635484556068291
LOC111099044,NA
LOC111106983,NA
LOC111106990,0.218843822857909
LOC111101696,NA
LOC111127424,0.273796579982084
LOC111127416,0.149408291359937
LOC111130719,NA
LOC111100099,NA
LOC111100174,NA
LOC111102085,-0.590408781532576
LOC111100597,NA
LOC111130728,-0.070325821902135
LOC111100624,NA
LOC111100606,NA
LOC111100615,0
LOC111137805,NA
LOC111137796,-0.0977793333272068
LOC111137812,0.382026841279827
LOC111137367,0.0159904335795985
LOC111137514,-0.0319107882342665
LOC111105370,0.467891087641852
LOC111105035,0.183234442579424
Trnae-uuc,NA
LOC111131375,-0.16290160273562
LOC111121096,-0.050001244698332
LOC111119818,-0.0585209721314206
LOC111112007,NA
LOC111134598,-0.877025355469099
LOC111135077,-0.131377791684327
LOC111125571,-0.118540978925479
LOC111125589,0.43639862180444
LOC111099659,-0.15387289368073
LOC111121270,0.0325090821747839
LOC111128222,0.747584177859875
LOC111128188,-0.0492826939306141
LOC111128242,NA
LOC111128251,NA
LOC111128259,NA
LOC111128319,NA
LOC111128278,NA
LOC111128335,NA
LOC111128267,NA
LOC111128231,NA
LOC111128314,NA
LOC111128306,NA
LOC111128293,NA
LOC111100637,-0.269488515077897
LOC111111564,-0.590184261001553
LOC111132592,-0.348331682852033
LOC111132666,0
LOC111132676,-0.0567044148704968
LOC111132686,-0.0356405389165776
LOC111132696,0.0166849595311756
LOC111132603,0.411957612103138
LOC111130754,0.206958228534069
LOC111132704,-0.0193873653386289
LOC111130799,NA
LOC111132545,0.0358851221078312
LOC111132570,-0.270682960213347
LOC111130808,-0.0465508392725052
LOC111132626,-0.227331490633016
LOC111132648,NA
LOC111132637,-0.292853009218001
LOC111130821,NA
LOC111136926,-0.46590939903753
LOC111130831,NA
LOC111118716,0.158963197133709
LOC111111325,NA
LOC111116154,NA
LOC111122704,0.431090652877253
LOC111121419,0.1709810094414
LOC111115085,0.0470584715316562
LOC111137561,-0.268527801838164
LOC111110225,NA
LOC111104106,-0.0463809038302288
LOC111125887,-0.102945455697398
LOC111125896,0.0201018728595701
LOC111125882,0.362300830946233
LOC111122605,-0.478288578016505
LOC111127890,-0.0903515636810191
LOC111119531,0.538461466885768
LOC111102427,NA
LOC111125338,0.484452072381054
LOC111125382,-0.0434186328981471
LOC111130840,-0.0118582623027703
LOC111127317,0.0630135358764019
Trnav-cac,NA
LOC111128791,NA
Trnav-cac_1,NA
LOC111128774,-0.0626802974136641
Trnav-cac_2,NA
LOC111128784,-0.72144151947342
LOC111130848,0.581332715526418
LOC111123891,-0.151806041094863
LOC111101094,NA
LOC111110267,NA
LOC111137833,-0.035238298367426
LOC111137826,-0.0191765549738317
LOC111111244,-0.251105289144397
LOC111130860,-0.0845617672789074
LOC111111488,-0.0952581989957038
LOC111130870,0.600428766521195
LOC111129292,0.0945562239146186
LOC111110900,NA
LOC111110891,NA
LOC111110884,NA
LOC111123767,0
LOC111127104,-0.248178455376775
LOC111100578,0.0707761326126645
LOC111104267,-0.0412950791064189
LOC111119653,0.443765198684578
LOC111130876,-0.573427892970818
LOC111101103,-0.0193873653386289
LOC111120458,0
LOC111120718,NA
LOC111111001,0.00374676676704552
LOC111100468,-0.049265252411686
LOC111114510,NA
LOC111104056,-0.14404880999838
LOC111111403,-0.046881178896199
LOC111130886,0.765590383560847
LOC111099410,-0.0642772442228046
LOC111109848,NA
LOC111109839,0
LOC111109321,NA
LOC111113745,NA
LOC111134162,-0.0193873653386289
LOC111120605,NA
LOC111109628,0.203739878183077
LOC111103508,-0.0934714381920122
LOC111137420,0.166508460018763
LOC111137407,-0.311165902666687
LOC111111015,0.336496667329981
LOC111100511,-0.842116735774789
LOC111111357,NA
LOC111101857,0.639655295647189
LOC111114229,0.477672598369955
LOC111130894,-0.0714548784161487
LOC111129231,0.242119726900431
LOC111129268,NA
