gene_id,logP
LOC111099410,NA
LOC111109848,NA
LOC111109839,NA
LOC111109321,NA
LOC111113745,NA
LOC111134162,NA
LOC111120605,NA
LOC111109628,0
LOC111103508,NA
LOC111137420,0
LOC111137407,0
LOC111111015,-1.2909429884209
LOC111100511,0
LOC111111357,NA
LOC111101857,NA
LOC111114229,0
LOC111130894,NA
LOC111129231,0
LOC111129268,NA
LOC111129259,NA
LOC111119081,NA
LOC111123731,NA
LOC111130903,0
LOC111102556,0
LOC111123911,NA
LOC111120179,NA
LOC111100957,-0.384011009355307
LOC111118371,0
LOC111130919,NA
LOC111130926,-0.265835077707051
LOC111130935,0
LOC111115104,NA
LOC111100011,NA
LOC111100027,NA
LOC111114533,NA
LOC111114772,NA
LOC111109516,NA
LOC111127903,NA
LOC111128030,NA
LOC111127982,NA
LOC111130942,NA
LOC111120471,NA
LOC111105410,NA
LOC111122025,NA
LOC111119534,NA
LOC111105859,NA
LOC111135084,0
LOC111123961,0
LOC111123977,NA
LOC111123914,NA
LOC111123991,NA
LOC111123981,NA
LOC111123943,NA
LOC111123967,NA
LOC111123984,NA
LOC111123922,NA
LOC111101216,0
LOC111108835,NA
LOC111109398,NA
LOC111109472,0
LOC111100372,NA
LOC111137060,NA
LOC111137068,NA
LOC111134266,0
LOC111114134,NA
LOC111112803,NA
LOC111132223,NA
LOC111132259,NA
LOC111132242,0
LOC111132201,NA
LOC111132269,NA
LOC111132215,0
LOC111132290,NA
LOC111138481,NA
LOC111138488,0
LOC111137818,0
LOC111126382,0
LOC111126441,NA
LOC111126395,0
LOC111126874,0
LOC111138441,0
LOC111138463,NA
LOC111114945,NA
LOC111114939,NA
LOC111137650,NA
LOC111137660,NA
LOC111137635,-0.946117659335523
LOC111137607,NA
LOC111137668,NA
LOC111137629,NA
LOC111137619,NA
LOC111114550,0
LOC111110435,-0.293943768799909
LOC111101089,NA
LOC111130981,NA
LOC111130991,NA
LOC111111447,NA
LOC111112548,NA
LOC111130999,NA
LOC111135918,NA
LOC111132155,-6.07830379200756
LOC111132171,NA
LOC111115278,NA
LOC111120647,NA
LOC111120635,NA
LOC111114449,NA
LOC111109466,NA
LOC111109473,NA
LOC111109490,NA
LOC111113921,NA
LOC111131018,NA
LOC111129414,NA
LOC111103274,NA
LOC111118051,NA
LOC111101512,NA
LOC111101521,NA
LOC111128818,NA
LOC111128808,NA
LOC111100849,NA
LOC111118190,NA
LOC111108767,0
LOC111131814,0
LOC111130762,0
LOC111114063,NA
LOC111109437,NA
LOC111127446,0
LOC111127467,NA
LOC111102092,0
LOC111115194,NA
LOC111121700,NA
LOC111131027,NA
LOC111123006,NA
LOC111110864,NA
LOC111105495,NA
Trnat-agu,NA
Trnak-cuu,NA
Trnat-agu_1,NA
Trnat-agu_2,NA
LOC111105572,NA
LOC111113650,NA
LOC111122554,NA
LOC111110198,NA
LOC111110207,NA
LOC111099502,-1.07628288240356
LOC111131034,NA
LOC111105709,0
LOC111101208,NA
LOC111120785,NA
LOC111104777,NA
LOC111105835,0
LOC111101449,NA
LOC111101471,NA
LOC111125391,0
LOC111125430,NA
LOC111125435,NA
LOC111118239,0
LOC111118305,NA
LOC111118299,NA
LOC111118289,NA
LOC111135155,0
LOC111104770,0
LOC111138286,0
LOC111115832,NA
LOC111125536,0
LOC111099029,0
LOC111115167,0
LOC111136592,-0.616559907601142
LOC111112051,NA
LOC111105211,NA
LOC111105919,NA
LOC111114604,NA
LOC111120595,NA
LOC111120599,NA
LOC111108095,0
LOC111122680,NA
LOC111107343,-0.635423465132864
LOC111102428,NA
LOC111102429,NA
LOC111137979,NA
LOC111122131,0
LOC111108952,NA
LOC111108825,NA
LOC111120824,0
LOC111100895,NA
LOC111100900,0
LOC111109095,NA
LOC111137279,NA
LOC111115098,NA
LOC111121823,NA
LOC111110877,NA
LOC111119627,NA
LOC111099614,0
LOC111101576,NA
LOC111131125,NA
LOC111119437,0
LOC111136495,NA
LOC111136512,NA
LOC111100550,NA
LOC111102318,0
LOC111131135,NA
LOC111116870,NA
LOC111122930,NA
LOC111099165,NA
LOC111111855,NA
LOC111111942,0
LOC111111920,NA
LOC111120772,NA
LOC111120335,0
LOC111120324,0
LOC111131144,NA
LOC111104630,0
LOC111109994,NA
LOC111137504,-1.09049848730456
LOC111137464,0
LOC111137483,NA
LOC111137512,-0.000233064958479535
LOC111112613,0
LOC111112620,0
LOC111129301,0
LOC111129281,NA
LOC111129311,NA
LOC111129293,0
LOC111131159,NA
LOC111138311,0
LOC111109684,NA
LOC111100708,NA
LOC111111509,0
LOC111102384,0
LOC111102366,NA
LOC111121414,NA
LOC111124532,NA
LOC111123766,NA
LOC111102044,NA
LOC111110039,NA
LOC111110056,0
LOC111110003,NA
LOC111110076,NA
LOC111110068,0
LOC111110014,0
LOC111110031,NA
LOC111110047,NA
LOC111123556,0
LOC111123147,0
LOC111123163,NA
LOC111118132,NA
LOC111099670,NA
LOC111113075,NA
LOC111101281,NA
LOC111135806,NA
LOC111121406,NA
LOC111103719,NA
LOC111099300,NA
LOC111099327,NA
LOC111110574,NA
LOC111135752,NA
LOC111135862,NA
LOC111109279,NA
LOC111134860,NA
LOC111134864,NA
LOC111112865,NA
LOC111109163,0
LOC111112100,NA
LOC111113141,NA
LOC111119638,NA
LOC111103677,0
LOC111121994,0
LOC111135781,NA
LOC111100976,NA
LOC111100967,0
LOC111137591,-0.0707415120398015
LOC111102168,NA
LOC111113131,0
LOC111128387,0
LOC111128408,0
LOC111128397,NA
LOC111103846,NA
LOC111109174,NA
LOC111127825,NA
LOC111112589,0
LOC111126353,0
LOC111110084,0
LOC111104824,0
LOC111105569,NA
LOC111132834,NA
LOC111132822,0
LOC111121374,NA
LOC111121313,0
LOC111134625,0
LOC111134738,NA
LOC111134711,NA
LOC111134671,NA
LOC111134677,NA
LOC111134698,NA
LOC111134689,NA
LOC111134661,NA
LOC111134653,0
LOC111131215,NA
LOC111100544,-0.946117659335523
LOC111110257,NA
LOC111110251,NA
LOC111103822,NA
LOC111114160,NA
LOC111131222,NA
Trnat-agu_3,NA
Trnat-agu_4,NA
Trnak-cuu_1,NA
LOC111107153,NA
Trnat-agu_5,NA
LOC111107220,NA
LOC111107424,0
LOC111115710,NA
LOC111131233,0
LOC111138167,0
LOC111126487,0
LOC111126509,NA
LOC111109595,NA
LOC111115033,NA
LOC111136229,0
LOC111124937,0
LOC111124949,NA
LOC111124945,NA
LOC111131355,0
LOC111131366,NA
LOC111105902,NA
LOC111110293,NA
LOC111129913,0
LOC111129895,NA
LOC111129905,NA
LOC111131238,NA
LOC111134281,NA
LOC111134213,NA
LOC111113115,NA
LOC111113123,NA
LOC111102342,NA
LOC111115582,NA
LOC111103114,NA
LOC111109263,NA
LOC111122263,NA
LOC111118578,NA
LOC111116341,NA
LOC111116159,NA
LOC111129074,NA
LOC111129081,-1.58216076016858
LOC111123000,NA
LOC111120802,NA
LOC111119417,0
LOC111119536,NA
LOC111110741,NA
LOC111113709,-1.14984361652157
LOC111135116,0
LOC111135121,0
LOC111116885,NA
LOC111116891,NA
LOC111110424,NA
LOC111131248,0
LOC111131259,0
LOC111120067,NA
LOC111116486,NA
LOC111111183,NA
LOC111117980,0
LOC111117993,0
LOC111117969,NA
LOC111117955,NA
LOC111132205,NA
LOC111115045,NA
LOC111119840,NA
LOC111131319,NA
LOC111101737,0
LOC111101743,NA
LOC111113022,-7.46223526149406
LOC111113871,NA
LOC111115002,NA
LOC111136389,NA
LOC111128868,0
LOC111128884,NA
LOC111128872,NA
LOC111128838,0
LOC111134535,0
LOC111131329,-5.64043989544924
LOC111134543,NA
LOC111131341,0
LOC111104350,0
LOC111104327,-4.1688200772804
LOC111104302,-2.32274203546709
LOC111104397,NA
LOC111104344,0
LOC111131346,0
LOC111104389,NA
LOC111104377,NA
LOC111131377,0
LOC111104366,0
LOC111104335,0
LOC111104357,NA
LOC111112780,0
LOC111110245,NA
LOC111137004,0
LOC111104182,NA
LOC111122050,NA
LOC111118599,NA
LOC111119580,NA
LOC111134209,NA
LOC111134254,NA
LOC111134237,NA
LOC111134218,NA
LOC111131385,NA
LOC111104626,NA
LOC111099064,NA
LOC111101542,0
LOC111116597,NA
LOC111116653,NA
LOC111116664,NA
LOC111116509,NA
LOC111116694,NA
LOC111116724,NA
LOC111116519,0
LOC111116615,0
LOC111116630,0
LOC111116740,NA
LOC111116748,NA
LOC111116682,NA
LOC111116581,NA
LOC111116753,NA
LOC111116704,NA
LOC111116714,NA
LOC111128804,0
LOC111128797,0
LOC111135990,NA
LOC111122067,-0.217252863347259
LOC111126618,NA
LOC111110283,0
LOC111100816,NA
LOC111100827,NA
LOC111111485,NA
LOC111109562,NA
LOC111109571,NA
LOC111112015,NA
LOC111122283,NA
LOC111129213,NA
LOC111126321,0
LOC111126328,0
LOC111099195,NA
LOC111099191,NA
LOC111137309,NA
LOC111102782,NA
LOC111131398,NA
LOC111102789,NA
LOC111133771,0
LOC111117050,0
LOC111114913,0
LOC111115428,NA
LOC111114283,NA
LOC111138500,NA
LOC111138517,NA
LOC111099033,NA
LOC111138506,NA
LOC111102545,0
LOC111131407,NA
LOC111114926,NA
LOC111131411,NA
LOC111133877,0
LOC111133904,NA
LOC111133832,NA
LOC111131419,NA
LOC111133852,NA
LOC111131426,NA
LOC111133935,NA
LOC111133804,NA
LOC111131436,NA
LOC111133927,NA
LOC111131438,NA
LOC111133916,NA
LOC111133841,NA
LOC111133962,NA
LOC111133946,NA
LOC111131448,NA
LOC111131458,NA
LOC111133824,NA
LOC111133861,NA
LOC111133815,0
LOC111133897,NA
LOC111133955,NA
LOC111131491,0
LOC111118736,NA
LOC111102855,NA
LOC111099722,0
LOC111124829,0
LOC111108643,-3.61225347064324
LOC111110943,NA
LOC111110954,NA
LOC111112965,-0.447689925814214
LOC111131148,0
LOC111104157,NA
LOC111128427,0
LOC111128419,NA
LOC111131506,0
LOC111125267,NA
LOC111135304,NA
LOC111135310,-1.30087456005877
LOC111125302,NA
LOC111132726,NA
LOC111132711,NA
LOC111131511,NA
LOC111132751,NA
LOC111132759,NA
LOC111132740,NA
LOC111131520,NA
LOC111136703,-0.636145701613426
LOC111136692,NA
LOC111133283,0
LOC111131527,NA
LOC111122356,NA
LOC111100092,0
LOC111100158,NA
LOC111100144,NA
LOC111100258,NA
LOC111100186,0
LOC111100322,NA
LOC111100315,NA
LOC111100100,NA
LOC111100337,NA
LOC111100208,NA
LOC111131537,0
LOC111131545,NA
LOC111131553,NA
LOC111100219,NA
LOC111100177,NA
LOC111105926,0
LOC111105935,NA
LOC111100340,NA
LOC111105943,NA
LOC111100278,NA
LOC111100332,NA
LOC111105951,0
LOC111100135,0
LOC111100267,NA
LOC111100240,NA
LOC111103184,NA
LOC111114261,NA
LOC111118113,NA
LOC111105961,0
LOC111100385,NA
LOC111103653,NA
LOC111115631,NA
LOC111105980,0
LOC111113127,NA
LOC111120407,NA
LOC111122010,NA
LOC111122017,NA
LOC111122109,NA
LOC111122110,NA
LOC111099448,NA
LOC111105988,NA
LOC111119734,NA
LOC111122823,0
LOC111101029,NA
LOC111130420,NA
LOC111106002,NA
LOC111119725,NA
LOC111114472,NA
LOC111120685,NA
LOC111120694,NA
LOC111118525,NA
LOC111119541,NA
LOC111116013,NA
LOC111103080,0
LOC111106011,NA
LOC111120900,NA
LOC111132096,0
LOC111127496,NA
LOC111105895,NA
LOC111113005,NA
LOC111108695,-0.199570649078835
LOC111122352,NA
LOC111111383,NA
LOC111116459,NA
LOC111118560,NA
LOC111115737,NA
LOC111111226,NA
LOC111106021,0
LOC111122911,0
LOC111123649,NA
LOC111099030,NA
LOC111102772,NA
LOC111106027,NA
LOC111102738,0
LOC111102723,NA
LOC111102753,0
LOC111106037,NA
LOC111102762,0
LOC111132179,0
LOC111125943,NA
LOC111106046,NA
LOC111136085,0
LOC111105322,NA
LOC111105313,NA
LOC111113014,NA
LOC111131859,NA
LOC111131839,NA
LOC111131850,0
LOC111103666,NA
LOC111127657,NA
LOC111123472,NA
LOC111124027,0
LOC111115119,NA
LOC111119847,NA
LOC111104519,NA
LOC111111029,NA
LOC111111036,NA
LOC111120534,NA
LOC111108857,0
LOC111108847,NA
LOC111122800,NA
LOC111109589,NA
LOC111123185,NA
LOC111118614,NA
LOC111106054,NA
Trnac-gca,NA
LOC111120886,0
LOC111120896,NA
LOC111110776,0
LOC111114379,0
LOC111103757,NA
LOC111106064,NA
LOC111119622,NA
LOC111137438,NA
LOC111106075,NA
LOC111103862,NA
LOC111114648,NA
LOC111138426,NA
LOC111138433,NA
LOC111111539,0
LOC111104401,0
LOC111106082,0
LOC111113698,NA
LOC111106094,NA
LOC111136378,NA
LOC111136446,NA
LOC111122616,0
LOC111104556,NA
LOC111111194,0
LOC111125438,0
LOC111113174,0
LOC111134836,NA
LOC111134829,NA
LOC111106102,NA
LOC111106111,NA
LOC111134848,NA
LOC111134826,NA
LOC111116812,NA
LOC111116801,NA
LOC111116820,NA
LOC111124555,NA
LOC111126153,NA
LOC111103974,NA
LOC111106120,NA
LOC111103983,NA
LOC111106124,NA
LOC111103966,0
LOC111120923,NA
LOC111120911,NA
LOC111120932,NA
LOC111120917,NA
LOC111120951,NA
LOC111106133,NA
LOC111120940,NA
LOC111102150,NA
LOC111110355,0
LOC111111848,NA
LOC111110063,NA
LOC111111768,NA
LOC111111460,NA
LOC111110197,0
LOC111111337,NA
LOC111111262,NA
LOC111106141,NA
LOC111106151,NA
LOC111112207,NA
LOC111111059,0
LOC111106159,NA
LOC111111133,0
LOC111109985,NA
LOC111110282,NA
LOC111110501,0
LOC111111931,NA
LOC111112004,0
LOC111112134,NA
LOC111112262,0
LOC111110995,-0.437713973164394
LOC111112311,NA
LOC111111533,NA
LOC111106169,0
LOC111112067,NA
LOC111110814,0
LOC111110520,NA
LOC111127412,NA
LOC111121807,NA
LOC111122257,NA
LOC111129171,NA
LOC111101228,0
LOC111099102,0
LOC111133999,NA
LOC111134004,NA
LOC111133968,0
LOC111133993,NA
LOC111134951,0
LOC111102362,NA
LOC111117931,0
LOC111121183,NA
LOC111114001,NA
LOC111103997,0
LOC111118605,0
LOC111126311,NA
LOC111126296,0
LOC111133180,NA
LOC111133187,NA
LOC111133146,0
LOC111102933,0
LOC111106177,NA
LOC111105305,NA
LOC111106186,NA
LOC111136853,NA
LOC111136839,NA
LOC111127109,NA
LOC111121381,NA
LOC111124790,0
LOC111106194,NA
LOC111103459,NA
LOC111103348,NA
LOC111126159,0
LOC111132855,-0.0233996558986911
LOC111101764,-3.49664214683363
LOC111106201,NA
LOC111106210,NA
LOC111106215,NA
LOC111111714,0
LOC111106222,NA
LOC111111751,0
LOC111111673,NA
LOC111111698,0
LOC111111769,NA
LOC111111600,NA
LOC111106231,NA
LOC111111762,NA
LOC111106241,NA
LOC111111684,NA
LOC111111721,NA
LOC111111661,NA
LOC111111651,-1.88004209479343
LOC111111747,NA
LOC111111579,0
LOC111111615,NA
LOC111111629,NA
LOC111111606,NA
LOC111111640,NA
LOC111106243,NA
LOC111111571,0
LOC111111586,NA
LOC111111622,NA
Trnan-guu,NA
Trnan-guu_1,NA
Trnan-guu_2,NA
Trnan-guu_3,NA
LOC111128027,0
LOC111128036,NA
LOC111133491,-0.295076066765214
LOC111102183,0
LOC111106253,0
LOC111119998,0
LOC111134307,NA
LOC111134291,NA
LOC111134301,NA
LOC111112745,NA
LOC111110673,NA
LOC111114645,NA
LOC111104902,0
LOC111103542,NA
LOC111114476,NA
LOC111103992,0
LOC111101553,0
LOC111129328,-1.15007153820062
LOC111126993,0
LOC111103659,NA
LOC111123242,-0.14878582499273
LOC111122496,NA
LOC111115269,NA
LOC111115253,NA
LOC111106261,NA
LOC111105681,NA
LOC111104498,NA
LOC111137396,-0.686295738968903
LOC111136967,0
LOC111122804,NA
LOC111113171,0
LOC111111162,NA
LOC111120762,NA
LOC111120760,NA
LOC111136976,0
LOC111114407,NA
LOC111123818,0
LOC111123824,NA
LOC111123848,-0.136056952033281
LOC111123828,NA
LOC111123868,NA
LOC111123884,0
LOC111123838,NA
LOC111123862,NA
LOC111123853,NA
LOC111123875,NA
Trnas-aga,NA
Trnas-aga_1,NA
Trnas-aga_2,NA
Trnas-aga_3,NA
LOC111100029,0
LOC111106268,NA
LOC111112535,NA
LOC111106278,NA
LOC111112517,NA
LOC111119839,NA
LOC111116258,0
LOC111126972,0
LOC111136067,0
LOC111136076,NA
LOC111106287,NA
LOC111123798,NA
LOC111136299,0
LOC111136324,NA
LOC111111947,NA
LOC111123692,NA
LOC111106297,NA
LOC111106303,NA
LOC111122541,NA
LOC111113616,NA
LOC111106312,0
LOC111119423,NA
LOC111106320,NA
LOC111115923,NA
LOC111115897,NA
LOC111115873,-0.679621387929612
LOC111115889,0
LOC111115907,NA
LOC111122711,NA
LOC111106332,NA
LOC111118564,NA
LOC111112884,0
LOC111112890,NA
LOC111106337,NA
LOC111133179,NA
LOC111105418,NA
LOC111100353,NA
LOC111106340,NA
LOC111101725,0
LOC111101598,0
LOC111116607,0
LOC111119989,0
LOC111122145,0
LOC111122190,0
LOC111116974,NA
LOC111106348,0
LOC111126561,NA
LOC111126636,0
LOC111126598,NA
LOC111126660,0
LOC111126717,NA
LOC111126674,NA
LOC111126577,NA
LOC111126694,NA
LOC111126678,NA
LOC111126712,NA
LOC111126685,NA
LOC111126605,NA
LOC111126727,NA
LOC111126748,NA
LOC111126590,NA
LOC111126743,NA
LOC111126584,NA
LOC111126734,NA
LOC111126569,NA
LOC111124236,0
LOC111124218,0
LOC111124207,NA
LOC111125038,NA
LOC111125009,NA
LOC111125015,NA
LOC111125068,NA
LOC111125062,NA
LOC111125028,NA
LOC111125033,NA
LOC111125020,NA
LOC111124955,-0.185260971967919
LOC111125096,NA
LOC111125000,0
LOC111125092,NA
LOC111106356,0
LOC111106367,NA
LOC111125075,NA
LOC111124971,NA
LOC111106379,NA
LOC111125044,0
LOC111125082,NA
LOC111125056,NA
LOC111106387,0
LOC111125087,NA
LOC111124986,NA
LOC111124994,0
LOC111103268,NA
LOC111102980,0
LOC111117071,NA
LOC111122449,NA
LOC111122471,NA
LOC111120060,NA
LOC111112764,NA
LOC111105721,NA
LOC111099826,NA
LOC111099808,-2.81019387216539
LOC111104524,NA
LOC111126337,NA
LOC111104113,0
LOC111134767,-1.13510037047311
LOC111134756,0
LOC111134773,NA
LOC111134747,NA
LOC111124399,-0.526235364593241
LOC111124410,0
LOC111124372,0
LOC111136915,0
LOC111136892,NA
LOC111122206,0
LOC111106394,0
LOC111111342,NA
LOC111110527,NA
LOC111107936,NA
LOC111127024,NA
LOC111127048,NA
LOC111127042,NA
LOC111106403,NA
LOC111108249,NA
LOC111106411,NA
LOC111109201,NA
LOC111105550,NA
LOC111102613,NA
LOC111102604,NA
LOC111106419,0
LOC111105122,NA
LOC111118167,NA
LOC111120519,0
LOC111120528,NA
