gene_id,logP
LOC111116054,NA
LOC111126949,NA
LOC111110729,NA
LOC111112434,NA
LOC111120752,NA
LOC111128944,NA
LOC111128953,NA
LOC111105691,NA
LOC111105685,NA
LOC111105702,NA
LOC111133554,NA
LOC111125466,NA
LOC111128964,NA
LOC111113860,NA
LOC111109550,NA
LOC111109753,NA
LOC111109452,0
LOC111124802,0
LOC111101273,0
LOC111101250,0
LOC111101262,0
LOC111133260,-9.02232871558579
LOC111113503,0
LOC111102393,0
LOC111119377,0
LOC111101799,-0.658056532059953
LOC111117743,NA
LOC111117672,0
LOC111114053,-1.28994638109687
LOC111109809,-1.17065686874818
LOC111102064,NA
LOC111112773,NA
LOC111135169,NA
LOC111135172,NA
LOC111135178,NA
LOC111114201,0
LOC111114212,-0.64946033796351
LOC111138315,0
LOC111138321,0
LOC111121058,0
LOC111138070,0
LOC111108931,0
LOC111108878,NA
LOC111108901,0
LOC111130095,0
LOC111103204,NA
LOC111103224,NA
LOC111131060,NA
LOC111131074,0
LOC111131094,NA
LOC111131052,NA
LOC111116497,NA
LOC111115921,NA
LOC111116467,NA
LOC111104259,NA
LOC111114340,NA
LOC111134965,NA
LOC111111519,NA
LOC111113087,NA
LOC111136780,0
LOC111136794,NA
LOC111118408,NA
LOC111133372,0
LOC111118838,NA
LOC111118844,NA
LOC111110627,NA
LOC111137104,0
LOC111105880,0
LOC111102585,0
LOC111099747,0
LOC111128995,0
LOC111124195,NA
LOC111129046,NA
LOC111129066,NA
LOC111124462,NA
LOC111115406,0
LOC111135942,0
LOC111135933,NA
LOC111114441,NA
LOC111114430,-0.513982849327395
LOC111111547,NA
LOC111103592,NA
LOC111129108,NA
LOC111129120,NA
LOC111135210,NA
LOC111113958,NA
LOC111103230,0
LOC111101640,NA
LOC111103171,NA
LOC111103163,NA
LOC111103177,NA
LOC111115024,NA
LOC111115591,NA
LOC111119406,NA
LOC111102439,NA
LOC111102448,0
LOC111129274,NA
LOC111113346,0
LOC111100652,-0.415301198434985
LOC111134791,0
LOC111128971,0
LOC111104153,0
LOC111134573,NA
LOC111129318,0
LOC111134552,NA
LOC111134566,0
LOC111121766,NA
LOC111121733,0
LOC111129336,NA
LOC111109736,NA
LOC111109754,-0.275640951960624
LOC111109763,NA
LOC111129344,NA
LOC111109745,NA
LOC111132141,NA
LOC111129349,NA
LOC111132148,NA
LOC111132134,NA
LOC111132126,NA
LOC111099207,0
LOC111115013,0
LOC111132349,NA
LOC111129373,NA
LOC111132366,NA
LOC111103463,NA
LOC111131773,NA
LOC111131721,0
LOC111131752,-1.14289297898574
LOC111131766,0
LOC111129378,NA
LOC111131682,0
LOC111128103,0
LOC111100789,NA
LOC111100985,NA
LOC111103238,NA
LOC111103245,NA
LOC111112387,0
LOC111114799,0
LOC111129421,0
LOC111129446,0
LOC111100566,0
LOC111136882,-0.700659189707726
LOC111136873,0
LOC111099831,NA
LOC111129522,NA
LOC111100662,NA
LOC111100672,NA
LOC111123745,NA
LOC111129531,NA
LOC111105302,0
LOC111122009,0
LOC111137770,0
Trnag-gcc,NA
LOC111119645,NA
LOC111134776,NA
LOC111103288,-0.300841349118636
LOC111101388,NA
LOC111101379,NA
LOC111101405,NA
LOC111101397,NA
LOC111129738,NA
LOC111129748,NA
LOC111134153,NA
LOC111113132,NA
LOC111129757,NA
LOC111128935,NA
LOC111136489,NA
LOC111136460,NA
LOC111136481,NA
LOC111119489,NA
LOC111129787,NA
LOC111133651,0
LOC111105807,0
LOC111106831,NA
LOC111122515,NA
LOC111122523,NA
LOC111129837,0
LOC111129845,NA
LOC111129861,NA
LOC111129869,NA
LOC111129878,NA
LOC111118123,NA
LOC111129887,NA
LOC111129920,NA
LOC111112009,0
LOC111129927,NA
LOC111119833,0
LOC111104541,0
LOC111112448,NA
LOC111125753,NA
LOC111110783,NA
LOC111132154,NA
LOC111123486,NA
LOC111116296,NA
LOC111120908,NA
LOC111122297,NA
LOC111119741,NA
LOC111119754,NA
LOC111121693,NA
LOC111126076,NA
LOC111126102,0
LOC111129935,0
LOC111116034,0
LOC111116043,NA
LOC111111995,0
LOC111130149,NA
LOC111134929,0
LOC111101827,NA
LOC111118727,NA
LOC111105905,NA
LOC111103607,NA
LOC111111287,NA
LOC111115930,NA
LOC111130161,NA
LOC111110859,NA
LOC111103139,0
LOC111103146,NA
LOC111119414,NA
LOC111122198,NA
LOC111119020,-2.3334769152836
LOC111125333,0
LOC111125334,NA
LOC111136966,0
LOC111115980,0
LOC111115748,NA
LOC111112068,0
LOC111106561,NA
LOC111109865,0
LOC111111799,NA
LOC111131292,0
LOC111124863,0
LOC111124850,0
LOC111130177,NA
LOC111119709,NA
LOC111119716,NA
LOC111130195,NA
LOC111132898,0
LOC111130854,0
LOC111130204,NA
LOC111101169,0
LOC111101176,NA
LOC111101164,NA
LOC111101185,NA
LOC111101139,0
LOC111101156,0
LOC111115242,0
LOC111110131,NA
LOC111104454,0
LOC111102578,NA
LOC111108648,0
LOC111135567,NA
LOC111127270,0
LOC111117581,0
LOC111114641,NA
LOC111127966,0
LOC111118476,-0.0272729967313808
LOC111117949,NA
LOC111113361,0
LOC111135136,0
LOC111135129,0
LOC111124109,NA
LOC111130247,NA
LOC111116170,NA
LOC111108867,NA
LOC111130254,NA
LOC111110154,NA
LOC111118316,-0.518211018812121
LOC111109243,NA
LOC111134171,0
LOC111111295,0
LOC111104675,0
LOC111104690,NA
LOC111104685,NA
LOC111130258,0
LOC111124761,0
LOC111124729,NA
LOC111123551,NA
LOC111115318,0
LOC111108836,NA
LOC111129854,NA
LOC111130260,NA
LOC111121633,NA
LOC111121476,NA
LOC111121657,NA
LOC111121537,0
LOC111121602,0
LOC111121565,NA
LOC111121643,NA
LOC111121611,NA
LOC111121524,NA
LOC111121511,0
LOC111121500,0
LOC111130637,0
LOC111130647,0
LOC111130653,0
LOC111130687,0
LOC111121667,NA
LOC111130696,0
LOC111121491,0
LOC111130705,NA
LOC111111234,0
LOC111111523,NA
LOC111115108,NA
LOC111122419,0
LOC111122667,NA
LOC111103571,NA
LOC111104281,NA
LOC111110242,NA
LOC111122632,0
LOC111104573,0
LOC111112751,NA
LOC111103358,NA
LOC111130710,NA
LOC111103382,0
LOC111103323,0
LOC111103371,NA
LOC111103390,NA
LOC111103401,NA
LOC111103376,NA
LOC111103364,NA
LOC111103397,NA
LOC111103418,NA
LOC111103431,NA
LOC111114348,NA
LOC111113021,0
LOC111105397,NA
LOC111099041,NA
LOC111099044,NA
LOC111106983,NA
LOC111106990,NA
LOC111101696,NA
LOC111127424,0
LOC111127416,0
LOC111130719,NA
LOC111100099,NA
LOC111100174,NA
LOC111102085,-1.46560325872933
LOC111100597,NA
LOC111130728,NA
LOC111100624,NA
LOC111100606,NA
LOC111100615,NA
LOC111137805,NA
LOC111137796,0
LOC111137812,NA
LOC111137367,NA
LOC111137514,NA
LOC111105370,NA
LOC111105035,0
Trnae-uuc,NA
LOC111131375,0
LOC111121096,NA
LOC111119818,NA
LOC111112007,NA
LOC111134598,-2.17667494227113
LOC111135077,NA
LOC111125571,0
LOC111125589,0
LOC111099659,0
LOC111121270,NA
LOC111128222,0
LOC111128188,0
LOC111128242,NA
LOC111128251,NA
LOC111128259,NA
LOC111128319,NA
LOC111128278,NA
LOC111128335,NA
LOC111128267,NA
LOC111128231,NA
LOC111128314,NA
LOC111128306,NA
LOC111128293,NA
LOC111100637,0
LOC111111564,0
LOC111132592,NA
LOC111132666,NA
LOC111132676,NA
LOC111132686,NA
LOC111132696,NA
LOC111132603,0
LOC111130754,NA
LOC111132704,NA
LOC111130799,NA
LOC111132545,NA
LOC111132570,0
LOC111130808,NA
LOC111132626,NA
LOC111132648,NA
LOC111132637,0
LOC111130821,NA
LOC111136926,-0.686720275654015
LOC111130831,NA
LOC111118716,NA
LOC111111325,NA
LOC111116154,NA
LOC111122704,0
LOC111121419,NA
LOC111115085,NA
LOC111137561,0
LOC111110225,NA
LOC111104106,NA
LOC111125887,0
LOC111125896,0
LOC111125882,0
LOC111122605,0
LOC111127890,NA
LOC111119531,0
LOC111102427,NA
LOC111125338,0
LOC111125382,NA
LOC111130840,NA
LOC111127317,0
Trnav-cac,NA
LOC111128791,NA
Trnav-cac_1,NA
LOC111128774,NA
Trnav-cac_2,NA
LOC111128784,-1.38129665651921
LOC111130848,NA
LOC111123891,-0.234001775278065
LOC111101094,NA
LOC111110267,NA
LOC111137833,NA
LOC111137826,NA
LOC111111244,0
LOC111130860,0
LOC111111488,NA
LOC111130870,0
LOC111129292,NA
LOC111110900,NA
LOC111110891,NA
LOC111110884,NA
LOC111123767,NA
LOC111127104,0
LOC111100578,0
LOC111104267,NA
LOC111119653,NA
LOC111130876,NA
LOC111101103,NA
LOC111120458,NA
LOC111120718,NA
LOC111111001,NA
LOC111100468,NA
LOC111114510,NA
LOC111104056,NA
LOC111111403,NA
LOC111130886,0
