"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","phase1","more_me_in"
"LOC1111280041",6.07374390573997,1.27475430969539,0.381527631940423,2.68592422646706,0.00723294898842614,0.161343885514658,"hypoxic","not significant"
"LOC1111279841",79.3394216337429,-0.198069793358767,0.381629766451328,0,1,1,"hypoxic","not significant"
"LOC1111284911",9.99141924838571,0.615651295748449,0.340983112511287,1.07234429604295,0.283565417787258,1,"hypoxic","not significant"
"LOC1111288571",45.1133882603747,-0.0427523747156803,0.184019518846422,0,1,1,"hypoxic","not significant"
"LOC1111288581",4.41979970099784,0.641715948529973,0.387446567881712,1.0110192759523,0.312007204058252,1,"hypoxic","not significant"
"LOC1111288551",11.6057930694807,0.126928606413032,0.390776643162711,0,1,1,"hypoxic","not significant"
"LOC1111288561",9.02186795483701,-0.293318153167204,0.356112646921593,-0.121641715175428,0.90318277484896,1,"hypoxic","not significant"
"LOC1111293391",3.02384842123383,0.213151063443518,0.379301478241032,0,1,1,"hypoxic","not significant"
"LOC1111305261",20.0677917825145,-0.568523164141878,0.319791626849844,-0.99603347116852,0.319233882573616,1,"hypoxic","not significant"
"LOC1111303911",38.5744461800686,-0.0169229658788347,0.307981759176263,0,1,1,"hypoxic","not significant"
"LOC1111307021",13.0594463401918,0.809081590662299,0.351305364830964,1.59144051481055,0.111510472563951,0.822724439327365,"hypoxic","not significant"
"LOC1111300961",33.730986350394,-0.260366367987032,0.234687272312685,-0.0441709850085948,0.964768110080531,1,"hypoxic","not significant"
"LOC1111298731",110.717512279282,0.0586310604917486,0.233386794968327,0,1,1,"hypoxic","not significant"
"LOC1111318611",17.536065194695,-0.146960382547136,0.358538109196636,0,1,1,"hypoxic","not significant"
"LOC1111314061",6.36434350090268,-0.84012596968055,0.392546212310965,-1.50332865576873,0.13275431413455,0.904805141896903,"hypoxic","not significant"
"LOC1111277891",53.5047404582084,0.802721879468814,0.207721518700516,2.6608792527928,0.007793690085955,0.167195716370994,"hypoxic","not significant"
"LOC1111284811",56.9911620165078,0.126398241522063,0.22435459006663,0,1,1,"hypoxic","not significant"
"LOC1111309401",12.6111567662983,1.38462321958814,0.344614141954798,3.29244532204068,0.000993202083761576,0.0435880344021991,"hypoxic","hypoxic"
"LOC1111289651",11.6689366598419,-0.826033317996799,0.309442228423718,-1.86152136032332,0.0626705870417556,0.604187592684942,"hypoxic","not significant"
"LOC1111280281",14.7604212972961,-1.44134587945857,0.334819136780832,-3.55817738171403,0.000373437101607773,0.0230973272260652,"hypoxic","control"
"LOC1111303261",5.4341627612515,0.630015581847422,0.390447039198828,0.973283297594442,0.330412521276575,1,"hypoxic","not significant"
"LOC1111300171",15.7106321990897,-0.0457464323832082,0.278448219901317,0,1,1,"hypoxic","not significant"
"LOC1111294611",53.3329312839717,-0.15253153424076,0.258192568048819,0,1,1,"hypoxic","not significant"
"LOC1111277981",35.8700481603997,0.57547799389115,0.250289972043774,1.30040365274493,0.193462658662121,1,"hypoxic","not significant"
"LOC1111303471",10.2576513243218,0.254455000896824,0.345294936905454,0.0129020162784615,0.98970596600327,1,"hypoxic","not significant"
"LOC1111292121",49.2385631615235,-0.523339284808355,0.188882889271176,-1.44713629626835,0.147858754079505,0.945755148221522,"hypoxic","not significant"
"LOC1111291151",6.50231119822993,-0.187254218441384,0.380966124212988,0,1,1,"hypoxic","not significant"
"LOC1111291141",41.4294438258735,0.0557283178620736,0.265239860119673,0,1,1,"hypoxic","not significant"
"LOC1111299391",15.8483162546609,-1.30189030856885,0.314598463664449,-3.34359645726305,0.000826999387524788,0.0386135743439882,"hypoxic","control"
"LOC1111280631",28.9856957354628,-0.760075696038523,0.243628062134814,-2.09366561293857,0.0362897782103328,0.442010013690061,"hypoxic","not significant"
"LOC1111300801",65.63201351446,-0.265496948290352,0.317782238274171,-0.0487659359897318,0.961105829003039,1,"hypoxic","not significant"
"LOC1111292211",104.845216352195,-0.0262938821281629,0.166589255305917,0,1,1,"hypoxic","not significant"
"LOC1111294871",32.6565459865233,-0.0729679099206399,0.239494871849875,0,1,1,"hypoxic","not significant"
"LOC1111280541",147.614062453069,0.0103116319829521,0.127394334004592,0,1,1,"hypoxic","not significant"
"LOC1111294841",73.2072036384621,0.42628665609471,0.151053730568551,1.16704602680903,0.243191782562755,1,"hypoxic","not significant"
"LOC1111294861",14.7121605845406,0.545768651219838,0.294340993735782,1.00485035219164,0.314968913955679,1,"hypoxic","not significant"
"LOC1111291851",89.1163126468036,-0.287215105340433,0.147186642525807,-0.252842953013948,0.800389574132819,1,"hypoxic","not significant"
"LOC1111312691",51.7209910363892,-0.0345456362507165,0.170877122614357,0,1,1,"hypoxic","not significant"
"LOC1111290621",2.95988539779084,0.481256060905152,0.392646030929017,0.588968288710293,0.555882546429749,1,"hypoxic","not significant"
"LOC1111290611",41.6161696684681,-0.275903540066887,0.196115392897898,-0.132083156167007,0.89491851861014,1,"hypoxic","not significant"
