"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","more_me_in","phase_effect"
"LOC111121857",58.686730394731,-0.103940328306995,0.114598717224884,0,1,1,"not significant","phase2"
"LOC111120230",14.0471395259576,-0.180373971725781,0.220559525620743,0,1,1,"not significant","phase2"
"LOC111121584",0.526290724100286,-0.0347791483332801,0.15737264871394,0,1,NA,NA,"phase2"
"LOC111119372",59.01728354303,-0.268763178774741,0.202167799294988,-0.0928099273978,0.926054564131749,1,"not significant","phase2"
"LOC111119373",2.8076661397524,-0.141480542736522,0.268131048349563,0,1,1,"not significant","phase2"
"LOC111120797",106.517770259139,-0.0127525453701348,0.110400409277678,0,1,1,"not significant","phase2"
"LOC111121173",30.795044273632,-0.512995752210592,0.206400118058005,-1.27420349699937,0.202591306204496,1,"not significant","phase2"
"LOC111120956",77.4084835528321,-0.0460485912360926,0.167714005521468,0,1,1,"not significant","phase2"
"LOC111122368",46.6840416778927,0.48576568912701,0.16069520309282,1.4671607153751,0.142332340788496,1,"not significant","phase2"
"LOC111120232",93.8938293595222,0.357553439603394,0.130944664027995,0.821365577603075,0.411438064576172,1,"not significant","phase2"
"LOC111120233",84.5969191028844,-0.28149334090917,0.11465673013987,-0.274675031031767,0.783565915912982,1,"not significant","phase2"
"LOC111118429",9.26402888883272,-0.150517144405571,0.277136802419093,0,1,1,"not significant","phase2"
"LOC111118095",43.6471856254075,-0.0307528272704648,0.254685686105861,0,1,1,"not significant","phase2"
"LOC111122208",0.274231585342157,-0.0768077408689539,0.107383350186612,0,NA,NA,NA,"phase2"
"LOC111121175",16.32714807411,-0.274074950262949,0.209498043645041,-0.114917303493966,0.908510669753022,1,"not significant","phase2"
"LOC111118794",50.4704119586966,-0.384194498154844,0.187872638745146,-0.714284416566282,0.475051326344476,1,"not significant","phase2"
"LOC111118336",22.46058059225,-0.545600778363923,0.252954802020903,-1.16859128983642,0.242568339218766,1,"not significant","phase2"
"LOC111120235",0.856143244871986,-0.276787768882709,0.18783815598781,-0.14261090214518,0.886597486829092,NA,NA,"phase2"
"LOC111119692",43.9100512252456,0.036990736680799,0.186654945509082,0,1,1,"not significant","phase2"
"LOC111119693",44.7233758170838,-0.0930766189510853,0.155963075197852,0,1,1,"not significant","phase2"
"LOC111121400",61.5324599914081,-0.238737181371174,0.147212239046528,0,1,1,"not significant","phase2"
"LOC111117669",2.35649195149582,-0.340372917753119,0.2355716740033,-0.383632362148316,0.701250950483076,1,"not significant","phase2"
"LOC111117675",31.5116292315055,0.282045159453618,0.285563591235301,0.112217244905051,0.910651156076117,1,"not significant","phase2"
"LOC111119689",76.5691169585169,0.700104852874807,0.177299388184441,2.53867121304768,0.01112743413968,0.638369590644318,"not significant","phase2"
"LOC111119691",0.230372794066851,0.00156773336429937,0.115380664118551,0,1,NA,NA,"phase2"
"LOC111119688",2.88405869734661,-0.0944526206728789,0.285370602220746,0,1,1,"not significant","phase2"
"LOC111121485",0.482381350721508,-0.134575497677974,0.184679066513348,0,1,NA,NA,"phase2"
"LOC111119557",5.06950810373595,-0.212269113303055,0.285572438621062,0,1,1,"not significant","phase2"
