"","padj"
"LOC111099115",0.000200418292920655
"LOC111099216",0.0125496496400134
"LOC111099417",0.00195670837366753
"LOC111099424",0.00107459456537442
"LOC111099722",0.00286998247507954
"LOC111099918",0.0407210025161639
"LOC111099923",0.00234886345616942
"LOC111100043",8.80897097334206e-08
"LOC111100092",7.68589056610069e-06
"LOC111100143",0.0406654309279149
"LOC111100148",0.00798598592578784
"LOC111100327",0.022385785823228
"LOC111100344",0.0378943230058729
"LOC111100574",0.0319565492886459
"LOC111100602",0.0125496496400134
"LOC111100714",0.000176432581269147
"LOC111100739",0.0252982132438936
"LOC111100869",0.0126623629309334
"LOC111100924",0.00290725409466874
"LOC111101050",2.05862217254926e-08
"LOC111101061",0.0402885488701387
"LOC111101069",0.0354476656579999
"LOC111101238",0.0353750872931079
"LOC111101287",0.00505935744761938
"LOC111101598",0.000287318712247908
"LOC111101943",6.51536631628155e-06
"LOC111102061",0.0260978042288934
"LOC111102202",0.0158735581805921
"LOC111102475",0.00984871959733804
"LOC111103017",0.022385785823228
"LOC111103305",2.08520396507209e-07
"LOC111103349",0.00679340337549177
"LOC111103375",8.08880329561609e-06
"LOC111103479",0.00275372981897826
"LOC111103484",0.000549156826930437
"LOC111103558",0.00693324467474995
"LOC111103799",0.00634104393181372
"LOC111103816",0.0100563957363308
"LOC111103819",4.72226440358555e-05
"LOC111103866",5.01188736977414e-05
"LOC111104284",0.0376361372835325
"LOC111104287",2.05862217254926e-08
"LOC111104354",0.0220532671535083
"LOC111104504",0.0402885488701387
"LOC111104805",0.0376378955056731
"LOC111105030",0.000148945819950601
"LOC111105082",2.24349296111927e-08
"LOC111105256",0.00087139697420799
"LOC111105299",5.37435309785937e-06
"LOC111105526",0.0198771348785507
"LOC111105528",2.08520396507209e-07
"LOC111105686",3.91927589109275e-05
"LOC111105828",5.37435309785937e-06
"LOC111106506",0.0403679308788899
"LOC111106570",0.000720229926455335
"LOC111106613",0.00116473314139177
"LOC111106619",0.0479339017784139
"LOC111106775",0.0265509473973079
"LOC111106800",2.75759459292061e-05
"LOC111106980",1.14814260429216e-06
"LOC111107171",0.00540052493696497
"LOC111107250",2.40501864327661e-06
"LOC111107422",1.66320152664992e-08
"LOC111107518",0.0358039537297723
"LOC111107569",0.0376805514733318
"LOC111107620",0.000209341618471003
"LOC111107816",0.00392772100423129
"LOC111107851",0.0432053458264975
"LOC111107999",6.94939330549705e-07
"LOC111108042",0.00227693884882986
"LOC111108080",0.0040945719968568
"LOC111108185",0.00226017158251156
"LOC111108202",0.000280919687037678
"LOC111108243",0.0427390169241108
"LOC111108303",0.0119356041580619
