gene_name,logfold
LOC111099196,-0.486833378687945
LOC111099197,0
LOC111099198,0
LOC111099199,0
LOC111099200,-0.122028699175257
LOC111099201,0
LOC111099202,0
LOC111099203,1.75722683482523
LOC111099204,0
LOC111099205,1.35752447457266
LOC111099206,-0.262928543689432
LOC111099207,0.159441284159991
LOC111099208,0
LOC111099209,-0.0606830377410061
LOC111099210,0.148259334152319
LOC111099211,-0.35141067338382
LOC111099212,-0.258448529788179
LOC111099213,0
LOC111099214,0
LOC111099215,0
LOC111099216,1.48286142511512
LOC111099217,0.785643681517094
LOC111099218,-0.218234390489017
LOC111099219,0.918719579830029
LOC111099220,-0.301430806310081
LOC111099221,0
LOC111099222,0.355275186273943
LOC111099223,1.76010694874673
LOC111099224,0
LOC111099225,0
LOC111099226,0
LOC111099227,0
LOC111099228,0
LOC111099229,0
LOC111099230,0
LOC111099246,0
LOC111099262,1.14776727049165
LOC111099278,0
LOC111099289,0
LOC111099300,1.48091991269009
LOC111099316,0.516817119025218
LOC111099327,0.795075524116841
LOC111099343,0.914837888532969
LOC111099359,0.202828642468205
LOC111099375,0
LOC111099408,0.295000565965491
LOC111099409,-0.0950974274036203
LOC111099410,1.37051095741039
LOC111099411,0
LOC111099412,0
LOC111099413,0
LOC111099414,0
LOC111099415,0
LOC111099416,0
LOC111099417,2.74874287789151
LOC111099418,0
LOC111099419,0
LOC111099420,0.609799559464307
LOC111099421,0
LOC111099422,-0.729468819000489
LOC111099423,0
LOC111099424,3.43844453272146
LOC111099425,0
LOC111099426,3.21991552588519
LOC111099427,0.158002248212571
LOC111099428,0
LOC111099429,0
LOC111099430,0
LOC111099431,0
LOC111099432,0
LOC111099433,0
LOC111099434,-1.55169142026691
LOC111099435,0
LOC111099436,0
LOC111099437,0
LOC111099438,1.8977815637663
LOC111099439,0
LOC111099440,0
LOC111099441,0
LOC111099442,0
LOC111099443,0
LOC111099444,0
LOC111099445,0
LOC111099446,0
LOC111099447,0
LOC111099448,0
LOC111099449,0
LOC111099450,0.868836798947033
LOC111099451,0
LOC111099452,0.894299289714761
LOC111099453,0
LOC111099454,0.501441754736567
LOC111099455,0
LOC111099456,0
LOC111099457,0
LOC111099458,-1.02138224078298
LOC111099459,0.116863045386399
LOC111099460,-1.69285801804009
LOC111099461,0.459512632062763
LOC111099462,0
LOC111099463,0
LOC111099464,0
LOC111099465,0.862418058646485
LOC111099466,0
LOC111099467,0
LOC111099468,0.650047854666882
LOC111099469,0
LOC111099470,0
LOC111099471,0.821780456659069
LOC111099472,0
LOC111099473,0
LOC111099474,0
LOC111099475,0.868836798947033
LOC111099476,0
LOC111099477,0.180265359182836
LOC111099478,-0.231010871527505
LOC111099479,-0.0749892323622148
LOC111099480,0
LOC111099481,-0.556232400766139
LOC111099482,2.07832833703772
LOC111099483,0.0339907760256899
LOC111099484,1.84116482361473
LOC111099485,0
LOC111099486,1.29626418034847
LOC111099487,0
LOC111099488,0
LOC111099489,0
LOC111099490,0
LOC111099491,0
LOC111099492,0
LOC111099493,1.84115631765955
LOC111099494,0
LOC111099495,0
LOC111099496,-1.17195306634397
LOC111099497,0
LOC111099498,0
LOC111099499,0
LOC111099500,0.523204474608729
LOC111099501,2.61626154584055
LOC111099502,0.167170762841155
LOC111099503,0
LOC111099504,0
LOC111099505,-0.119472139177299
LOC111099506,0
LOC111099507,0
LOC111099508,1.17127771884279
LOC111099509,0
LOC111099510,0
LOC111099511,1.42190771614404
LOC111099512,1.80057065154663
LOC111099513,0
LOC111099514,0
LOC111099515,0
LOC111099516,0
LOC111099517,0.132267406814805
LOC111099518,0.461894407847586
LOC111099519,-0.183178844269788
LOC111099520,0
LOC111099521,-0.621476161736609
LOC111099522,0.45005554594503
LOC111099523,0
LOC111099524,0.159649973783575
LOC111099525,0
LOC111099526,0
LOC111099527,3.27075884827667
LOC111099528,0
LOC111099529,0
LOC111099530,0
LOC111099531,2.22992578613717
LOC111099532,0
LOC111099533,0
LOC111099534,0
LOC111099535,0
LOC111099536,0
LOC111099537,0
LOC111099538,0
LOC111099539,0
LOC111099540,0
LOC111099541,0
LOC111099542,0
LOC111099543,0
LOC111099544,0.212183370694079
LOC111099545,0.86218016136302
LOC111099546,0.543837487145811
LOC111099547,0
LOC111099548,-0.433008233325809
LOC111099549,0
LOC111099550,0
LOC111099551,0
LOC111099552,-0.592718822032428
LOC111099553,0
LOC111099554,0
LOC111099555,0
LOC111099556,0
