"gene_name" "logfold"
"LOC111099115" 1.78858640472996
"LOC111099216" 1.48286142511512
"LOC111099417" 2.74874287789151
"LOC111099424" 3.43844453272146
"LOC111099722" 0.899351501638736
"LOC111099918" 0.65675121909118
"LOC111099923" 3.66776153101765
"LOC111100043" 4.43104068946581
"LOC111100092" 2.05413115702717
"LOC111100143" 0.957779828793277
"LOC111100148" 0.915415439346372
"LOC111100327" 1.35018561840849
"LOC111100344" 1.26933152876508
"LOC111100574" 1.2009868457735
"LOC111100602" 1.54907724461026
"LOC111100714" 3.20183953991704
"LOC111100739" 0.795139759139243
"LOC111100869" 1.92992869202504
"LOC111100924" 5.5060477184277
"LOC111101050" 4.63181169145189
"LOC111101061" 1.32659177109729
"LOC111101069" 1.63198989778204
"LOC111101238" 1.14544832059141
"LOC111101287" 2.02477769723425
"LOC111101598" 1.43017408433946
"LOC111101943" 2.44327676549395
"LOC111102061" 2.38110743750699
"LOC111102202" 3.14776202074953
"LOC111102475" 1.23550197480326
"LOC111103017" 3.6628553356694
"LOC111103305" 2.52708346401566
"LOC111103349" 1.25817171626702
"LOC111103375" 1.84311896344999
"LOC111103479" 1.79471318140147
"LOC111103484" 2.10646148495089
"LOC111103558" 0.852669726819503
"LOC111103799" 1.86908724005933
"LOC111103816" 2.89455039092627
"LOC111103819" 1.75110013039526
"LOC111103866" 1.58463910346706
"LOC111104284" 0.50995796775608
"LOC111104287" 3.39353297100177
"LOC111104354" 3.02836952546662
"LOC111104504" 0.828837862818846
"LOC111104805" 2.24587868790368
"LOC111105030" 2.24871379701955
"LOC111105082" 3.08184926895962
"LOC111105256" 2.79439054336911
"LOC111105299" 3.24761340604345
"LOC111105526" 1.25632759455262
"LOC111105528" 6.01734437817952
"LOC111105686" 2.79259882146749
"LOC111105828" 2.16287754930444
"LOC111106506" 1.75166494972086
"LOC111106570" 2.94449103583169
"LOC111106613" 4.39353665207257
"LOC111106619" 1.21806891912263
"LOC111106775" 1.16977476104131
"LOC111106800" 3.04272741319502
"LOC111106980" 2.84852474864982
"LOC111107171" 2.17364660720141
"LOC111107250" 2.73855799274907
"LOC111107422" 4.24380938407911
"LOC111107518" -2.11847163631373
"LOC111107569" 1.85800136205113
"LOC111107620" 1.96754819452354
"LOC111107816" 1.9335513061243
"LOC111107851" 1.55152128104051
"LOC111107999" 6.05372348435752
"LOC111108042" 2.63973447402219
"LOC111108080" 1.86641640095207
"LOC111108185" 1.88272011889475
"LOC111108202" 1.3806068722498
"LOC111108243" -1.4973806054349
"LOC111108303" 1.29578717286969
"LOC111108426" 0.60987680088644
"LOC111108451" 1.78909590791862
"LOC111108505" 1.61878973912404
"LOC111108664" 0.862532601178457
"LOC111108790" 2.91303566578832
"LOC111109289" 0.915594668627967
"LOC111109410" 1.5304253576771
"LOC111109620" 1.98006002662714
"LOC111109740" 2.54560598767482
"LOC111109744" 3.26693930031718
"LOC111109804" 3.30491114013833
"LOC111109936" 1.56237070469479
"LOC111110057" 2.89339063869875
"LOC111110127" 1.45530268274824
"LOC111110168" 2.31499862477479
"LOC111110195" 1.61473448215309
