"","genes","l2fc"
"116","LOC111114820",7.30455059714696
"115","LOC111114521",6.53848195612027
"169","LOC111119752",6.24813789296976
"69","LOC111107999",6.05372348435752
"51","LOC111105528",6.01734437817952
"238","LOC111125118",5.96543381117296
"331","LOC111133218",5.59394461903054
"19","LOC111100924",5.5060477184277
"370","LOC111135946",5.09890864612075
"366","LOC111135603",5.06216690683579
"135","LOC111118071",5.06184410236091
"194","LOC111121130",5.0206816527261
"270","LOC111127901",4.96762420011712
"137","LOC111118260",4.888621281992
"233","LOC111124640",4.88267654682642
"227","LOC111124500",4.8634969565958
"222","LOC111123938",4.73577879299538
"361","LOC111135100",4.71042125683793
"20","LOC111101050",4.63181169145189
"265","LOC111127613",4.51434968128119
"8","LOC111100043",4.43104068946581
"106","LOC111113036",4.40791998510637
"399","LOC111137770",4.3948318953028
"56","LOC111106613",4.39353665207257
"264","LOC111127608",4.362728124977
"151","LOC111119125",4.35642943460137
"162","LOC111119533",4.27797273302308
"63","LOC111107422",4.24380938407911
"231","LOC111124603",4.2020972375685
"176","LOC111120187",4.19825189651648
"278","LOC111128687",4.13209558346134
"175","LOC111120091",4.00907822445777
"126","LOC111117202",3.96371124099895
"174","LOC111119906",3.91023985972482
"329","LOC111132976",3.8990034635095
"392","LOC111137396",3.7434597612225
"140","LOC111118558",3.73413657209247
"224","LOC111124361",3.67369678663262
"372","LOC111135968",3.67325640374427
"7","LOC111099923",3.66776153101765
"30","LOC111103017",3.6628553356694
"291","LOC111129294",3.63986732778223
"342","LOC111134008",3.5804586976819
"218","LOC111123845",3.50487244141351
"129","LOC111117657",3.44274148897036
"324","LOC111132911",3.43888881150967
"4","LOC111099424",3.43844453272146
"328","LOC111132975",3.41729441757307
"160","LOC111119493",3.41391659159939
"163","LOC111119559",3.40368940996534
"42","LOC111104287",3.39353297100177
"282","LOC111128966",3.36565187024136
"397","LOC111137687",3.34937027856702
"86","LOC111109804",3.30491114013833
"336","LOC111133382",3.28910029222421
"133","LOC111117970",3.2825267193291
"85","LOC111109744",3.26693930031718
"179","LOC111120445",3.25755834289073
"309","LOC111130365",3.24914630577036
"49","LOC111105299",3.24761340604345
"209","LOC111122852",3.23253503586104
"240","LOC111125240",3.21933531795702
"16","LOC111100714",3.20183953991704
"173","LOC111119859",3.19586843741911
"28","LOC111102202",3.14776202074953
"101","LOC111112578",3.14206492496116
"358","LOC111134796",3.13295837257782
"344","LOC111134403",3.1309601973353
"47","LOC111105082",3.08184926895962
"333","LOC111133259",3.07344032418176
"199","LOC111121733",3.05222379486262
"59","LOC111106800",3.04272741319502
"221","LOC111123912",3.03519836312326
"43","LOC111104354",3.02836952546662
"346","LOC111134434",3.01459414403647
"214","LOC111123227",3.00602380184859
"307","LOC111130352",2.9906957312324
"271","LOC111127981",2.97153119681352
"275","LOC111128337",2.96191330591275
"55","LOC111106570",2.94449103583169
"80","LOC111108790",2.91303566578832
"403","LOC111138095",2.90806760229835
"157","LOC111119269",2.90551389563253
"201","LOC111121996",2.90155181680567
"136","LOC111118225",2.89739402744889
"38","LOC111103816",2.89455039092627
"88","LOC111110057",2.89339063869875
"229","LOC111124588",2.88774649738746
"118","LOC111115675",2.87239792316948
"388","LOC111136937",2.8694821045272
"267","LOC111127799",2.86303346531099
"311","LOC111130568",2.856070893746
"405","LOC111138499",2.85115269900054
"60","LOC111106980",2.84852474864982
"308","LOC111130353",2.84190253960018
"310","LOC111130553",2.81692755522964
"396","LOC111137678",2.80979902748058
"48","LOC111105256",2.79439054336911
"52","LOC111105686",2.79259882146749
"289","LOC111129261",2.78934164521206
"256","LOC111126568",2.78661390083138
"178","LOC111120400",2.77946506321138
"3","LOC111099417",2.74874287789152
"62","LOC111107250",2.73855799274907
"369","LOC111135848",2.71699646519359
"368","LOC111135830",2.70911682499786
"153","LOC111119170",2.70848358166204
"204","LOC111122305",2.6949357754699
"181","LOC111120493",2.69360379527796
"387","LOC111136896",2.6886761034676
"170","LOC111119851",2.68206510510109
"122","LOC111116869",2.64559741948442
"70","LOC111108042",2.63973447402219
"398","LOC111137731",2.61660190184343
"183","LOC111120509",2.56510431144492
"292","LOC111129350",2.56029934220901
"95","LOC111111334",2.55570754437102
"84","LOC111109740",2.54560598767482
"120","LOC111115784",2.53120327409645
"31","LOC111103305",2.52708346401566
"195","LOC111121195",2.45268578055858
"367","LOC111135670",2.44713579104164
"26","LOC111101943",2.44327676549395
"374","LOC111136134",2.44197020117508
"155","LOC111119195",2.43762193100241
"117","LOC111115520",2.42705689163204
"124","LOC111117060",2.42346130160599
"362","LOC111135113",2.42291518459607
"376","LOC111136186",2.4185809879395
"192","LOC111121099",2.41335700855336
"144","LOC111118809",2.41236046763199
"232","LOC111124639",2.40201182289349
"371","LOC111135952",2.40178783970648
"338","LOC111133558",2.40090956240921
"339","LOC111133840",2.39825274159785
"27","LOC111102061",2.38110743750699
"103","LOC111112605",2.36781728860481
"200","LOC111121854",2.36081322603476
"253","LOC111126216",2.3494320177252
"187","LOC111120682",2.34320353451089
"132","LOC111117813",2.33933633442523
"322","LOC111132265",2.33253633300911
"158","LOC111119366",2.3228482374597
"250","LOC111126125",2.32156277945035
"90","LOC111110168",2.31499862477479
"401","LOC111137946",2.306377930697
"177","LOC111120247",2.27952542102681
"268","LOC111127844",2.27945700509101
"305","LOC111130208",2.2618543396353
"198","LOC111121501",2.25573983613053
"108","LOC111113198",2.25259167630194
"93","LOC111110619",2.25009357233011
"46","LOC111105030",2.24871379701955
"107","LOC111113084",2.24827003828743
"45","LOC111104805",2.24587868790368
"244","LOC111125442",2.23225585923203
"223","LOC111123973",2.22331046797633
"355","LOC111134720",2.21979639098535
"168","LOC111119735",2.21494439120073
"145","LOC111118833",2.18172348141764
"273","LOC111128209",2.17717776603299
"61","LOC111107171",2.17364660720141
"251","LOC111126147",2.17181013379626
"53","LOC111105828",2.16287754930444
"190","LOC111121058",2.14680959966626
"279","LOC111128698",2.14646022956384
"314","LOC111130883",2.14271713609107
"389","LOC111136967",2.13557539873508
"257","LOC111126798",2.12724602607664
"125","LOC111117164",2.11351618335161
"35","LOC111103484",2.10646148495089
"185","LOC111120615",2.10213686751872
"226","LOC111124414",2.08315442129955
"9","LOC111100092",2.05413115702717
"96","LOC111111528",2.05138340316973
"94","LOC111110660",2.0499597540962
"24","LOC111101287",2.02477769723425
"332","LOC111133241",2.02381526713008
"351","LOC111134684",2.01107881979971
"235","LOC111124908",2.00490985472379
"359","LOC111134843",1.98946935243181
"188","LOC111120684",1.9884048196167
"323","LOC111132625",1.98813811426538
"377","LOC111136197",1.98782872286579
"341","LOC111133985",1.98709996342808
"83","LOC111109620",1.98006002662714
"134","LOC111118030",1.97903101860664
"294","LOC111129499",1.97486060501216
"66","LOC111107620",1.96754819452354
"295","LOC111129526",1.95929395987356
"277","LOC111128582",1.95529067832499
"262","LOC111127492",1.95302525290322
"379","LOC111136295",1.9477187564328
"139","LOC111118425",1.94544496570432
"67","LOC111107816",1.9335513061243
"18","LOC111100869",1.92992869202504
"272","LOC111128103",1.92601496211804
"161","LOC111119527",1.92284622545829
"180","LOC111120474",1.92257918095617
"211","LOC111122922",1.92048416755287
"128","LOC111117650",1.90067439750796
"312","LOC111130701",1.89283228087482
"373","LOC111135975",1.89183300317052
"72","LOC111108185",1.88272011889474
"216","LOC111123809",1.87646726042963
"242","LOC111125380",1.86978177993058
"37","LOC111103799",1.86908724005933
"71","LOC111108080",1.86641640095207
"123","LOC111116971",1.85863765780258
"65","LOC111107569",1.85800136205112
"189","LOC111120746",1.84806041533707
"287","LOC111129049",1.84797055996228
"33","LOC111103375",1.84311896344999
"304","LOC111130193",1.83982133517134
"213","LOC111123065",1.8362956912104
