"","genes","l2fc"
"380","LOC111136307",1.83450738178033
"112","LOC111113388",1.83019751329011
"171","LOC111119852",1.8189095495821
"274","LOC111128277",1.79922305180325
"34","LOC111103479",1.79471318140147
"345","LOC111134405",1.79104383552203
"77","LOC111108451",1.78909590791862
"1","LOC111099115",1.78858640472996
"249","LOC111125956",1.780319851128
"98","LOC111112387",1.77651609591151
"353","LOC111134716",1.77411992157381
"334","LOC111133260",1.77346009972853
"130","LOC111117672",1.76500204248676
"316","LOC111131074",1.76486284580898
"245","LOC111125735",1.75932358807071
"127","LOC111117391",1.75441389505084
"165","LOC111119596",1.75421840531029
"54","LOC111106506",1.75166494972086
"39","LOC111103819",1.75110013039526
"119","LOC111115720",1.74873197067468
"363","LOC111135253",1.7462308376051
"186","LOC111120617",1.74135380176904
"365","LOC111135592",1.73869095900361
"357","LOC111134768",1.73109917917297
"147","LOC111118959",1.72996325225507
"385","LOC111136502",1.72637416271827
"150","LOC111119012",1.70705136737614
"325","LOC111132924",1.69999561986797
"378","LOC111136220",1.68953948020426
"301","LOC111129975",1.68850778516679
"260","LOC111127289",1.67994167654975
"288","LOC111129125",1.6737993526194
"104","LOC111112636",1.67156330003102
"298","LOC111129883",1.67118776692823
"360","LOC111134995",1.66732855210093
"243","LOC111125404",1.6581446372135
"22","LOC111101069",1.63198989778204
"394","LOC111137527",1.6300626934075
"208","LOC111122808",1.62713589787235
"320","LOC111131693",1.62264419927124
"182","LOC111120496",1.61894041940706
"78","LOC111108505",1.61878973912404
"91","LOC111110195",1.61473448215309
"255","LOC111126560",1.58909035657154
"40","LOC111103866",1.58463910346706
"142","LOC111118652",1.58140263437817
"92","LOC111110475",1.58026591471259
"386","LOC111136595",1.57813839398809
"349","LOC111134585",1.5625228217305
"87","LOC111109936",1.56237070469479
"390","LOC111137026",1.55542223820902
"68","LOC111107851",1.55152128104051
"141","LOC111118568",1.55078225001008
"15","LOC111100602",1.54907724461026
"284","LOC111128979",1.5485215096911
"375","LOC111136175",1.54480955704812
"156","LOC111119203",1.54310100910857
"191","LOC111121073",1.53627179264447
"138","LOC111118324",1.53161256425134
"82","LOC111109410",1.5304253576771
"97","LOC111111976",1.51207103947819
"246","LOC111125778",1.50372375678271
"285","LOC111128997",1.48666145911672
"203","LOC111122158",1.48582119285015
"2","LOC111099216",1.48286142511512
"281","LOC111128891",1.47744526666791
"172","LOC111119855",1.46762636929815
"300","LOC111129914",1.4557029355646
"402","LOC111137983",1.45532853477129
"89","LOC111110127",1.45530268274823
"105","LOC111112700",1.45327174509262
"350","LOC111134646",1.45158367838934
"356","LOC111134722",1.45042198757438
"354","LOC111134719",1.44928750429118
"327","LOC111132955",1.44900610719791
"259","LOC111127104",1.44647546998665
"254","LOC111126402",1.43019181541295
"25","LOC111101598",1.43017408433946
"252","LOC111126215",1.42249287283248
"258","LOC111126835",1.41221147965496
"296","LOC111129825",1.40756991122333
"111","LOC111113310",1.3936941309686
"73","LOC111108202",1.3806068722498
"148","LOC111118960",1.37833541817692
"146","LOC111118904",1.37730633712401
"184","LOC111120512",1.37235951804845
"239","LOC111125223",1.37001274009719
"263","LOC111127520",1.36598183704688
"335","LOC111133278",1.35449479206594
"12","LOC111100327",1.35018561840849
"293","LOC111129490",1.33465248165034
"313","LOC111130718",1.33429579712815
"154","LOC111119175",1.3312926920716
"384","LOC111136484",1.33018990320967
"269","LOC111127862",1.33008806078818
"21","LOC111101061",1.32659177109729
"228","LOC111124587",1.31376535828163
"302","LOC111130000",1.31082953955581
"319","LOC111131591",1.30802908706569
"383","LOC111136471",1.29641229048202
"75","LOC111108303",1.29578717286969
"303","LOC111130067",1.27587819362467
"102","LOC111112580",1.27291863240084
"299","LOC111129910",1.27255695400835
"13","LOC111100344",1.26933152876508
"348","LOC111134531",1.26185714103763
"166","LOC111119656",1.2613952976487
"32","LOC111103349",1.25817171626702
"50","LOC111105526",1.25632759455262
"196","LOC111121273",1.24874412236012
"29","LOC111102475",1.23550197480326
"261","LOC111127317",1.22107399960926
"57","LOC111106619",1.21806891912263
"326","LOC111132939",1.21098334810173
"247","LOC111125870",1.21083314538762
"14","LOC111100574",1.2009868457735
"297","LOC111129853",1.19668325828764
"121","LOC111115795",1.17894182571124
"215","LOC111123784",1.17793452628673
"58","LOC111106775",1.16977476104131
"131","LOC111117739",1.15465387418019
"23","LOC111101238",1.14544832059141
"110","LOC111113309",1.14155969251123
"330","LOC111133021",1.12219010972291
"212","LOC111123003",1.11834528045203
"197","LOC111121366",1.09575443433496
"193","LOC111121119",1.08415607162279
"206","LOC111122334",1.08016162993311
"395","LOC111137657",1.07311133712849
"317","LOC111131506",1.07047541864103
"207","LOC111122604",1.06942468391621
"210","LOC111122887",1.05933782261137
"114","LOC111114450",1.05772386061053
"286","LOC111128998",1.05762954453685
"404","LOC111138141",1.05200879255777
"113","LOC111114201",1.0497699898759
"318","LOC111131555",1.04631043925139
"382","LOC111136466",1.0424651739203
"343","LOC111134335",1.03220023029096
"237","LOC111125070",1.03028831440505
"99","LOC111112439",1.02084511303402
"352","LOC111134709",1.01598928359957
"100","LOC111112487",1.00004846516524
"236","LOC111124999",0.996536531975397
"266","LOC111127729",0.9851234988286
"149","LOC111118970",0.981952081215776
"220","LOC111123910",0.968466165473406
"10","LOC111100143",0.95777982879328
"217","LOC111123831",0.918465581220265
"81","LOC111109289",0.915594668627967
"11","LOC111100148",0.915415439346371
"337","LOC111133491",0.913547404270571
"143","LOC111118654",0.913482552722019
"5","LOC111099722",0.899351501638737
"400","LOC111137876",0.876424403012306
"79","LOC111108664",0.862532601178456
"152","LOC111119126",0.852921298731767
"36","LOC111103558",0.852669726819502
"44","LOC111104504",0.828837862818845
"364","LOC111135536",0.818103941415981
"164","LOC111119574",0.80545519480975
"109","LOC111113238",0.803989663405723
"17","LOC111100739",0.795139759139241
"340","LOC111133954",0.77427381454198
"234","LOC111124802",0.774076805434995
"225","LOC111124392",0.764611964880188
"347","LOC111134449",0.763161309144101
"306","LOC111130297",0.758793587369358
"391","LOC111137325",0.752539183534488
"276","LOC111128484",0.73839261694984
"290","LOC111129277",0.658248842477604
"6","LOC111099918",0.656751219091182
"205","LOC111122329",0.648257524362865
"321","LOC111131749",0.642688750377476
"248","LOC111125905",0.615273553531221
"76","LOC111108426",0.609876800886441
"41","LOC111104284",0.509957967756077
"167","LOC111119699",-0.820879464901901
"280","LOC111128800",-1.07668925919481
"315","LOC111130989",-1.19455080324633
"202","LOC111122023",-1.27610390501539
"283","LOC111128973",-1.34750139553083
"219","LOC111123891",-1.46735779396458
"393","LOC111137420",-1.49567755587529
"74","LOC111108243",-1.4973806054349
"159","LOC111119487",-1.79387458520151
"64","LOC111107518",-2.11847163631373
"230","LOC111124590",-2.2974086826599
"241","LOC111125352",-2.39341096684409
"381","LOC111136410",-2.40805131350698
