From	To
LOC111110475	111110475
LOC111123809	111123809
LOC111127492	111127492
LOC111124361	111124361
LOC111108790	111108790
LOC111105528	111105528
LOC111120445	111120445
LOC111127799	111127799
LOC111130223	111130223
LOC111118753	111118753
LOC111121854	111121854
LOC111119125	111119125
LOC111135592	111135592
LOC111130193	111130193
LOC111118701	111118701
LOC111136937	111136937
LOC111108080	111108080
LOC111105299	111105299
LOC111128973	111128973
LOC111135946	111135946
LOC111135968	111135968
LOC111104284	111104284
LOC111101237	111101237
LOC111138095	111138095
LOC111108426	111108426
LOC111107933	111107933
LOC111106800	111106800
LOC111119533	111119533
LOC111117672	111117672
LOC111136197	111136197
LOC111100406	111100406
