"","symbol","baseMean.x","log2FC.x","lfcSE.x","stat.x","pvalue.x","padj.x","name.x","baseMean.y","log2FC.y","lfcSE.y","stat.y","pvalue.y","padj.y","name.y","pair"
"1","LOC111103344",497.520238165907,-1.19307982081216,0.210503124279394,-4.4801226777064,7.4600149374295e-06,0.0186923107615525,"uncharacterized LOC111103344, transcript variant X7",497.520238165907,-1.01614925884778,0.210898162959294,-3.63279247242973,0.000280370504863221,0.0237683108277708,"uncharacterized LOC111103344, transcript variant X7","CH, CC"
"7","LOC111132100",25.7801108774315,-1.39641171407078,0.280416818791514,-4.08824163618776,4.34655278379541e-05,0.0363033747508779,"uncharacterized LOC111132100, transcript variant X3",25.7801108774315,-1.59038112593264,0.277626323769441,-4.82800444761059,1.37908014411813e-06,0.000592905956246215,"uncharacterized LOC111132100, transcript variant X3","CH, CC"
"9","LOC111133874",106.767633844167,-0.982015603974589,0.178011597773053,-4.11217928007048,3.91941742524167e-05,0.0363033747508779,"uncharacterized LOC111133874",106.767633844167,-1.15448604225369,0.176300925157928,-5.13035335148389,2.89198789177033e-07,0.00019340972356184,"uncharacterized LOC111133874","CH, CC"
