From	To
LOC111135994	111135994
LOC111136466	111136466
LOC111119748	111119748
LOC111117745	111117745
LOC111115741	111115741
LOC111134401	111134401
LOC111112399	111112399
LOC111119646	111119646
LOC111101020	111101020
LOC111133438	111133438
LOC111128585	111128585
LOC111129896	111129896
LOC111129277	111129277
LOC111122084	111122084
LOC111123492	111123492
LOC111125659	111125659
LOC111100699	111100699
LOC111121099	111121099
LOC111126506	111126506
LOC111121159	111121159
LOC111105248	111105248
LOC111136185	111136185
LOC111113022	111113022
LOC111117760	111117760
LOC111101925	111101925
LOC111117164	111117164
LOC111134398	111134398
LOC111135982	111135982
LOC111099567	111099567
LOC111109677	111109677
LOC111099424	111099424
LOC111115479	111115479
LOC111104344	111104344
LOC111129520	111129520
LOC111129049	111129049
LOC111103792	111103792
LOC111120850	111120850
LOC111128755	111128755
LOC111128754	111128754
LOC111126798	111126798
LOC111128239	111128239
LOC111121229	111121229
LOC111135181	111135181
LOC111119059	111119059
LOC111133260	111133260
LOC111123948	111123948
