"gene_name" "GO_id"
"58" "LOC111099055" "GO:0004672; GO:0005524; GO:0006182; GO:0016020; GO:0016849; GO:0035556"
"59" "LOC111099552" "GO:0003677; GO:0004519; GO:0006281; GO:0046872"
"60" "LOC111099625" "GO:0000049; GO:0002098; GO:0005737; GO:0016779; GO:0032447; GO:0034227"
"61" "LOC111099729" "GO:0000727; GO:0003677; GO:0005634; GO:0006308; GO:0008821; GO:0043130; GO:0046872; GO:0048476"
"62" "LOC111099067" "GO:0005730; GO:0008649"
"63" "LOC111099660" "GO:0000049; GO:0002098; GO:0005737; GO:0016779; GO:0032447; GO:0034227"
"64" "LOC111100042" "GO:0003746; GO:0003924; GO:0005525; GO:0005739; GO:0070125"
"65" "LOC111100398" "GO:0005506; GO:0006541; GO:0010181; GO:0016040; GO:0050660; GO:0051538; GO:0097054"
"66" "LOC111100399" "GO:0006541; GO:0015930; GO:0016639; GO:0046872; GO:0051538; GO:0097054"
"67" "LOC111100399" "GO:0005506; GO:0006541; GO:0010181; GO:0016040; GO:0050660; GO:0051538; GO:0097054"
"68" "LOC111099327" "GO:0004017; GO:0005524; GO:0005758; GO:0005829; GO:0006172; GO:0016310; GO:0046033; GO:0046034"
"69" "LOC111099502" "GO:0003937; GO:0004643; GO:0005829; GO:0006189"
"70" "LOC111100399" "GO:0005506; GO:0006541; GO:0010181; GO:0016040; GO:0050660; GO:0051538; GO:0097054"
"71" "LOC111099713" "GO:0004222; GO:0005789; GO:0046872; GO:0071586"
"72" "LOC111100544" "GO:0003937; GO:0004643; GO:0005829; GO:0006189"
"73" "LOC111100544" "GO:0003937; GO:0004643; GO:0005829; GO:0006189"
"74" "LOC111100896" "GO:0005007; GO:0005524; GO:0008284; GO:0016020; GO:0016310"
"75" "LOC111100896" "GO:0005007; GO:0005524; GO:0008284; GO:0016020; GO:0016310"
"76" "LOC111100398" "GO:0005506; GO:0006541; GO:0010181; GO:0016040; GO:0050660; GO:0051538; GO:0097054"
"77" "LOC111100896" "GO:0005007; GO:0005524; GO:0008284; GO:0016020; GO:0016310"
"78" "LOC111100896" "GO:0005007; GO:0005524; GO:0008284; GO:0016020; GO:0016310"
"79" "LOC111100475" "GO:0001678; GO:0004396; GO:0005524; GO:0005536; GO:0006096; GO:0019318"
"80" "LOC111101152" "GO:0000166; GO:0004775; GO:0005739; GO:0006099"
"81" "LOC111101152" "GO:0000166; GO:0004775; GO:0005739; GO:0006099"
"82" "LOC111101237" "GO:0005634; GO:0005737; GO:0009116; GO:0009117; GO:0009159; GO:0070694"
"83" "LOC111100625" "GO:0005743; GO:0006099; GO:0016627; GO:0022900; GO:0050660"
"84" "LOC111100398" "GO:0006541; GO:0015930; GO:0016639; GO:0046872; GO:0051538; GO:0097054"
"85" "LOC111100699" "GO:0005737; GO:0008270; GO:0019284; GO:0019509; GO:0046570"
"86" "LOC111100729" "GO:0004222; GO:0005509; GO:0006508; GO:0008270; GO:0016020"
"87" "LOC111101152" "GO:0000166; GO:0004775; GO:0005739; GO:0006099"
"88" "LOC111100475" "GO:0001678; GO:0004396; GO:0005524; GO:0005536; GO:0006096; GO:0019318"
"89" "LOC111100896" "GO:0005007; GO:0005524; GO:0008284; GO:0016020; GO:0016310"
"90" "LOC111101097" "GO:0004222; GO:0005789; GO:0046872; GO:0071586"
"91" "LOC111100896" "GO:0005007; GO:0005524; GO:0008284; GO:0016020; GO:0016310"
"92" "LOC111102061" "GO:0003677; GO:0004519; GO:0006281; GO:0046872"
"93" "LOC111102230" "GO:0006777; GO:0008265; GO:0016829; GO:0030151; GO:0030170"
"94" "LOC111101642" "GO:0000287; GO:0004775; GO:0005524; GO:0005739; GO:0006099"
"95" "LOC111102614" "GO:0004222; GO:0005576; GO:0006508; GO:0008270; GO:0018996"
"96" "LOC111103393" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"97" "LOC111103393" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"98" "LOC111103480" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"99" "LOC111103393" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"100" "LOC111103393" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"101" "LOC111103393" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"102" "LOC111103393" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"103" "LOC111103480" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"104" "LOC111103480" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"105" "LOC111103778" "GO:0000287; GO:0004709; GO:0005524; GO:0016310"
"106" "LOC111103480" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"107" "LOC111103480" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"108" "LOC111103795" "GO:0004645; GO:0006206; GO:0006213; GO:0009032; GO:0016154"
"109" "LOC111103802" "GO:0005507; GO:0008131; GO:0009308; GO:0016020; GO:0048038"
"110" "LOC111102977" "GO:0008478; GO:0009443; GO:0016310"
"111" "LOC111103312" "GO:0004623; GO:0005509; GO:0005576; GO:0006644; GO:0016042; GO:0050482"
"112" "LOC111103635" "GO:0005634; GO:0006355; GO:0050660; GO:0140682"
"113" "LOC111103623" "GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0007049; GO:0016787; GO:0042555"
"114" "LOC111103393" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"115" "LOC111103393" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"116" "LOC111103778" "GO:0000287; GO:0004709; GO:0005524; GO:0016310"
"117" "LOC111103445" "GO:0004014; GO:0006597; GO:0008295"
"118" "LOC111103480" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"119" "LOC111103827" "GO:0000287; GO:0004709; GO:0005524; GO:0016310"
"120" "LOC111103778" "GO:0000287; GO:0004709; GO:0005524; GO:0016310"
"121" "LOC111103802" "GO:0005507; GO:0008131; GO:0009308; GO:0016020; GO:0048038"
"122" "LOC111104077" "GO:0000151; GO:0004842; GO:0005739; GO:0005829; GO:0006914; GO:0008270; GO:0016567"
"123" "LOC111103827" "GO:0000287; GO:0004709; GO:0005524; GO:0016310"
"124" "LOC111103886" "GO:0003878; GO:0005524; GO:0005829; GO:0006085; GO:0006099; GO:0006101; GO:0006629; GO:0046872"
"125" "LOC111103393" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"126" "LOC111103480" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"127" "LOC111103480" "GO:0000828; GO:0000829; GO:0005524; GO:0005829; GO:0016310; GO:0033857"
"128" "LOC111103795" "GO:0004645; GO:0006206; GO:0006213; GO:0009032; GO:0016154"
"129" "LOC111104276" "GO:0005829; GO:0008270; GO:0016567; GO:0043023; GO:0061630; GO:0072344; GO:1990112; GO:1990116"
"130" "LOC111104077" "GO:0000151; GO:0004842; GO:0005739; GO:0005829; GO:0006914; GO:0008270; GO:0016567"
"131" "LOC111103635" "GO:0005634; GO:0006355; GO:0050660; GO:0140682"
"132" "LOC111104451" "GO:0005249; GO:0005516; GO:0005783; GO:0008076; GO:0016323; GO:0016328; GO:0030659; GO:0045121"
"133" "LOC111104247" "GO:0005743; GO:0006099; GO:0016627; GO:0022900; GO:0050660"
"134" "LOC111103827" "GO:0000287; GO:0004709; GO:0005524; GO:0016310"
"135" "LOC111104437" "GO:0005829; GO:0008270; GO:0016567; GO:0043023; GO:0061630; GO:0072344; GO:1990112; GO:1990116"
"136" "LOC111104633" "GO:0005777; GO:0008609; GO:0008611; GO:0071949"
"137" "LOC111104494" "GO:0000151; GO:0004842; GO:0005739; GO:0005829; GO:0006914; GO:0008270; GO:0016567"
"138" "LOC111104691" "GO:0005777; GO:0016787; GO:0046872"
"139" "LOC111104443" "GO:0006744; GO:0008425; GO:0010420; GO:0031314; GO:0032259; GO:0061542"
"140" "LOC111104451" "GO:0005249; GO:0005516; GO:0005783; GO:0008076; GO:0016323; GO:0016328; GO:0030659; GO:0045121"
"141" "LOC111105066" "GO:0000154; GO:0005524; GO:0005730; GO:0008080; GO:0042274; GO:0051391"
"142" "LOC111105636" "GO:0008478; GO:0009443; GO:0016310"
"143" "LOC111105866" "GO:0000287; GO:0004775; GO:0004776; GO:0005524; GO:0005525; GO:0005739; GO:0006099; GO:0006104"
"144" "LOC111105925" "GO:0000287; GO:0004775; GO:0004776; GO:0005524; GO:0005525; GO:0005739; GO:0006099; GO:0006104"
"145" "LOC111105925" "GO:0000287; GO:0004775; GO:0004776; GO:0005524; GO:0005525; GO:0005739; GO:0006099; GO:0006104"
"146" "LOC111105866" "GO:0000287; GO:0004775; GO:0004776; GO:0005524; GO:0005525; GO:0005739; GO:0006099; GO:0006104"
"147" "LOC111106677" "GO:0003972; GO:0005525; GO:0006388; GO:0046872; GO:0072669"
"148" "LOC111104153" "GO:0000723; GO:0003678; GO:0003684; GO:0005524; GO:0006303; GO:0006310; GO:0016787; GO:0042162; GO:0043564"
"149" "LOC111106862" "GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872"
"150" "LOC111106862" "GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872"
"151" "LOC111107154" "GO:0005509; GO:0005615; GO:0005654; GO:0005737; GO:0005856; GO:0016010; GO:0042383; GO:0045211"
"152" "LOC111107091" "GO:0004563; GO:0005975; GO:0030247"
"153" "LOC111107099" "GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872"
"154" "LOC111107099" "GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872"
"155" "LOC111107099" "GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872"
"156" "LOC111106862" "GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872"
"157" "LOC111107238" "GO:0001764; GO:0005576; GO:0007417; GO:0016787; GO:0046872; GO:0070325"
"158" "LOC111107387" "GO:0004674; GO:0005524; GO:0005525; GO:0005829; GO:0009966; GO:0016020; GO:0016310"
"159" "LOC111107444" "GO:0004672; GO:0005524; GO:0005525; GO:0006182; GO:0016020; GO:0016849; GO:0035556"
"160" "LOC111107566" "GO:0001764; GO:0005576; GO:0007417; GO:0016787; GO:0046872; GO:0070325"
"161" "LOC111107387" "GO:0004674; GO:0005524; GO:0005525; GO:0005829; GO:0009966; GO:0016020; GO:0016310"
"162" "LOC111108202" "GO:0004842; GO:0005634; GO:0006281; GO:0008270; GO:0016020; GO:0016567"
"163" "LOC111108202" "GO:0004842; GO:0005634; GO:0006281; GO:0008270; GO:0016020; GO:0016567"
"164" "LOC111108202" "GO:0004842; GO:0005634; GO:0006281; GO:0008270; GO:0016020; GO:0016567"
"165" "LOC111108105" "GO:0003697; GO:0003924; GO:0005525; GO:0005634; GO:0005794; GO:0006301; GO:0015031; GO:0016192; GO:0016567; GO:0046872; GO:0061630"
"166" "LOC111108202" "GO:0004842; GO:0005634; GO:0006281; GO:0008270; GO:0016020; GO:0016567"
"167" "LOC111108202" "GO:0004842; GO:0005634; GO:0006281; GO:0008270; GO:0016020; GO:0016567"
"168" "LOC111108202" "GO:0004842; GO:0005634; GO:0006281; GO:0008270; GO:0016020; GO:0016567"
"169" "LOC111108438" "GO:0003677; GO:0004519; GO:0006281; GO:0008270; GO:0016829"
"170" "LOC111108616" "GO:0005737; GO:0006730; GO:0009058; GO:0009258; GO:0016155; GO:0016620"
"171" "LOC111108616" "GO:0005737; GO:0006730; GO:0009058; GO:0009258; GO:0016155; GO:0016620"
"172" "LOC111108616" "GO:0005737; GO:0006730; GO:0009058; GO:0009258; GO:0016155; GO:0016620"
"173" "LOC111109745" "GO:0003774; GO:0003779; GO:0004100; GO:0005524; GO:0016020; GO:0016459"
"174" "LOC111109649" "GO:0005634; GO:0006355; GO:0050660; GO:0140682"
"175" "LOC111109649" "GO:0005634; GO:0006355; GO:0050660; GO:0140682"
"176" "LOC111109754" "GO:0003774; GO:0003779; GO:0004100; GO:0005524; GO:0016020; GO:0016459"
"177" "LOC111110628" "GO:0005737; GO:0006508; GO:0046872; GO:0070006"
"178" "LOC111110751" "GO:0004016; GO:0005524; GO:0005886; GO:0006171; GO:0035556; GO:0046872"
"179" "LOC111110831" "GO:0005506; GO:0005634; GO:0005737; GO:0010308; GO:0010309; GO:0016151; GO:0019509"
"180" "LOC111110628" "GO:0005737; GO:0006508; GO:0046872; GO:0070006"
"181" "LOC111110900" "GO:0000049; GO:0005634; GO:0008176"
"182" "LOC111111488" "GO:0003677; GO:0003723; GO:0004386; GO:0005524; GO:0005737; GO:0016787; GO:0045087; GO:0046872; GO:0051607"
"183" "LOC111111192" "GO:0005739; GO:0008270; GO:0016740; GO:0034979; GO:0036054; GO:0036055; GO:0070403"
"184" "LOC111111874" "GO:0004016; GO:0005524; GO:0005886; GO:0006171; GO:0035556; GO:0046872"
"185" "LOC111112503" "GO:0005524; GO:0016020; GO:0016779"
"186" "LOC111113124" "GO:0005765; GO:0005794; GO:0006623; GO:0030136; GO:0030897; GO:0031901; GO:0031902; GO:0034058; GO:0046872"
"187" "LOC111113124" "GO:0005765; GO:0005794; GO:0006623; GO:0030136; GO:0030897; GO:0031901; GO:0031902; GO:0034058; GO:0046872"
"188" "LOC111113124" "GO:0005765; GO:0005794; GO:0006623; GO:0030136; GO:0030897; GO:0031901; GO:0031902; GO:0034058; GO:0046872"
"189" "LOC111113124" "GO:0005765; GO:0005794; GO:0006623; GO:0030136; GO:0030897; GO:0031901; GO:0031902; GO:0034058"
"190" "LOC111113239" "GO:0005542; GO:0005794; GO:0005814; GO:0016740; GO:0016829; GO:0019556; GO:0019557"
"191" "LOC111113239" "GO:0005542; GO:0005794; GO:0005814; GO:0016740; GO:0016829; GO:0019556; GO:0019557"
"192" "LOC111113124" "GO:0005765; GO:0005794; GO:0006623; GO:0030136; GO:0030897; GO:0031901; GO:0031902; GO:0034058; GO:0046872"
"193" "LOC111113124" "GO:0005765; GO:0005794; GO:0006623; GO:0030136; GO:0030897; GO:0031901; GO:0031902; GO:0034058; GO:0046872"
"194" "LOC111113166" "GO:0004222; GO:0005509; GO:0006508; GO:0008270; GO:0016020"
"195" "LOC111113165" "GO:0004222; GO:0005509; GO:0006508; GO:0008270; GO:0016020"
"196" "LOC111113239" "GO:0005542; GO:0005794; GO:0005814; GO:0016740; GO:0016829; GO:0019556; GO:0019557"
"197" "LOC111113622" "GO:0000287; GO:0004610; GO:0005975; GO:0006048"
"198" "LOC111114690" "GO:0005737; GO:0006730; GO:0009058; GO:0009258; GO:0016155; GO:0016620"
"199" "LOC111114690" "GO:0005737; GO:0006730; GO:0009058; GO:0009258; GO:0016155; GO:0016620"
"200" "LOC111115043" "GO:0004563; GO:0005975; GO:0030247"
"201" "LOC111115048" "GO:0004222; GO:0005509; GO:0006508; GO:0008270; GO:0016020"
"202" "LOC111115121" "GO:0004222; GO:0006508; GO:0008270; GO:0016020"
"203" "LOC111115441" "GO:0000118; GO:0000122; GO:0004407; GO:0046872; GO:0050896"
"204" "LOC111115441" "GO:0000118; GO:0000122; GO:0004407; GO:0046872; GO:0050896"
"205" "LOC111115441" "GO:0000118; GO:0000122; GO:0004407; GO:0046872; GO:0050896"
"206" "LOC111115441" "GO:0000118; GO:0000122; GO:0004407; GO:0046872; GO:0050896"
"207" "LOC111115048" "GO:0004222; GO:0005509; GO:0006508; GO:0008270; GO:0016020"
"208" "LOC111115441" "GO:0000118; GO:0000122; GO:0004407; GO:0046872; GO:0050896"
"209" "LOC111115441" "GO:0000118; GO:0000122; GO:0004407; GO:0046872; GO:0050896"
"210" "LOC111115043" "GO:0004563; GO:0005975; GO:0030247"
"211" "LOC111115441" "GO:0000118; GO:0000122; GO:0004407; GO:0046872; GO:0050896"
