gene_name	metadata
LOC111107355	GO:0051015
LOC111108138	GO:0051015
LOC111110381	GO:0051015
LOC111110630	GO:0051015
LOC111121108	GO:0051015
LOC111108855	GO:0051011
LOC111109732	GO:0051011
LOC111116677	GO:0050953
LOC111135928	GO:0050528
LOC111135929	GO:0050528
LOC111133346	GO:0050525
LOC111099182	GO:0050188
LOC111128005	GO:0048856
LOC111104416	GO:0048193, GO:1990071,GO:0048193, GO:1990071
LOC111111773	GO:0048193
LOC111126900	GO:0048188,GO:0048188
LOC111121488	GO:0048188
LOC111131496	GO:0048188
LOC111127390	GO:0048168, GO:2001222
LOC111127669	GO:0048168, GO:2001222
LOC111134201	GO:0047631,GO:0047631,GO:0047631
LOC111136071	GO:0047631,GO:0047631
LOC111119310	GO:0047617
LOC111120577	GO:0047617
LOC111120582	GO:0047617
LOC111126067	GO:0047429,GO:0047429
LOC111118844	GO:0047134
LOC111117417	GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983
LOC111123970	GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983
LOC111124597	GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983
LOC111125664	GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983,GO:0046983
LOC111122804	GO:0046983,GO:0046983,GO:0046983,GO:0046983
LOC111100254	GO:0046983,GO:0046983,GO:0046983
LOC111102682	GO:0046983,GO:0046983,GO:0046983
LOC111107924	GO:0046983,GO:0046983,GO:0046983
LOC111130850	GO:0046983,GO:0046983,GO:0046983
LOC111134789	GO:0046983,GO:0046983,GO:0046983
LOC111128831	GO:0046983,GO:0046983,GO:0003677, GO:0003700, GO:0005634, GO:0005667, GO:0005737
LOC111117479	GO:0046983,GO:0046983
LOC111120491	GO:0046983,GO:0046983
LOC111128917	GO:0046983,GO:0046983
LOC111137409	GO:0046983,GO:0046983
LOC111099815	GO:0046983
LOC111100253	GO:0046983
LOC111101596	GO:0046983
LOC111101746	GO:0046983
LOC111101971	GO:0046983
LOC111102091	GO:0046983
LOC111102254	GO:0046983
LOC111102270	GO:0046983
LOC111102447	GO:0046983
LOC111102499	GO:0046983
LOC111102873	GO:0046983
LOC111103056	GO:0046983
LOC111103915	GO:0046983
LOC111104277	GO:0046983
LOC111105253	GO:0046983
LOC111105492	GO:0046983
LOC111106676	GO:0046983
LOC111107401	GO:0046983
LOC111107529	GO:0046983
LOC111107951	GO:0046983
LOC111109977	GO:0046983
LOC111110366	GO:0046983
LOC111110728	GO:0046983
LOC111111083	GO:0046983
LOC111111517	GO:0046983
LOC111112180	GO:0046983
LOC111112218	GO:0046983
LOC111112219	GO:0046983
LOC111114244	GO:0046983
LOC111114688	GO:0046983
LOC111114701	GO:0046983
LOC111114981	GO:0046983
LOC111115116	GO:0046983
LOC111115117	GO:0046983
LOC111115445	GO:0046983
LOC111115483	GO:0046983
LOC111116386	GO:0046983
LOC111116906	GO:0046983
LOC111117945	GO:0046983
LOC111119796	GO:0046983
LOC111120962	GO:0046983
LOC111121089	GO:0046983
LOC111121110	GO:0046983
LOC111122093	GO:0046983
LOC111122129	GO:0046983
LOC111122227	GO:0046983
LOC111122339	GO:0046983
LOC111123028	GO:0046983
LOC111124041	GO:0046983
LOC111124132	GO:0046983
LOC111126194	GO:0046983
LOC111126254	GO:0046983
LOC111127179	GO:0046983
LOC111128860	GO:0046983
LOC111128876	GO:0046983
LOC111129104	GO:0046983
LOC111129705	GO:0046983
LOC111129828	GO:0046983
LOC111130852	GO:0046983
LOC111131265	GO:0046983
LOC111131330	GO:0046983
LOC111131708	GO:0046983
LOC111131823	GO:0046983
LOC111132177	GO:0046983
LOC111132221	GO:0046983
LOC111132222	GO:0046983
LOC111132390	GO:0046983
LOC111132476	GO:0046983
LOC111132931	GO:0046983
LOC111133713	GO:0046983
LOC111134013	GO:0046983
LOC111134814	GO:0046983
LOC111135857	GO:0046983
LOC111136006	GO:0046983
LOC111136040	GO:0046983
LOC111101029	GO:0046982
LOC111123176	GO:0046982
LOC111127937	GO:0046982
LOC111128010	GO:0046982
LOC111130263	GO:0046982
LOC111130836	GO:0046961
LOC111121972	GO:0046907
LOC111134702	GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872
LOC111135135	GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872
LOC111116352	GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872
LOC111134633	GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872
LOC111132121	GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872
LOC111122072	GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872
LOC111126395	GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872,GO:0046872
