"","x"
"292","LOC111099483"
"293","LOC111099484"
"294","LOC111099485"
"295","LOC111099486"
"296","LOC111099487"
"297","LOC111099488"
"298","LOC111099489"
"299","LOC111099490"
"300","LOC111099491"
"301","LOC111099492"
"302","LOC111099493"
"303","LOC111099494"
"304","LOC111099495"
"305","LOC111099496"
"306","LOC111099497"
"307","LOC111099498"
"308","LOC111099499"
"309","LOC111099500"
"310","LOC111099501"
"311","LOC111099502"
"312","LOC111099503"
"313","LOC111099504"
"314","LOC111099505"
"315","LOC111099506"
"316","LOC111099507"
"317","LOC111099508"
"318","LOC111099509"
"319","LOC111099510"
"320","LOC111099511"
"321","LOC111099512"
"322","LOC111099513"
"323","LOC111099514"
"324","LOC111099515"
"325","LOC111099516"
"326","LOC111099517"
"327","LOC111099518"
"328","LOC111099519"
"329","LOC111099520"
"330","LOC111099521"
"331","LOC111099522"
"332","LOC111099523"
"333","LOC111099524"
"334","LOC111099525"
"335","LOC111099526"
"336","LOC111099527"
"337","LOC111099528"
"338","LOC111099529"
"339","LOC111099530"
"340","LOC111099531"
"341","LOC111099532"
"342","LOC111099533"
"343","LOC111099534"
"344","LOC111099535"
"345","LOC111099536"
"346","LOC111099537"
"347","LOC111099538"
"348","LOC111099539"
"349","LOC111099540"
"350","LOC111099541"
"351","LOC111099542"
"352","LOC111099543"
"353","LOC111099544"
"354","LOC111099545"
"355","LOC111099546"
"356","LOC111099547"
"357","LOC111099548"
"358","LOC111099549"
"359","LOC111099550"
"360","LOC111099551"
"361","LOC111099552"
"362","LOC111099553"
"363","LOC111099554"
"364","LOC111099555"
"365","LOC111099556"
"366","LOC111099557"
"367","LOC111099558"
"368","LOC111099559"
"369","LOC111099560"
"370","LOC111099561"
"371","LOC111099562"
"372","LOC111099563"
"373","LOC111099564"
"374","LOC111099565"
"375","LOC111099566"
"376","LOC111099567"
"377","LOC111099568"
"378","LOC111099569"
"379","LOC111099570"
"380","LOC111099571"
"381","LOC111099572"
"382","LOC111099573"
"383","LOC111099574"
"384","LOC111099575"
"385","LOC111099576"
"386","LOC111099577"
"387","LOC111099578"
"388","LOC111099579"
"389","LOC111099580"
"390","LOC111099581"
"391","LOC111099582"
"392","LOC111099583"
"393","LOC111099584"
"394","LOC111099585"
"395","LOC111099586"
"396","LOC111099587"
"397","LOC111099588"
"398","LOC111099589"
"399","LOC111099590"
"400","LOC111099591"
"401","LOC111099592"
"402","LOC111099593"
"403","LOC111099594"
"404","LOC111099595"
"405","LOC111099596"
"406","LOC111099597"
"407","LOC111099598"
"408","LOC111099599"
"409","LOC111099600"
"410","LOC111099601"
"411","LOC111099602"
"412","LOC111099603"
"413","LOC111099604"
"414","LOC111099605"
"415","LOC111099606"
"416","LOC111099607"
"417","LOC111099608"
"418","LOC111099609"
"419","LOC111099610"
"420","LOC111099611"
"421","LOC111099612"
"422","LOC111099613"
"423","LOC111099614"
"424","LOC111099615"
"425","LOC111099616"
"426","LOC111099617"
"427","LOC111099618"
"428","LOC111099619"
"429","LOC111099620"
"430","LOC111099621"
"431","LOC111099622"
"432","LOC111099623"
"433","LOC111099624"
"434","LOC111099625"
"435","LOC111099626"
"436","LOC111099627"
"437","LOC111099628"
"438","LOC111099629"
"439","LOC111099630"
"440","LOC111099631"
"441","LOC111099632"
"442","LOC111099633"
"443","LOC111099634"
"444","LOC111099635"
"445","LOC111099636"
"446","LOC111099637"
"447","LOC111099638"
"448","LOC111099639"
"449","LOC111099640"
"450","LOC111099641"
"451","LOC111099642"
"452","LOC111099643"
"453","LOC111099644"
"454","LOC111099645"
"455","LOC111099646"
"456","LOC111099647"
"457","LOC111099648"
"458","LOC111099649"
"459","LOC111099650"
"460","LOC111099651"
"461","LOC111099652"
"462","LOC111099653"
"463","LOC111099654"
"464","LOC111099655"
"465","LOC111099656"
"466","LOC111099657"
"467","LOC111099658"
"468","LOC111099659"
"469","LOC111099660"
"470","LOC111099661"
"471","LOC111099662"
"472","LOC111099663"
"473","LOC111099664"
"474","LOC111099665"
"475","LOC111099666"
"476","LOC111099667"
"477","LOC111099668"
"478","LOC111099669"
"479","LOC111099670"
"480","LOC111099671"
"481","LOC111099672"
"482","LOC111099673"
"483","LOC111099674"
"484","LOC111099675"
"485","LOC111099676"
"486","LOC111099677"
"487","LOC111099678"
"488","LOC111099679"
"489","LOC111099680"
"490","LOC111099681"
"491","LOC111099682"
"492","LOC111099683"
"493","LOC111099684"
"494","LOC111099685"
"495","LOC111099686"
"496","LOC111099687"
"497","LOC111099688"
"498","LOC111099689"
"499","LOC111099690"
"500","LOC111099691"
"501","LOC111099692"
"502","LOC111099693"
"503","LOC111099694"
"504","LOC111099695"
"505","LOC111099696"
"506","LOC111099697"
"507","LOC111099698"
"508","LOC111099699"
"509","LOC111099700"
"510","LOC111099701"
"511","LOC111099702"
"512","LOC111099703"
"513","LOC111099704"
"514","LOC111099705"
"515","LOC111099706"
"516","LOC111099707"
"517","LOC111099708"
"518","LOC111099709"
"519","LOC111099710"
"520","LOC111099711"
"521","LOC111099712"
"522","LOC111099713"
"523","LOC111099714"
"524","LOC111099715"
"525","LOC111099716"
"526","LOC111099717"
"527","LOC111099718"
"528","LOC111099719"
"529","LOC111099720"
"530","LOC111099721"
"531","LOC111099722"
"532","LOC111099723"
"533","LOC111099724"
"534","LOC111099725"
"535","LOC111099726"
"536","LOC111099727"
"537","LOC111099728"
"538","LOC111099729"
"539","LOC111099730"
"540","LOC111099731"
"541","LOC111099732"
"542","LOC111099733"
"543","LOC111099734"
"544","LOC111099735"
"545","LOC111099736"
"546","LOC111099737"
"547","LOC111099738"
"548","LOC111099739"
"549","LOC111099740"
"550","LOC111099741"
"551","LOC111099742"
"552","LOC111099743"
"553","LOC111099744"
"554","LOC111099745"
"555","LOC111099746"
"556","LOC111099747"
"557","LOC111099748"
"558","LOC111099749"
"559","LOC111099750"
"560","LOC111099751"
"561","LOC111099752"
"562","LOC111099753"
"563","LOC111099754"
"564","LOC111099755"
"565","LOC111099756"
"566","LOC111099757"
"567","LOC111099758"
"568","LOC111099759"
"569","LOC111099760"
"570","LOC111099761"
"571","LOC111099762"
"572","LOC111099763"
"573","LOC111099764"
"574","LOC111099765"
"575","LOC111099766"
"576","LOC111099767"
"577","LOC111099768"
"578","LOC111099769"
"579","LOC111099770"
"580","LOC111099771"
"581","LOC111099772"
"582","LOC111099773"
"583","LOC111099774"
"584","LOC111099775"
"585","LOC111099776"
"586","LOC111099777"
"587","LOC111099778"
"588","LOC111099779"
"589","LOC111099780"
"590","LOC111099781"
"591","LOC111099782"
"592","LOC111099783"
"593","LOC111099784"
"594","LOC111099785"
"595","LOC111099786"
"596","LOC111099787"
"597","LOC111099788"
"598","LOC111099789"
"599","LOC111099790"
"600","LOC111099791"
"601","LOC111099792"
"602","LOC111099793"
"603","LOC111099794"
"604","LOC111099795"
"605","LOC111099796"
"606","LOC111099797"
"607","LOC111099798"
"608","LOC111099799"
"609","LOC111099800"
"610","LOC111099801"
"611","LOC111099802"
"612","LOC111099803"
"613","LOC111099804"
"614","LOC111099805"
"615","LOC111099806"
"616","LOC111099807"
"617","LOC111099808"
"618","LOC111099809"
"619","LOC111099810"
"620","LOC111099811"
"621","LOC111099812"
"622","LOC111099813"
"623","LOC111099814"
"624","LOC111099815"
"625","LOC111099816"
"626","LOC111099817"
"627","LOC111099818"
"628","LOC111099819"
"629","LOC111099820"
"630","LOC111099821"
"631","LOC111099822"
"632","LOC111099823"
"633","LOC111099824"
"634","LOC111099825"
"635","LOC111099826"
"636","LOC111099827"
"637","LOC111099828"
"638","LOC111099829"
"639","LOC111099830"
"640","LOC111099831"
"641","LOC111099832"
"642","LOC111099833"
"643","LOC111099834"
"644","LOC111099835"
"645","LOC111099836"
"646","LOC111099837"
"647","LOC111099838"
"648","LOC111099839"
"649","LOC111099840"
"650","LOC111099841"
"651","LOC111099842"
"652","LOC111099843"
"653","LOC111099844"
"654","LOC111099845"
"655","LOC111099846"
"656","LOC111099847"
"657","LOC111099848"
"658","LOC111099849"
"659","LOC111099850"
"660","LOC111099851"
"661","LOC111099852"
"662","LOC111099853"
"663","LOC111099854"
"664","LOC111099855"
"665","LOC111099856"
"666","LOC111099857"
"667","LOC111099858"
"668","LOC111099859"
"669","LOC111099860"
"670","LOC111099861"
"671","LOC111099862"
"672","LOC111099863"
"673","LOC111099864"
"674","LOC111099865"
"675","LOC111099866"
"676","LOC111099867"
"677","LOC111099868"
"678","LOC111099869"
"679","LOC111099870"
"680","LOC111099871"
"681","LOC111099872"
"682","LOC111099873"
"683","LOC111099874"
"684","LOC111099875"
"685","LOC111099876"
"686","LOC111099877"
"687","LOC111099878"
"688","LOC111099879"
"689","LOC111099880"
"690","LOC111099881"
"691","LOC111099882"
"692","LOC111099883"
"693","LOC111099884"
"694","LOC111099885"
"695","LOC111099886"
"696","LOC111099887"
"697","LOC111099888"
"698","LOC111099889"
"699","LOC111099890"
"700","LOC111099891"
"701","LOC111099892"
"702","LOC111099893"
"703","LOC111099894"
"704","LOC111099895"
"705","LOC111099896"
"706","LOC111099897"
"707","LOC111099898"
"708","LOC111099899"
"709","LOC111099900"
"710","LOC111099901"
"711","LOC111099902"
"712","LOC111099903"
"713","LOC111099904"
"714","LOC111099905"
"715","LOC111099906"
"716","LOC111099907"
"717","LOC111099908"
"718","LOC111099909"
"719","LOC111099910"
"720","LOC111099911"
"721","LOC111099912"
"722","LOC111099913"
"723","LOC111099914"
"724","LOC111099915"
"725","LOC111099916"
"726","LOC111099917"
"727","LOC111099918"
"728","LOC111099919"
"729","LOC111099920"
"730","LOC111099921"
"731","LOC111099922"
"732","LOC111099923"
"733","LOC111099924"
"734","LOC111099925"
"735","LOC111099926"
"736","LOC111099927"
"737","LOC111099928"
"738","LOC111099929"
"739","LOC111099930"
"740","LOC111099931"
"741","LOC111099932"
"742","LOC111099933"
"743","LOC111099934"
"744","LOC111099935"
"745","LOC111099936"
"746","LOC111099937"
"747","LOC111099938"
"748","LOC111099939"
"749","LOC111099940"
"750","LOC111099941"
"751","LOC111099942"
"752","LOC111099943"
"753","LOC111099944"
"754","LOC111099945"
"755","LOC111099946"
"756","LOC111099947"
"757","LOC111099948"
"758","LOC111099949"
"759","LOC111099950"
"760","LOC111099951"
"761","LOC111099952"
"762","LOC111099953"
"763","LOC111099954"
"764","LOC111099955"
"765","LOC111099956"
"766","LOC111099957"
"767","LOC111099958"
"768","LOC111099959"
"769","LOC111099960"
"770","LOC111099961"
"771","LOC111099962"
"772","LOC111099963"
"773","LOC111099964"
"774","LOC111099965"
"775","LOC111099966"
"776","LOC111099967"
"777","LOC111099968"
"778","LOC111099969"
"779","LOC111099970"
"780","LOC111099971"
"781","LOC111099972"
"782","LOC111099973"
"783","LOC111099974"
"784","LOC111099975"
"785","LOC111099976"
"786","LOC111099977"
"787","LOC111099978"
"788","LOC111099979"
"789","LOC111099980"
"790","LOC111099981"
"791","LOC111099982"
"792","LOC111099983"
"793","LOC111099984"
"794","LOC111099985"
"795","LOC111099986"
"796","LOC111099987"
"797","LOC111099988"
"798","LOC111099989"
"799","LOC111099990"
"800","LOC111099991"
"801","LOC111099992"
"802","LOC111099993"
"803","LOC111099994"
"804","LOC111099995"
"805","LOC111099996"
"806","LOC111099997"
"807","LOC111099998"
"808","LOC111099999"
"809","LOC111100000"
"810","LOC111100001"
"811","LOC111100002"
"812","LOC111100003"
"813","LOC111100004"
"814","LOC111100005"
"815","LOC111100006"
"816","LOC111100007"
"817","LOC111100008"
"818","LOC111100009"
"819","LOC111100010"
"820","LOC111100011"
"821","LOC111100012"
"822","LOC111100013"
"823","LOC111100014"
"824","LOC111100015"
"825","LOC111100016"
"826","LOC111100017"
"827","LOC111100018"
"828","LOC111100019"
"829","LOC111100020"
"830","LOC111100021"
"831","LOC111100022"
"832","LOC111100023"
"833","LOC111100024"
"834","LOC111100025"
"835","LOC111100026"
"836","LOC111100027"
"837","LOC111100028"
"838","LOC111100029"
"839","LOC111100030"
"840","LOC111100031"
"841","LOC111100032"
"842","LOC111100033"
"843","LOC111100034"
"844","LOC111100035"
"845","LOC111100036"
"846","LOC111100037"
"847","LOC111100038"
"848","LOC111100039"
"849","LOC111100040"
"850","LOC111100041"
"851","LOC111100042"
"852","LOC111100043"
"853","LOC111100044"
"854","LOC111100045"
"855","LOC111100046"
"856","LOC111100047"
"857","LOC111100048"
"858","LOC111100049"
"859","LOC111100050"
"860","LOC111100051"
"861","LOC111100052"
"862","LOC111100053"
"863","LOC111100054"
"864","LOC111100055"
"865","LOC111100056"
"866","LOC111100057"
"867","LOC111100058"
"868","LOC111100059"
"869","LOC111100060"
"870","LOC111100061"
"871","LOC111100062"
"872","LOC111100063"
"873","LOC111100064"
"874","LOC111100065"
"875","LOC111100066"
"876","LOC111100067"
"877","LOC111100068"
"878","LOC111100069"
"879","LOC111100070"
"880","LOC111100071"
"881","LOC111100072"
"882","LOC111100073"
"883","LOC111100074"
"884","LOC111100075"
"885","LOC111100076"
"886","LOC111100077"
"887","LOC111100078"
"888","LOC111100079"
"889","LOC111100080"
"890","LOC111100081"
"891","LOC111100082"
"892","LOC111100083"
"893","LOC111100084"
"894","LOC111100085"
"895","LOC111100086"
"896","LOC111100087"
"897","LOC111100088"
"898","LOC111100089"
"899","LOC111100090"
"900","LOC111100091"
"901","LOC111100092"
