"","gene","logFC","pval","padj"
"1","LOC111099115",1.78858640472996,4.16109163946603e-06,0.000200418292920655
"2","LOC111099216",1.48286142511512,0.00075445610108025,0.0125496496400134
"3","LOC111099417",2.74874287789152,6.45204822137075e-05,0.00195670837366754
"4","LOC111099424",3.43844453272146,3.21177020451863e-05,0.00107459456537444
"5","LOC111099722",0.899351501638737,0.00010935137425012,0.00286998247507951
"6","LOC111099918",0.656751219091182,0.00353974491413624,0.0407210025161657
"7","LOC111099923",3.66776153101765,8.3064986471882e-05,0.00234886345616941
"8","LOC111100043",4.43104068946581,4.42156882075118e-10,8.80897097334201e-08
"9","LOC111100092",2.05413115702717,1.08721244603748e-07,7.68589056610043e-06
"10","LOC111100143",0.95777982879328,0.00352563626571017,0.040665430927915
"11","LOC111100148",0.915415439346371,0.000428178574620161,0.00798598592578793
"12","LOC111100327",1.35018561840849,0.00153597182451389,0.0223857858232278
"13","LOC111100344",1.26933152876508,0.00310382431191156,0.0378943230058729
"14","LOC111100574",1.2009868457735,0.00241332827162715,0.031956549288646
"15","LOC111100602",1.54907724461026,0.00075589949919314,0.0125496496400134
"16","LOC111100714",3.20183953991704,3.54233793102556e-06,0.000176432581269148
"17","LOC111100739",0.795139759139241,0.00180083105911356,0.0252982132438933
"18","LOC111100869",1.92992869202504,0.000765577498676107,0.0126623629309335
"19","LOC111100924",5.5060477184277,0.000111434790760746,0.00290725409466875
"20","LOC111101050",4.63181169145189,4.69683361293478e-11,2.05862217254931e-08
"21","LOC111101061",1.32659177109729,0.00344668045854931,0.0402885488701384
"22","LOC111101069",1.63198989778204,0.00275784941578324,0.0354476656579998
"23","LOC111101238",1.14544832059141,0.002736060824176,0.0353750872931074
"24","LOC111101287",2.02477769723425,0.000227554218826526,0.00505935744761947
"25","LOC111101598",1.43017408433946,6.55307273153903e-06,0.000287318712247905
"26","LOC111101943",2.44327676549395,9.06770123872176e-08,6.51536631628155e-06
"27","LOC111102061",2.38110743750699,0.0018637035646004,0.0260978042288932
"28","LOC111102202",3.14776202074953,0.00101405345438416,0.0158735581805921
"29","LOC111102475",1.23550197480326,0.000559509737562654,0.00984871959733779
"30","LOC111103017",3.6628553356694,0.00153733094519543,0.0223857858232278
"31","LOC111103305",2.52708346401566,1.46912803676861e-09,2.08520396507211e-07
"32","LOC111103349",1.25817171626702,0.000347187395872733,0.00679340337549191
"33","LOC111103375",1.84311896344999,1.16266166466761e-07,8.08880329561609e-06
"34","LOC111103479",1.79471318140147,0.000101780568257925,0.00275372981897831
"35","LOC111103484",2.10646148495089,1.36568775120734e-05,0.000549156826930439
"36","LOC111103558",0.852669726819502,0.000355916051065195,0.00693324467474999
"37","LOC111103799",1.86908724005933,0.000315388450179197,0.00634104393181386
"38","LOC111103816",2.89455039092627,0.000575896721382393,0.0100563957363308
