From	To
LOC111104704	111104704
LOC111104702	111104702
LOC111104705	111104705
LOC111116715	111116715
LOC111116710	111116710
LOC111116719	111116719
LOC111116717	111116717
LOC111103405	111103405
LOC111103404	111103404
LOC111103401	111103401
LOC111103402	111103402
LOC111103400	111103400
LOC111103407	111103407
LOC111116702	111116702
LOC111104729	111104729
LOC111115405	111115405
LOC111115406	111115406
LOC111103420	111103420
LOC111128725	111128725
LOC111128721	111128721
LOC111128723	111128723
LOC111103422	111103422
LOC111116730	111116730
LOC111103429	111103429
LOC111116723	111116723
LOC111127405	111127405
LOC111103416	111103416
LOC111127406	111127406
LOC111103414	111103414
LOC111128738	111128738
LOC111103415	111103415
LOC111103412	111103412
LOC111127402	111127402
LOC111127404	111127404
LOC111128734	111128734
LOC111127409	111127409
LOC111103419	111103419
LOC111116759	111116759
LOC111115426	111115426
LOC111116758	111116758
LOC111115424	111115424
LOC111104771	111104771
LOC111103449	111103449
LOC111104779	111104779
LOC111103448	111103448
LOC111104778	111104778
LOC111128700	111128700
LOC111103445	111103445
LOC111128702	111128702
LOC111104775	111104775
LOC111128701	111128701
LOC111103444	111103444
LOC111115421	111115421
LOC111128709	111128709
LOC111115416	111115416
LOC111116746	111116746
LOC111116747	111116747
LOC111115412	111115412
LOC111103430	111103430
LOC111115419	111115419
LOC111104769	111104769
LOC111103436	111103436
LOC111104767	111104767
LOC111128711	111128711
LOC111103434	111103434
LOC111128710	111128710
LOC111128713	111128713
LOC111128712	111128712
LOC111102102	111102102
LOC111115410	111115410
LOC111128718	111128718
LOC111114118	111114118
LOC111116779	111116779
LOC111114114	111114114
LOC111115445	111115445
LOC111114113	111114113
LOC111115444	111115444
LOC111116776	111116776
LOC111115446	111115446
LOC111128762	111128762
LOC111103463	111103463
LOC111102132	111102132
LOC111127431	111127431
LOC111128761	111128761
LOC111104794	111104794
LOC111126102	111126102
LOC111104792	111104792
LOC111126107	111126107
LOC111127434	111127434
LOC111128766	111128766
LOC111104799	111104799
LOC111126104	111126104
LOC111128768	111128768
LOC111103465	111103465
LOC111126106	111126106
LOC111127437	111127437
LOC111114110	111114110
LOC111115441	111115441
LOC111115437	111115437
LOC111114102	111114102
LOC111115433	111115433
LOC111115436	111115436
LOC111126110	111126110
LOC111103452	111103452
LOC111104784	111104784
LOC111126111	111126111
LOC111103453	111103453
LOC111104783	111104783
LOC111126112	111126112
LOC111127443	111127443
LOC111103450	111103450
LOC111104782	111104782
LOC111126113	111126113
LOC111103451	111103451
LOC111104781	111104781
LOC111104789	111104789
LOC111126114	111126114
LOC111102125	111102125
LOC111126115	111126115
LOC111127446	111127446
LOC111104786	111104786
LOC111103455	111103455
LOC111104785	111104785
LOC111116763	111116763
LOC111116760	111116760
LOC111116761	111116761
LOC111114139	111114139
LOC111114136	111114136
LOC111115466	111115466
LOC111103485	111103485
LOC111127411	111127411
LOC111103484	111103484
LOC111103482	111103482
LOC111103480	111103480
LOC111127416	111127416
LOC111128748	111128748
LOC111128747	111128747
LOC111128744	111128744
LOC111103489	111103489
LOC111128743	111128743
LOC111127414	111127414
LOC111128746	111128746
LOC111102156	111102156
LOC111102157	111102157
LOC111115463	111115463
LOC111116796	111116796
LOC111114131	111114131
LOC111115461	111115461
LOC111115460	111115460
LOC111114125	111114125
LOC111115455	111115455
LOC111114126	111114126
LOC111103474	111103474
LOC111127420	111127420
LOC111128753	111128753
LOC111127422	111127422
LOC111102140	111102140
LOC111127427	111127427
LOC111128759	111128759
LOC111128758	111128758
LOC111127424	111127424
LOC111128754	111128754
LOC111103479	111103479
LOC111128757	111128757
LOC111128756	111128756
LOC111102146	111102146
LOC111116784	111116784
LOC111114121	111114121
LOC111115452	111115452
LOC111114120	111114120
LOC111115454	111115454
LOC111114122	111114122
LOC111138129	111138129
LOC111138126	111138126
LOC111114158	111114158
LOC111115488	111115488
LOC111126143	111126143
LOC111127475	111127475
LOC111126145	111126145
LOC111127477	111127477
LOC111127470	111127470
LOC111126140	111126140
LOC111127472	111127472
LOC111127473	111127473
LOC111126147	111126147
LOC111127478	111127478
LOC111126149	111126149
LOC111102179	111102179
LOC111114153	111114153
LOC111115487	111115487
LOC111115486	111115486
LOC111138125	111138125
LOC111138124	111138124
LOC111138123	111138123
LOC111138122	111138122
LOC111138139	111138139
LOC111127480	111127480
LOC111138137	111138137
LOC111114148	111114148
LOC111115479	111115479
LOC111103496	111103496
LOC111126155	111126155
LOC111127486	111127486
LOC111103497	111103497
LOC111102166	111102166
LOC111126156	111126156
LOC111102163	111102163
LOC111126157	111126157
LOC111127488	111127488
LOC111103495	111103495
LOC111102161	111102161
LOC111127482	111127482
LOC111103493	111103493
LOC111102162	111102162
LOC111126158	111126158
LOC111126159	111126159
LOC111103498	111103498
LOC111102167	111102167
LOC111103499	111103499
LOC111138131	111138131
LOC111138105	111138105
LOC111138104	111138104
LOC111114179	111114179
LOC111138109	111138109
LOC111128784	111128784
LOC111102198	111102198
LOC111126122	111126122
LOC111128783	111128783
LOC111126123	111126123
LOC111128786	111128786
LOC111102196	111102196
LOC111126124	111126124
LOC111127455	111127455
LOC111102197	111102197
LOC111102194	111102194
LOC111127450	111127450
LOC111126129	111126129
LOC111126125	111126125
LOC111126128	111126128
LOC111114176	111114176
LOC111114175	111114175
LOC111114174	111114174
LOC111138100	111138100
LOC111114173	111114173
LOC111102180	111102180
LOC111138117	111138117
LOC111138116	111138116
LOC111115499	111115499
LOC111128795	111128795
LOC111127464	111127464
LOC111128794	111128794
LOC111126134	111126134
LOC111127465	111127465
LOC111128797	111128797
LOC111127466	111127466
LOC111102183	111102183
LOC111126130	111126130
LOC111128793	111128793
LOC111126131	111126131
LOC111126136	111126136
LOC111126137	111126137
LOC111126138	111126138
LOC111127469	111127469
LOC111114165	111114165
LOC111115495	111115495
LOC111138114	111138114
LOC111138113	111138113
LOC111115491	111115491
LOC111138112	111138112
LOC111114162	111114162
LOC111126181	111126181
LOC111126187	111126187
LOC111126188	111126188
LOC111126184	111126184
LOC111126185	111126185
LOC111126186	111126186
LOC111114192	111114192
LOC111138164	111138164
LOC111138168	111138168
LOC111138167	111138167
LOC111138166	111138166
LOC111114195	111114195
LOC111126198	111126198
LOC111126194	111126194
LOC111126197	111126197
LOC111114181	111114181
LOC111138171	111138171
LOC111114186	111114186
LOC111138173	111138173
LOC111114183	111114183
LOC111138177	111138177
LOC111114184	111114184
LOC111127491	111127491
LOC111126165	111126165
LOC111127498	111127498
LOC111126161	111126161
LOC111127492	111127492
LOC111126163	111126163
LOC111127495	111127495
LOC111138142	111138142
LOC111138141	111138141
LOC111138140	111138140
LOC111138145	111138145
LOC111138159	111138159
LOC111126177	111126177
LOC111126179	111126179
LOC111126173	111126173
LOC111126175	111126175
LOC111138154	111138154
LOC111138151	111138151
LOC111138181	111138181
LOC111138187	111138187
LOC111138185	111138185
LOC111138184	111138184
LOC111138190	111138190
LOC111138193	111138193
LOC111138192	111138192
LOC111138191	111138191
LOC111138196	111138196
LOC111103702	111103702
LOC111103700	111103700
LOC111103707	111103707
LOC111103704	111103704
LOC111115708	111115708
LOC111115707	111115707
LOC111103721	111103721
LOC111115725	111115725
LOC111115720	111115720
LOC111103744	111103744
LOC111102413	111102413
LOC111102414	111102414
LOC111103740	111103740
LOC111103749	111103749
LOC111115713	111115713
LOC111115715	111115715
LOC111115710	111115710
LOC111127724	111127724
LOC111127725	111127725
LOC111103736	111103736
LOC111127723	111127723
LOC111127729	111127729
LOC111102409	111102409
LOC111103738	111103738
LOC111115745	111115745
LOC111115742	111115742
LOC111115741	111115741
LOC111115744	111115744
LOC111115743	111115743
LOC111102436	111102436
LOC111101101	111101101
LOC111102433	111102433
LOC111103765	111103765
LOC111102432	111102432
LOC111115740	111115740
LOC111115735	111115735
LOC111115734	111115734
LOC111114403	111114403
LOC111115730	111115730
LOC111115739	111115739
LOC111102426	111102426
LOC111127708	111127708
LOC111102428	111102428
LOC111138404	111138404
LOC111115768	111115768
LOC111138403	111138403
LOC111115769	111115769
LOC111114438	111114438
LOC111115766	111115766
LOC111114435	111114435
LOC111103782	111103782
LOC111102451	111102451
LOC111101121	111101121
LOC111103780	111103780
LOC111127752	111127752
LOC111101120	111101120
LOC111103781	111103781
LOC111127757	111127757
LOC111101127	111101127
LOC111126428	111126428
LOC111103788	111103788
LOC111103789	111103789
LOC111101123	111101123
LOC111103786	111103786
LOC111101122	111101122
LOC111103787	111103787
LOC111103785	111103785
LOC111115762	111115762
LOC111114431	111114431
LOC111114430	111114430
LOC111115756	111115756
LOC111138412	111138412
LOC111115755	111115755
LOC111138416	111138416
LOC111115754	111115754
LOC111127762	111127762
LOC111101110	111101110
LOC111126432	111126432
LOC111125101	111125101
LOC111125100	111125100
LOC111125105	111125105
LOC111102448	111102448
LOC111127769	111127769
LOC111126439	111126439
LOC111101117	111101117
LOC111103778	111103778
LOC111126433	111126433
LOC111125109	111125109
LOC111127764	111127764
LOC111101112	111101112
LOC111102444	111102444
LOC111127765	111127765
LOC111101111	111101111
LOC111125107	111125107
LOC111101114	111101114
LOC111126436	111126436
LOC111127767	111127767
LOC111101113	111101113
LOC111103774	111103774
LOC111115751	111115751
LOC111101119	111101119
LOC111114459	111114459
LOC111113129	111113129
LOC111114455	111114455
LOC111113124	111113124
LOC111113126	111113126
LOC111114456	111114456
LOC111101140	111101140
LOC111102474	111102474
LOC111101142	111101142
LOC111127735	111127735
LOC111101149	111101149
LOC111101148	111101148
LOC111127738	111127738
LOC111101145	111101145
LOC111126401	111126401
LOC111126402	111126402
