"","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11"
"LOC111125887",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"LOC111125896",3,1,0,0,3,2,7,0,8,2,1,1,1,6,0
"LOC111127890",1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"LOC111125338",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LOC111130848",0,1,0,0,2,0,0,0,1,1,0,0,0,0,0
"LOC111111488",0,4,0,0,0,2,0,0,1,0,0,0,0,0,0
"LOC111129292",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LOC111123767",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"LOC111119653",0,2,0,0,0,0,0,0,2,0,2,0,0,3,0
"LOC111130876",1,0,2,0,6,0,0,2,1,0,1,0,0,0,0
"LOC111099410",0,3,0,0,10,0,1,0,0,2,1,0,0,0,0
"LOC111109628",0,6,0,0,12,0,2,0,0,0,0,0,0,1,0
"LOC111101857",1,1,0,0,3,1,0,0,2,0,1,0,0,1,0
"LOC111129268",1,0,0,0,0,0,0,0,0,1,5,0,0,0,0
"LOC111129259",0,1,0,0,1,4,0,0,0,0,0,0,0,0,0
"LOC111119081",0,0,1,0,0,0,0,0,0,11,0,0,0,2,1
"LOC111120179",0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111100957",314,79,45,10,199,79,78,26,156,116,129,46,7,181,142
"LOC111119534",26,1,1,2,1,0,0,0,1,0,6,2,0,2,0
"LOC111123914",40,0,0,2,0,0,0,0,0,0,0,3,0,0,0
"LOC111108835",1,0,1,0,2,0,0,0,4,1,5,0,0,0,0
"LOC111137060",0,15,1,0,0,0,3,0,0,0,0,0,1,0,0
"LOC111137068",5,0,0,0,1,0,0,0,0,2,6,2,0,7,0
"LOC111112803",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"LOC111132223",0,0,0,0,4,0,2,0,0,0,1,1,0,0,0
"LOC111132242",2,0,0,0,8,0,1,0,3,1,0,0,0,0,0
"LOC111137818",1,0,0,1,1,0,2,0,5,0,3,0,0,7,0
"LOC111126441",0,2,0,0,4,4,0,0,1,4,6,2,0,0,0
"LOC111138441",7,0,0,0,4,0,0,0,3,1,0,0,0,1,0
"LOC111137635",1,3,0,0,4,2,5,0,2,0,0,0,0,1,0
"LOC111137607",1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"LOC111114550",2,9,1,0,2,4,2,0,1,3,1,1,7,0,0
"LOC111101089",0,1,0,0,3,0,3,0,1,0,0,0,0,1,0
"LOC111128808",1,0,0,0,1,0,0,0,1,0,0,2,0,0,0
"LOC111130762",1,0,0,0,0,0,1,0,0,1,0,0,0,2,0
"LOC111115194",3,6,0,0,5,0,0,0,2,2,0,1,0,0,0
"LOC111105709",6,3,0,0,4,1,4,0,2,12,5,0,2,0,0
"LOC111101208",0,11,1,0,3,0,0,0,2,0,0,0,0,1,0
"LOC111101449",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"LOC111125430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111125435",3,0,0,0,1,0,1,1,0,1,0,0,0,0,0
"LOC111115832",0,0,0,0,1,0,0,0,1,0,1,0,0,4,0
"LOC111114604",2,1,0,0,0,0,0,0,1,2,4,0,0,0,0
"LOC111120595",9,4,0,0,3,0,0,0,3,0,0,1,0,2,0
"LOC111102428",3,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"LOC111122131",9,4,0,0,11,1,3,2,8,2,3,1,0,3,0
"LOC111120824",7,11,1,0,0,8,7,1,8,4,4,2,0,3,0
"LOC111116870",1,2,0,0,0,0,0,0,0,0,1,1,0,0,0
"LOC111120324",0,1,0,0,0,0,0,0,0,0,0,0,1,2,0
"LOC111137512",11,9,0,0,18,0,2,1,11,8,2,4,1,1,1
"LOC111112620",0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
"LOC111129281",1,0,0,0,0,0,0,0,2,0,3,0,0,2,0
"LOC111129311",1,1,0,0,2,0,0,0,0,1,0,0,0,1,0
"LOC111100708",1,1,0,0,2,0,0,0,3,0,4,0,0,0,0
"LOC111110039",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"LOC111118132",6,1,1,0,3,0,0,1,4,1,5,0,0,0,0
"LOC111099300",2,0,0,0,0,0,2,0,2,0,1,2,0,1,0
"LOC111109279",10,0,0,0,0,0,0,0,1,2,0,0,0,1,0
"LOC111113141",3,4,3,0,1,3,4,0,8,5,4,2,0,1,0
"LOC111121994",9,6,0,1,11,0,2,1,4,2,5,2,0,1,0
"LOC111100967",1,1,0,0,1,0,0,1,2,0,0,0,0,1,0
"LOC111128387",3,0,1,1,4,0,1,0,4,0,0,0,0,2,0
"LOC111128408",7,2,2,1,5,0,6,1,14,2,3,0,0,1,0
"LOC111128397",6,6,1,0,0,3,1,1,4,2,7,1,0,5,0
"LOC111110084",0,0,0,0,2,0,0,0,1,0,0,1,0,4,0
"LOC111121374",0,2,1,0,0,0,1,0,3,0,1,0,0,0,0
"LOC111134738",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"LOC111134671",0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
"LOC111134661",0,17,0,0,0,0,1,0,0,0,1,0,0,1,0
