"gene_id","Gene.Ontology.IDs"
"LOC111121751","GO:0046907;GO:0051641;GO:0051649"
"LOC111121980","GO:0046907;GO:0051641;GO:0051649"
"LOC111122535","GO:0046907;GO:0051641;GO:0051649"
"LOC111123840","GO:0046907;GO:0051641;GO:0051649"
"LOC111124410","GO:0046907;GO:0051641;GO:0051649"
"LOC111124932","GO:0046907;GO:0051641;GO:0051649"
"LOC111125104","GO:0046907;GO:0051641;GO:0051649"
"LOC111125592","GO:0046907;GO:0051641;GO:0051649"
"LOC111125671","GO:0046907;GO:0051641;GO:0051649"
"LOC111127928","GO:0046907;GO:0051641;GO:0051649"
"LOC111128770","GO:0046907;GO:0051641;GO:0051649"
"LOC111128921","GO:0046907;GO:0051641;GO:0051649"
"LOC111129681","GO:0046907;GO:0051641;GO:0051649"
"LOC111129693","GO:0046907;GO:0051641;GO:0051649"
"LOC111129825","GO:0046907;GO:0051641;GO:0051649"
"LOC111130084","GO:0046907;GO:0051641;GO:0051649"
"LOC111130246","GO:0046907;GO:0051641;GO:0051649"
"LOC111130459","GO:0046907;GO:0051641;GO:0051649"
"LOC111130520","GO:0046907;GO:0051641;GO:0051649"
"LOC111130539","GO:0046907;GO:0051641;GO:0051649"
"LOC111131391","GO:0046907;GO:0051641;GO:0051649"
"LOC111133705","GO:0046907;GO:0051641;GO:0051649"
"LOC111134059","GO:0046907;GO:0051641;GO:0051649"
"LOC111134066","GO:0046907;GO:0051641;GO:0051649"
"LOC111134129","GO:0046907;GO:0051641;GO:0051649"
"LOC111134551","GO:0046907;GO:0051641;GO:0051649"
"LOC111135936","GO:0046907;GO:0051641;GO:0051649"
"LOC111136254","GO:0046907;GO:0051641;GO:0051649"
"LOC111136474","GO:0046907;GO:0051641;GO:0051649"
"LOC111136517","GO:0046907;GO:0051641;GO:0051649"
"LOC111136521","GO:0046907;GO:0051641;GO:0051649"
"LOC111136866","GO:0046907;GO:0051641;GO:0051649"
"LOC111136896","GO:0046907;GO:0051641;GO:0051649"
"LOC111137055","GO:0046907;GO:0051641;GO:0051649"
"LOC111137183","GO:0046907;GO:0051641;GO:0051649"
"LOC111137405","GO:0046907;GO:0051641;GO:0051649"
"LOC111138351","GO:0046907;GO:0051641;GO:0051649"
"LOC111104166","GO:0046907;GO:0051641;GO:0051649"
"LOC111105907","GO:0046907;GO:0051641;GO:0051649"
"LOC111109443","GO:0046907;GO:0051641;GO:0051649"
"LOC111115720","GO:0046907;GO:0051641;GO:0051649"
"LOC111119258","GO:0046907;GO:0051641;GO:0051649"
"LOC111121042","GO:0046907;GO:0051641;GO:0051649"
"LOC111129256","GO:0046907;GO:0051641;GO:0051649"
"LOC111131260","GO:0046907;GO:0051641;GO:0051649"
"LOC111131365","GO:0046907;GO:0051641;GO:0051649"
"LOC111132966","GO:0046907;GO:0051641;GO:0051649"
"LOC111134439","GO:0046907;GO:0051641;GO:0051649"
"LOC111107518","GO:0046907;GO:0051641;GO:0051649"
"LOC111108189","GO:0046907;GO:0051641;GO:0051649"
"LOC111126798","GO:0046907;GO:0051641;GO:0051649"
"LOC111127510","GO:0046907;GO:0051641;GO:0051649"
"LOC111129174","GO:0006884;GO:0008361"
"LOC111130898","GO:0006884;GO:0008361"
"LOC111134520","GO:0006884;GO:0008361"
"LOC111135546","GO:0006884;GO:0008361"
"LOC111135738","GO:0006884;GO:0008361"
"LOC111135748","GO:0006884;GO:0008361"
"LOC111099375","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111100261","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111100339","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111100499","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111100611","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
"LOC111102289","GO:0006974;GO:0033554;GO:0051716;GO:0006281"
