"GO.IDs","GOslim","Term","gene_id"
"GO:0000245","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111111322"
"GO:0000245","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111121760"
"GO:0000245","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111120267"
"GO:0000245","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111105688"
"GO:0000245","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111122128"
"GO:0000245","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111111998"
"GO:0000266","GO:0007005","mitochondrion organization","LOC111127777"
"GO:0000266","GO:0007005","mitochondrion organization","LOC111118417"
"GO:0000266","GO:0007005","mitochondrion organization","LOC111127932"
"GO:0000266","GO:0007005","mitochondrion organization","LOC111132614"
"GO:0000266","GO:0007005","mitochondrion organization","LOC111135810"
"GO:0000266","GO:0007005","mitochondrion organization","LOC111137411"
"GO:0000266","GO:0007005","mitochondrion organization","LOC111134656"
"GO:0000266","GO:0007005","mitochondrion organization","LOC111105912"
"GO:0000266","GO:0007005","mitochondrion organization","LOC111133712"
"GO:0000266","GO:0007005","mitochondrion organization","LOC111108629"
