"GO.IDs","GOslim","Term","gene_id"
"GO:0000028","GO:0042254;GO:0065003","ribosome biogenesis;protein-containing complex assembly","LOC111126883"
"GO:0000028","GO:0042254;GO:0065003","ribosome biogenesis;protein-containing complex assembly","LOC111121432"
"GO:0000028","GO:0042254;GO:0065003","ribosome biogenesis;protein-containing complex assembly","LOC111123620"
"GO:0000028","GO:0042254;GO:0065003","ribosome biogenesis;protein-containing complex assembly","LOC111135312"
"GO:0000028","GO:0042254;GO:0065003","ribosome biogenesis;protein-containing complex assembly","LOC111118540"
"GO:0000028","GO:0042254;GO:0065003","ribosome biogenesis;protein-containing complex assembly","LOC111128580"
"GO:0000028","GO:0042254;GO:0065003","ribosome biogenesis;protein-containing complex assembly","LOC111125548"
"GO:0000028","GO:0042254;GO:0065003","ribosome biogenesis;protein-containing complex assembly","LOC111112561"
"GO:0000028","GO:0042254;GO:0065003","ribosome biogenesis;protein-containing complex assembly","LOC111127769"
"GO:0000028","GO:0042254;GO:0065003","ribosome biogenesis;protein-containing complex assembly","LOC111115985"
"GO:0000028","GO:0042254;GO:0065003","ribosome biogenesis;protein-containing complex assembly","LOC111114778"
"GO:0000032","GO:0071554;GO:1901135","cell wall organization or biogenesis;carbohydrate derivative metabolic process","LOC111109888"
"GO:0000032","GO:0071554;GO:1901135","cell wall organization or biogenesis;carbohydrate derivative metabolic process","LOC111108764"
"GO:0000032","GO:0071554;GO:1901135","cell wall organization or biogenesis;carbohydrate derivative metabolic process","LOC111099578"
"GO:0000032","GO:0071554;GO:1901135","cell wall organization or biogenesis;carbohydrate derivative metabolic process","LOC111099485"
"GO:0000045","GO:0006914","autophagy","LOC111125798"
"GO:0000045","GO:0006914","autophagy","LOC111137152"
"GO:0000045","GO:0006914","autophagy","LOC111123262"
"GO:0000045","GO:0006914","autophagy","LOC111135459"
"GO:0000045","GO:0006914","autophagy","LOC111127926"
"GO:0000045","GO:0006914","autophagy","LOC111100289"
"GO:0000045","GO:0006914","autophagy","LOC111129370"
"GO:0000045","GO:0006914","autophagy","LOC111118945"
"GO:0000045","GO:0006914","autophagy","LOC111111995"
"GO:0000045","GO:0006914","autophagy","LOC111124610"
"GO:0000045","GO:0006914","autophagy","LOC111099721"
"GO:0000045","GO:0006914","autophagy","LOC111102871"
"GO:0000045","GO:0006914","autophagy","LOC111108144"
"GO:0000045","GO:0006914","autophagy","LOC111127879"
"GO:0000045","GO:0006914","autophagy","LOC111133363"
"GO:0000045","GO:0006914","autophagy","LOC111123325"
"GO:0000045","GO:0006914","autophagy","LOC111100878"
"GO:0000045","GO:0006914","autophagy","LOC111131738"
"GO:0000045","GO:0006914","autophagy","LOC111132962"
"GO:0000045","GO:0006914","autophagy","LOC111127325"
"GO:0000045","GO:0006914","autophagy","LOC111106048"
"GO:0000045","GO:0006914","autophagy","LOC111124608"
"GO:0000045","GO:0006914","autophagy","LOC111120809"
"GO:0000045","GO:0006914","autophagy","LOC111124607"
"GO:0000045","GO:0006914","autophagy","LOC111134873"
"GO:0000045","GO:0006914","autophagy","LOC111125472"
"GO:0000045","GO:0006914","autophagy","LOC111099934"
"GO:0000045","GO:0006914","autophagy","LOC111122717"
"GO:0000045","GO:0006914","autophagy","LOC111132058"
"GO:0000045","GO:0006914","autophagy","LOC111111295"
"GO:0000045","GO:0006914","autophagy","LOC111131691"
"GO:0000045","GO:0006914","autophagy","LOC111136300"
"GO:0000045","GO:0006914","autophagy","LOC111128059"
"GO:0000045","GO:0006914","autophagy","LOC111101815"
"GO:0000045","GO:0006914","autophagy","LOC111101476"
"GO:0000045","GO:0006914","autophagy","LOC111127040"
"GO:0000045","GO:0006914","autophagy","LOC111128047"
"GO:0000050","GO:0071941","nitrogen cycle metabolic process","LOC111105882"
"GO:0000052","GO:0006520","amino acid metabolic process","LOC111126156"
"GO:0000053","GO:0006520;GO:0006575","amino acid metabolic process;cellular modified amino acid metabolic process","LOC111105882"
"GO:0000054","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111114937"
"GO:0000054","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111136254"
"GO:0000054","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111125671"
"GO:0000054","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111133705"
"GO:0000054","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111125104"
"GO:0000055","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111121751"
"GO:0000055","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111106509"
"GO:0000055","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111122535"
"GO:0000055","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111130459"
"GO:0000055","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111130539"
"GO:0000055","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111119150"
"GO:0000055","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111129825"
"GO:0000055","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111135936"
"GO:0000055","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111130520"
"GO:0000056","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111135936"
"GO:0000056","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111119639"
"GO:0000056","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111129825"
"GO:0000056","GO:0006913;GO:0042254","nucleocytoplasmic transport;ribosome biogenesis","LOC111136517"
"GO:0000070","GO:0000278;GO:0007059;GO:0140014","mitotic cell cycle;chromosome segregation;mitotic nuclear division","LOC111131277"
"GO:0000070","GO:0000278;GO:0007059;GO:0140014","mitotic cell cycle;chromosome segregation;mitotic nuclear division","LOC111133474"
"GO:0000070","GO:0000278;GO:0007059;GO:0140014","mitotic cell cycle;chromosome segregation;mitotic nuclear division","LOC111130112"
"GO:0000070","GO:0000278;GO:0007059;GO:0140014","mitotic cell cycle;chromosome segregation;mitotic nuclear division","LOC111115784"
"GO:0000070","GO:0000278;GO:0007059;GO:0140014","mitotic cell cycle;chromosome segregation;mitotic nuclear division","LOC111132180"
"GO:0000070","GO:0000278;GO:0007059;GO:0140014","mitotic cell cycle;chromosome segregation;mitotic nuclear division","LOC111121397"
"GO:0000070","GO:0000278;GO:0007059;GO:0140014","mitotic cell cycle;chromosome segregation;mitotic nuclear division","LOC111125291"
"GO:0000076","GO:0023052","signaling","LOC111130932"
"GO:0000076","GO:0023052","signaling","LOC111100380"
"GO:0000076","GO:0023052","signaling","LOC111136545"
"GO:0000076","GO:0023052","signaling","LOC111135160"
"GO:0000076","GO:0023052","signaling","LOC111132658"
"GO:0000077","GO:0023052","signaling","LOC111122215"
"GO:0000077","GO:0023052","signaling","LOC111119024"
"GO:0000077","GO:0023052","signaling","LOC111130869"
"GO:0000077","GO:0023052","signaling","LOC111131374"
