From	To
LOC111129490	111129490
LOC111134206	111134206
LOC111110636	111110636
LOC111128687	111128687
LOC111100790	111100790
LOC111124361	111124361
LOC111108790	111108790
LOC111122067	111122067
LOC111121137	111121137
LOC111120445	111120445
LOC111119843	111119843
LOC111119689	111119689
LOC111118753	111118753
LOC111117388	111117388
LOC111110350	111110350
LOC111119443	111119443
LOC111117657	111117657
LOC111110863	111110863
LOC111110346	111110346
LOC111134335	111134335
LOC111114820	111114820
LOC111108545	111108545
LOC111134216	111134216
LOC111104344	111104344
LOC111128973	111128973
LOC111135946	111135946
LOC111109198	111109198
LOC111128979	111128979
LOC111101237	111101237
LOC111138095	111138095
LOC111106800	111106800
LOC111136595	111136595
LOC111136197	111136197
LOC111133241	111133241
LOC111113369	111113369
LOC111105060	111105060
LOC111123809	111123809
LOC111118657	111118657
LOC111131555	111131555
LOC111104770	111104770
LOC111124746	111124746
LOC111125950	111125950
LOC111121996	111121996
LOC111127613	111127613
LOC111130467	111130467
LOC111130102	111130102
LOC111123417	111123417
LOC111118255	111118255
LOC111123938	111123938
LOC111107351	111107351
LOC111116746	111116746
LOC111112700	111112700
LOC111110127	111110127
LOC111133985	111133985
LOC111129883	111129883
LOC111134716	111134716
LOC111105299	111105299
LOC111127862	111127862
LOC111111976	111111976
LOC111100720	111100720
LOC111125846	111125846
LOC111117391	111117391
LOC111130352	111130352
LOC111117551	111117551
LOC111117672	111117672
LOC111108235	111108235
LOC111118558	111118558
LOC111118833	111118833
LOC111128361	111128361
LOC111117060	111117060
LOC111127799	111127799
LOC111121854	111121854
LOC111135228	111135228
LOC111137527	111137527
LOC111131029	111131029
LOC111108061	111108061
LOC111120091	111120091
LOC111123003	111123003
LOC111128934	111128934
LOC111119195	111119195
LOC111130219	111130219
LOC111102808	111102808
LOC111123407	111123407
LOC111112560	111112560
LOC111114067	111114067
LOC111127608	111127608
LOC111100869	111100869
LOC111110057	111110057
LOC111133892	111133892
LOC111110850	111110850
LOC111129796	111129796
LOC111110619	111110619
LOC111120466	111120466
LOC111120746	111120746
LOC111117760	111117760
LOC111137298	111137298
LOC111131120	111131120
LOC111113310	111113310
LOC111134236	111134236
LOC111114885	111114885
LOC111136937	111136937
LOC111135968	111135968
LOC111101050	111101050
LOC111128997	111128997
LOC111126975	111126975
LOC111126216	111126216
LOC111119533	111119533
LOC111135281	111135281
LOC111133260	111133260
LOC111100924	111100924
