"","symbol","baseMean","log2FC","lfcSE","stat","pvalue","padj","name"
"1","LOC111103344",497.520238165907,-1.19307982081216,0.210503124279394,-4.4801226777064,7.4600149374295e-06,0.0186923107615525,"uncharacterized LOC111103344, transcript variant X7"
"2","LOC111115023",20.2752007085781,-1.34938269411398,0.274070019252246,-4.01132052719032,6.03800686115068e-05,0.0412615432502452,"uncharacterized LOC111115023"
"3","LOC111117745",123.417042942325,-1.13581422799369,0.207006690611116,-4.27915747736768,1.87602098921177e-05,0.0235034162931748,"uncharacterized LOC111117745, transcript variant X5"
"4","LOC111117760",138.872498736911,-1.49487802604823,0.290110243689458,-4.29105160237216,1.77828981643933e-05,0.0235034162931748,"disintegrin and metalloproteinase domain-containing protein 10-like, transcript variant X3"
"5","LOC111118022",19.2759419881412,-1.66414210743093,0.34865110362767,-4.05603794944851,4.9912153437214e-05,0.0375189657387538,"exocyst complex component 7-like, transcript variant X1"
"6","LOC111119327",13.3173850842658,-1.50717781217513,0.315471554723842,-3.98507501976093,6.7458809759364e-05,0.0422573227467616,"calcyphosin-like protein, transcript variant X3"
"7","LOC111123492",43.9193315429271,-1.26459078213449,0.221155464989018,-4.58768125935697,4.48196237718816e-06,0.0168454555946617,"pre-B-cell leukemia transcription factor 1-like, transcript variant X11"
"8","LOC111124674",17.5749704291012,-1.40670611528551,0.280541284147364,-4.12312262275778,3.73770591100811e-05,0.0363033747508779,"gamma-glutamyltranspeptidase 1-like, transcript variant X1"
"9","LOC111129146",22.2349051383511,1.34271879385222,0.255156230400878,4.28254795948131,1.84765291004227e-05,0.0235034162931748,"FERM domain-containing protein 8-like"
"10","LOC111132100",25.7801108774315,-1.39641171407078,0.280416818791514,-4.08824163618776,4.34655278379541e-05,0.0363033747508779,"uncharacterized LOC111132100, transcript variant X3"
"11","LOC111133438",21.6130307304873,-1.80647784735908,0.314066327253859,-4.95588897087011,7.20003249648205e-07,0.00541226442760555,"uncharacterized LOC111133438"
"12","LOC111133874",106.767633844167,-0.982015603974589,0.178011597773053,-4.11217928007048,3.91941742524167e-05,0.0363033747508779,"uncharacterized LOC111133874"
