,2018--BBB-WBO-B21-CV,2018--BBB-WBV-B70-CV,2018--BBO-BBO-B16-CV,2018--BBO-BBY-B27-CV,2018--BBO-WBO-B16-CV,2018--BBO-WBV-B64-CV,2018--BBR-BBB-B50-CV,2018--BBR-BBG-B38-CV,2018--BBR-BBY-B26-CV,2018--BBY-WBG-B42-CV,2018--BPO-BPO-O16-CV,2018--BPR-BPG-O38-CV,2018--BPR-BPR-O02-CV,2018--BPY-BPG-O42-CV,2018--BPY-BPY-O29-CV,2018--WBB-WBV-W69-CV,2018--WBG-BBB-W56-CV,2018--WBG-WBG-W44-CV,2018--WBO-BBR-W03-CV,2018--WBO-WBV-W64-CV,2018--WBR-BBY-W25-CV,2018--WBV-WBO-W23-CV,2018--WBV-WBR-W12-CV,2018--WBY-BBV-W65-CV,2018--WBY-BBY-W30-CV,2018--WPB-BPG-G45-CV,2018--WPO-BPO-G16-CV,2018--WPO-BPY-G28-CV,2018--WPR-BPY-G25-CV,2018--WPV-BPR-G11-CV
LOC111120656,47,51,25,20,73,40,15,34,26,9,6,19,5,1,4,47,45,6,1,39,17,19,4,19,26,12,4,2,17,0
LOC111120657,18,14,7,9,25,10,9,16,36,2,3,7,1,2,14,15,10,0,0,30,0,9,2,11,16,26,3,1,13,0
LOC111120658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120659,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,104
LOC111120660,6,4,4,0,4,4,6,3,5,1,0,0,1,0,5,5,5,0,0,7,0,1,1,6,5,6,3,0,4,0
LOC111120661,4,5,1,0,5,10,2,4,4,3,0,5,0,0,0,5,3,0,1,1,0,4,1,3,0,3,1,0,8,0
LOC111120662,92,47,40,25,64,67,28,40,31,15,0,12,7,0,3,46,23,6,0,39,9,11,7,31,21,13,8,1,35,1
LOC111120663,20,10,10,6,10,6,8,19,15,3,2,10,1,0,0,8,12,1,0,12,2,7,2,11,4,3,8,1,3,0
LOC111120664,45,35,66,32,55,27,28,35,37,13,7,27,6,6,16,23,45,18,0,23,20,9,3,38,35,39,9,1,7,1
LOC111120665,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
LOC111120666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120670,0,3,4,0,5,0,2,1,1,1,3,5,0,0,1,0,0,0,0,16,0,1,0,2,0,0,0,0,8,0
LOC111120671,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120672,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120673,2,1,0,3,2,0,1,0,0,0,1,4,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0
LOC111120674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120675,1,2,7,1,0,1,0,0,0,0,1,3,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,1,0
LOC111120676,36,23,51,5,37,29,9,35,14,14,0,29,1,3,8,41,26,10,2,21,7,12,10,9,17,13,9,0,26,0
LOC111120677,41,37,29,8,54,31,9,25,21,8,5,12,4,3,1,27,14,3,1,33,6,6,1,14,7,14,4,1,17,0
LOC111120678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
LOC111120681,21,8,5,3,14,10,8,5,10,1,7,6,4,0,0,10,11,2,0,13,4,4,1,14,9,11,4,0,1,0
LOC111120682,17,2,10,25,60,37,7,2,24,4,15,35,7,2,1,36,29,11,2,4,2,7,4,3,23,12,10,37,4,1
LOC111120683,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0
LOC111120684,30,60,48,39,79,42,29,41,49,7,3,32,10,9,10,34,55,13,2,20,8,11,5,36,18,37,19,26,32,1
LOC111120685,25,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0
LOC111120686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120687,32,22,19,4,41,25,5,22,11,5,0,5,1,1,5,37,14,3,2,13,3,0,0,11,3,13,2,0,19,0
LOC111120688,83,70,44,32,73,76,23,48,57,3,2,33,5,2,10,61,44,9,2,23,32,14,3,38,41,19,10,0,24,1
LOC111120689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120690,32,25,24,9,40,26,11,28,16,6,3,15,3,0,8,40,28,5,3,29,13,14,4,30,7,36,2,0,11,0
LOC111120691,21,9,15,9,25,0,10,0,2,5,3,0,2,0,0,0,1,0,0,18,1,0,0,1,6,6,5,0,2,0
LOC111120692,10,10,7,0,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0,5,0
LOC111120693,1,7,7,1,3,5,3,0,0,4,1,0,1,0,0,15,0,1,0,9,1,4,0,9,3,3,2,1,3,0
LOC111120694,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120695,0,0,1,0,0,0,1,0,2,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120696,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0
LOC111120697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111120698,71,51,71,44,90,52,22,62,67,13,4,31,2,1,8,57,45,13,1,58,13,18,4,32,29,24,23,1,40,3
LOC111120699,11,3,2,2,2,4,3,2,3,0,1,0,0,0,2,5,5,0,0,5,0,3,0,19,3,10,0,0,0,0
LOC111120700,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
